TRIALISx,TXPNAMEx,RUNDATEx,RUNTIMEx,STARTPTx,SUBJECTx,DESCRIPT,MAXTIMsc,LATENTsc,PATHISmt,SPEEDmts,xTIMEFLT,HEADGdeg,THGTIMEx,THGPATHx,SLICEISx,SLCxONsc,SLCxGOsc,QUAD1xsc,QUAD2xsc,QUAD3xsc,QUAD4xsc,QUAD1xmt,QUAD2xmt,QUAD3xmt,QUAD4xmt,PROXIMmt,PROXmt01,PROXmt02,PROXmt03,PROXmt04,GALCUMms,CUMUms01,CUMUms02,CUMUms03,CUMUms04
044CW10262,BurkeCW102,10/26/2023,11:20:16,NW,1810,swim05,90,6.5,2.09,0.32,6,-39.7,10.8,9.5,ok,0,90,24.6,50.7,0,24.6,32.3,40.4,0,27.2,0.6,0.98,0.84,0.6,0.85,3.92,6.39,5.43,3.92,5.5
045CW10262,BurkeCW102,10/26/2023,11:21:40,S,1810,swim06,90,12.5,3.71,0.3,2.3,49,38.4,33,ok,0,90,0,65.6,16.8,17.6,0,63.2,21.6,15.1,1.19,1.19,1.07,0.56,0.74,14.87,14.87,13.33,6.96,9.29
046CW10262,BurkeCW102,10/26/2023,11:23:19,SE,1811,swim04,90,13.8,3.76,0.27,2,-71.5,25.4,18.3,ok,0,90,28.9,10.1,39.8,21,23.8,11.6,38.2,26.2,0.95,0.86,0.95,0.84,0.76,13.04,11.83,13.04,11.54,10.51
047CW10262,BurkeCW102,10/26/2023,11:25:19,NW,1811,swim05,90,4.8,1.35,0.28,10.3,16.4,12.5,7.1,ok,0,90,0,25,33.3,41.6,0,12.7,45.2,42,0.64,0.69,1.14,0.64,0.58,3.07,3.3,5.49,3.07,2.79
048CW10262,BurkeCW102,10/26/2023,11:26:26,S,1811,swim06,90,12,3.3,0.27,4,62,42.5,36,ok,0,90,0,44.1,28.3,27.5,0,40.7,36.5,22.7,1.02,1.02,1.27,0.64,0.64,12.24,12.24,15.25,7.66,7.64
049CW10262,BurkeCW102,10/26/2023,11:30:02,SE,1838,swim04,90,8.7,3.32,0.38,1,-108.3,46,41.3,ok,0,90,28.7,10.3,32.1,28.7,22.1,9.8,37.3,30.5,1.03,0.91,1.03,0.84,0.75,8.96,7.93,8.96,7.27,6.55
050CW10262,BurkeCW102,10/26/2023,11:31:18,NW,1838,swim05,90,3.2,1.07,0.33,3,-20.8,0,0,ok,0,90,0,62.5,28.1,9.3,0,49.9,41,9,0.33,1,1,0.33,0.51,1.06,3.19,3.19,1.06,1.63
051CW10262,BurkeCW102,10/26/2023,11:32:43,S,1838,swim06,90,16.2,5,0.31,0.5,48.5,43.8,37.4,ok,0,90,5.5,54.9,23.4,16,7.6,52.3,24.6,15.3,1.16,1.16,1.09,0.55,0.67,18.85,18.85,17.58,8.97,10.86
052CW10262,BurkeCW102,10/26/2023,11:35:00,SE,1839,swim04,90,54.8,14.06,0.26,0.6,-53.3,55.5,50.5,ok,0,90,11.1,54.9,26.2,7.6,9.9,52.3,28.2,9.4,1.1,1.32,1.1,0.53,0.68,60.48,72.11,60.48,28.86,37.2
053CW10262,BurkeCW102,10/26/2023,11:36:33,NW,1839,swim05,90,15.8,5.65,0.36,0.5,22.9,21.5,21,ok,0,90,25.9,20.8,19.6,33.5,23.1,17.1,20,39.5,0.86,0.8,0.94,0.86,0.84,13.56,12.61,14.84,13.56,13.3
054CW10262,BurkeCW102,10/26/2023,11:37:56,S,1839,swim06,90,13.1,3.72,0.28,0.6,-48.7,26,18.7,ok,0,90,25.9,35.1,20.6,18.3,28.8,37.9,15.7,17.4,1.11,1.11,0.92,0.62,0.77,14.49,14.49,12.1,8.15,10.09
055CW10262,BurkeCW102,10/26/2023,11:39:26,SE,1840,swim04,90,14.4,4.5,0.31,1.9,-74,57.6,50.2,ok,0,90,21.5,24.3,33.3,20.8,19,20.9,32.6,27.3,1.03,0.89,1.03,0.9,0.89,14.86,12.77,14.86,12.94,12.86
056CW10262,BurkeCW102,10/26/2023,11:40:51,NW,1840,swim05,90,8.2,2.4,0.29,2.3,-19.8,28,28.5,ok,0,90,0,13.4,47.5,39,0,6.7,49.8,43.3,0.82,0.72,1.31,0.82,0.59,6.69,5.93,10.78,6.69,4.86
057CW10262,BurkeCW102,10/26/2023,11:41:52,S,1840,swim06,90,6.8,2.2,0.32,1.3,-4.3,25,18.8,ok,0,90,11.7,11.7,39.7,36.7,12.1,11.3,41.7,34.7,0.75,0.75,1.06,0.73,0.63,5.13,5.13,7.23,4.96,4.29
058CW10262,BurkeCW102,10/26/2023,11:43:25,SE,1841,swim04,90,3.5,1.02,0.29,2.7,-5.1,20,7.8,ok,0,90,65.7,34.2,0,0,54.6,45.3,0,0,0.37,1.26,0.37,0.76,1.1,1.29,4.42,1.29,2.66,3.86
059CW10262,BurkeCW102,10/26/2023,11:44:42,NW,1841,swim05,90,5.5,1.98,0.36,1.7,45.2,29.1,25.1,ok,0,90,0,20,47.2,32.7,0,11.9,57.9,30,0.74,0.84,1.37,0.74,0.55,4.05,4.63,7.55,4.05,3.01
060CW10262,BurkeCW102,10/26/2023,11:45:40,S,1841,swim06,90,8.5,2.92,0.34,1,55.7,8.2,6.3,ok,0,90,32.9,40,0,27,37.2,41.7,0,21,1,1,0.78,0.8,1,8.48,8.48,6.63,6.82,8.49
061CW10262,BurkeCW102,10/26/2023,11:56:46,N,1812,swim01,90,11.3,3.91,0.35,0.7,-100.2,54,51.7,ok,0,90,20.3,14.1,43.3,22.1,24.5,16.2,38.8,20.3,0.89,0.89,1.16,0.8,0.68,10.04,10.04,13.13,9.05,7.68
062CW10262,BurkeCW102,10/26/2023,11:58:08,E,1812,swim02,90,16.2,4.55,0.28,1.1,-43.3,38.3,42.8,ok,0,90,38.2,16.6,20.3,24.6,32.8,15.7,20.4,30.9,0.86,0.91,0.86,0.82,0.88,13.86,14.71,13.86,13.36,14.24
063CW10262,BurkeCW102,10/26/2023,11:59:21,SW,1812,swim03,90,1.7,0.28,0.17,17.5,-103.4,0,0,ok,0,90,0,0,100,0,0,0,100,0,0.11,1.11,1.42,0.54,0.11,0.18,1.88,2.41,0.92,0.18
064CW10262,BurkeCW102,10/26/2023,12:01:58,N,1813,swim01,90,15,4.47,0.3,0.5,-50.8,40,37.4,ok,0,90,34,22,10,34,30.6,26,12.7,30.4,0.93,0.93,0.71,0.91,1.05,13.98,13.98,10.68,13.72,15.79
