Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Platform : mean distance from (m),Platform : cumulative distance (m·s),Platform : path efficiency to entry,Platform : CIPL (m·s)
46,1753,Cue,4,8/29/2017,10:59,am,starneshm,Cohort 70 Cue videos\Test 46.szv,13.3,2.983,0.224,0.392,0.730,9.72,,
47,1753,Cue,5,8/29/2017,11:00,am,starneshm,Cohort 70 Cue videos\Test 47.szv,30.0,7.005,0.234,0.207,0.802,24.06,,
48,1753,Cue,6,8/29/2017,11:02,am,starneshm,Cohort 70 Cue videos\Test 48.szv,30.0,6.656,0.222,0.228,0.708,21.22,,
49,1755,Cue,1,8/29/2017,11:05,am,starneshm,Cohort 70 Cue videos\Test 49.szv,30.0,6.342,0.211,0.140,0.639,19.15,,
50,1755,Cue,2,8/29/2017,11:06,am,starneshm,Cohort 70 Cue videos\Test 50.szv,18.2,3.343,0.184,0.216,0.723,13.16,,
51,1755,Cue,3,8/29/2017,11:07,am,starneshm,Cohort 70 Cue videos\Test 51.szv,5.2,0.625,0.120,0.941,0.258,1.26,0.778,0.32
52,1755,Cue,4,8/29/2017,11:09,am,starneshm,Cohort 70 Cue videos\Test 52.szv,7.0,1.035,0.147,0.975,0.643,4.52,,
53,1755,Cue,5,8/29/2017,11:10,am,starneshm,Cohort 70 Cue videos\Test 53.szv,9.1,1.155,0.126,0.934,0.483,4.31,0.928,0.66
54,1755,Cue,6,8/29/2017,11:11,am,starneshm,Cohort 70 Cue videos\Test 54.szv,8.2,1.270,0.155,0.828,0.724,5.92,,
55,Y500,Cue,1,8/29/2017,11:14,am,starneshm,Cohort 70 Cue videos\Test 55.szv,5.4,1.616,0.301,0.819,0.633,3.40,,
56,Y500,Cue,2,8/29/2017,11:15,am,starneshm,Cohort 70 Cue videos\Test 56.szv,8.1,0.000,0.000,,0.000,0.00,,
57,Y500,Cue,3,8/29/2017,11:16,am,starneshm,Cohort 70 Cue videos\Test 57.szv,2.8,0.000,0.000,,0.000,0.00,,
58,Y500,Cue,4,8/29/2017,11:17,am,starneshm,Cohort 70 Cue videos\Test 58.szv,4.6,1.190,0.260,0.929,0.649,2.89,0.909,0.65
59,Y500,Cue,5,8/29/2017,11:17,am,starneshm,Cohort 70 Cue videos\Test 59.szv,8.1,2.093,0.260,0.543,0.723,5.83,,
60,Y500,Cue,6,8/29/2017,11:19,am,starneshm,Cohort 70 Cue videos\Test 60.szv,6.6,2.034,0.310,0.590,0.691,4.53,,
61,Y501,Cue,1,8/29/2017,11:21,am,starneshm,Cohort 70 Cue videos\Test 61.szv,4.9,1.333,0.272,0.842,0.510,2.51,,
62,Y501,Cue,2,8/29/2017,11:21,am,starneshm,Cohort 70 Cue videos\Test 62.szv,9.7,3.171,0.327,0.238,0.737,7.14,,
63,Y501,Cue,3,8/29/2017,11:22,am,starneshm,Cohort 70 Cue videos\Test 63.szv,2.4,0.313,0.131,0.996,0.286,0.68,,
64,Y501,Cue,4,8/29/2017,11:22,am,starneshm,Cohort 70 Cue videos\Test 64.szv,4.3,1.098,0.257,0.944,0.701,3.00,,
65,Y501,Cue,5,8/29/2017,11:23,am,starneshm,Cohort 70 Cue videos\Test 65.szv,5.5,1.302,0.237,0.827,0.621,3.41,,
66,Y501,Cue,6,8/29/2017,11:24,am,starneshm,Cohort 70 Cue videos\Test 66.szv,4.3,0.981,0.227,0.879,0.519,2.25,,
67,Y502,Cue,1,8/29/2017,11:26,am,starneshm,Cohort 70 Cue videos\Test 67.szv,6.2,1.205,0.195,0.929,0.507,2.94,0.930,-0.11
68,Y502,Cue,2,8/29/2017,11:27,am,starneshm,Cohort 70 Cue videos\Test 68.szv,3.8,0.791,0.209,0.679,0.459,1.74,,
69,Y502,Cue,3,8/29/2017,11:27,am,starneshm,Cohort 70 Cue videos\Test 69.szv,2.7,0.465,0.172,0.976,0.297,0.80,,
70,Y502,Cue,4,8/29/2017,11:28,am,starneshm,Cohort 70 Cue videos\Test 70.szv,5.4,1.247,0.229,0.878,0.679,3.45,0.874,1.00
71,Y502,Cue,5,8/29/2017,11:29,am,starneshm,Cohort 70 Cue videos\Test 71.szv,5.2,1.313,0.252,0.808,0.714,3.72,,
72,Y502,Cue,6,8/29/2017,11:30,am,starneshm,Cohort 70 Cue videos\Test 72.szv,5.4,1.415,0.263,0.697,0.801,4.32,,
73,1756,Cue,1,8/29/2017,11:32,am,starneshm,Cohort 70 Cue videos\Test 73.szv,10.2,2.096,0.206,0.514,0.660,6.70,,
74,1756,Cue,2,8/29/2017,11:33,am,starneshm,Cohort 70 Cue videos\Test 74.szv,6.3,1.415,0.223,0.558,0.507,3.22,,
75,1756,Cue,3,8/29/2017,11:34,am,starneshm,Cohort 70 Cue videos\Test 75.szv,3.5,2.955,0.837,0.174,0.336,1.19,,
76,1756,Cue,4,8/29/2017,11:34,am,starneshm,Cohort 70 Cue videos\Test 76.szv,7.6,1.594,0.209,0.671,0.755,5.77,,
77,1756,Cue,5,8/29/2017,11:35,am,starneshm,Cohort 70 Cue videos\Test 77.szv,8.1,1.248,0.155,0.808,0.651,5.25,,
78,1756,Cue,6,8/29/2017,11:36,am,starneshm,Cohort 70 Cue videos\Test 78.szv,10.7,1.886,0.176,0.603,0.571,5.89,0.566,2.73
79,1757,Cue,1,8/29/2017,11:51,am,starneshm,Cohort 70 Cue videos\Test 79.szv,13.6,3.728,0.273,0.293,0.572,7.81,,
80,1757,Cue,2,8/29/2017,11:52,am,starneshm,Cohort 70 Cue videos\Test 80.szv,20.0,4.649,0.233,0.166,0.496,9.90,,
81,1757,Cue,3,8/29/2017,11:56,am,starneshm,Cohort 70 Cue videos\Test 81.szv,2.5,0.385,0.154,0.981,0.178,0.44,,
82,1757,Cue,4,8/29/2017,11:56,am,starneshm,Cohort 70 Cue videos\Test 82.szv,13.7,3.407,0.249,0.366,0.772,10.58,,
83,1757,Cue,5,8/29/2017,11:57,am,starneshm,Cohort 70 Cue videos\Test 83.szv,10.4,2.430,0.234,0.510,0.637,6.61,,
84,1757,Cue,6,8/29/2017,11:58,am,starneshm,Cohort 70 Cue videos\Test 84.szv,13.6,3.475,0.255,0.352,0.851,11.58,,
85,1758,Cue,1,8/29/2017,12:01,pm,starneshm,Cohort 70 Cue videos\Test 85.szv,12.4,2.412,0.194,0.470,0.546,6.78,,
86,1758,Cue,2,8/29/2017,12:02,pm,starneshm,Cohort 70 Cue videos\Test 86.szv,12.8,2.736,0.214,0.300,0.590,7.52,,
87,1758,Cue,3,8/29/2017,12:02,pm,starneshm,Cohort 70 Cue videos\Test 87.szv,5.0,0.613,0.122,0.942,0.328,1.65,,
88,1758,Cue,4,8/29/2017,12:03,pm,starneshm,Cohort 70 Cue videos\Test 88.szv,9.6,1.558,0.162,0.686,0.717,6.87,,
89,1758,Cue,5,8/29/2017,12:04,pm,starneshm,Cohort 70 Cue videos\Test 89.szv,30.0,3.770,0.126,0.198,0.785,23.56,,
90,1758,Cue,6,8/29/2017,12:05,pm,starneshm,Cohort 70 Cue videos\Test 90.szv,30.0,3.921,0.131,0.182,0.821,24.62,,
91,1761,Cue,1,8/29/2017,12:09,pm,starneshm,Cohort 70 Cue videos\Test 91.szv,14.5,4.068,0.281,0.308,0.491,7.11,,
92,1761,Cue,2,8/29/2017,12:10,pm,starneshm,Cohort 70 Cue videos\Test 92.szv,15.1,4.508,0.298,0.148,0.621,9.40,,
93,1761,Cue,3,8/29/2017,12:11,pm,starneshm,Cohort 70 Cue videos\Test 93.szv,3.0,0.579,0.195,0.840,0.292,0.87,,
94,1761,Cue,4,8/29/2017,12:12,pm,starneshm,Cohort 70 Cue videos\Test 94.szv,9.3,2.526,0.273,0.398,0.818,7.58,,
95,1761,Cue,5,8/29/2017,12:13,pm,starneshm,Cohort 70 Cue videos\Test 95.szv,12.7,3.199,0.252,0.304,0.828,10.50,,
96,1761,Cue,6,8/29/2017,12:14,pm,starneshm,Cohort 70 Cue videos\Test 96.szv,12.1,2.950,0.244,0.348,0.744,8.79,0.327,6.92
97,1765,Cue,1,8/29/2017,12:37,pm,starneshm,Cohort 70 Cue videos\Test 97.szv,5.4,1.087,0.201,0.942,0.564,3.05,,
98,1765,Cue,2,8/29/2017,12:38,pm,starneshm,Cohort 70 Cue videos\Test 98.szv,26.1,4.027,0.154,0.163,0.749,19.52,,
99,1765,Cue,3,8/29/2017,12:39,pm,starneshm,Cohort 70 Cue videos\Test 99.szv,4.1,0.312,0.076,0.996,0.182,0.69,0.995,0.12
100,1765,Cue,4,8/29/2017,12:39,pm,starneshm,Cohort 70 Cue videos\Test 100.szv,8.3,1.083,0.130,0.948,0.558,4.64,,
101,1765,Cue,5,8/29/2017,12:41,pm,starneshm,Cohort 70 Cue videos\Test 101.szv,15.6,2.354,0.151,0.494,0.727,11.31,,
102,1765,Cue,6,8/29/2017,12:42,pm,starneshm,Cohort 70 Cue videos\Test 102.szv,30.0,4.631,0.154,0.206,0.804,24.12,,
103,1766,Cue,1,8/29/2017,12:45,pm,starneshm,Cohort 70 Cue videos\Test 103.szv,5.0,1.239,0.245,0.886,0.606,2.94,0.885,0.47
104,1766,Cue,2,8/29/2017,12:46,pm,starneshm,Cohort 70 Cue videos\Test 104.szv,30.0,5.949,0.198,0.169,0.942,28.26,,
105,1766,Cue,3,8/29/2017,12:47,pm,starneshm,Cohort 70 Cue videos\Test 105.szv,30.0,6.301,0.210,0.174,0.582,17.45,,
106,1766,Cue,4,8/29/2017,12:48,pm,starneshm,Cohort 70 Cue videos\Test 106.szv,12.8,2.834,0.221,0.040,1.151,14.77,,
107,1766,Cue,5,8/29/2017,12:49,pm,starneshm,Cohort 70 Cue videos\Test 107.szv,24.5,4.471,0.182,0.276,0.652,16.00,,
108,1766,Cue,6,8/29/2017,12:51,pm,starneshm,Cohort 70 Cue videos\Test 108.szv,9.4,1.397,0.148,0.793,0.604,5.70,,
109,1767,Cue,1,8/29/2017,12:54,pm,starneshm,Cohort 70 Cue videos\Test 109.szv,17.1,4.024,0.235,0.272,0.578,9.90,,
110,1767,Cue,2,8/29/2017,12:55,pm,starneshm,Cohort 70 Cue videos\Test 110.szv,3.2,0.521,0.165,0.993,0.310,0.87,0.991,0.17
111,1767,Cue,3,8/29/2017,12:56,pm,starneshm,Cohort 70 Cue videos\Test 111.szv,3.9,0.400,0.102,0.979,0.306,1.20,,
112,1767,Cue,4,8/29/2017,12:57,pm,starneshm,Cohort 70 Cue videos\Test 112.szv,5.5,1.200,0.218,0.974,0.691,3.56,0.957,0.76
113,1767,Cue,5,8/29/2017,12:58,pm,starneshm,Cohort 70 Cue videos\Test 113.szv,5.6,1.086,0.195,0.953,0.599,3.13,0.963,0.46
114,1767,Cue,6,8/29/2017,12:59,pm,starneshm,Cohort 70 Cue videos\Test 114.szv,10.8,1.668,0.155,0.680,0.698,7.52,,
115,1770,Cue,1,8/29/2017,13:03,pm,starneshm,Cohort 70 Cue videos\Test 115.szv,5.8,1.221,0.211,0.879,0.690,4.00,,
116,1770,Cue,2,8/29/2017,13:04,pm,starneshm,Cohort 70 Cue videos\Test 116.szv,12.4,2.552,0.205,0.288,0.474,5.89,,
117,1770,Cue,3,8/29/2017,13:04,pm,starneshm,Cohort 70 Cue videos\Test 117.szv,3.6,0.472,0.131,0.967,0.284,1.03,,
118,1770,Cue,4,8/29/2017,13:05,pm,starneshm,Cohort 70 Cue videos\Test 118.szv,7.9,1.615,0.203,0.740,0.629,4.78,0.670,1.93
119,1770,Cue,5,8/29/2017,13:05,pm,starneshm,Cohort 70 Cue videos\Test 119.szv,13.1,2.343,0.178,0.456,0.725,9.53,,
120,1770,Cue,6,8/29/2017,13:06,pm,starneshm,Cohort 70 Cue videos\Test 120.szv,7.6,1.314,0.172,0.781,0.646,4.93,,
121,1771,Cue,1,8/29/2017,13:10,pm,starneshm,Cohort 70 Cue videos\Test 121.szv,4.5,1.286,0.287,0.856,0.599,2.68,,
122,1771,Cue,2,8/29/2017,13:11,pm,starneshm,Cohort 70 Cue videos\Test 122.szv,2.2,0.480,0.213,0.999,0.296,0.63,0.999,0.08
123,1771,Cue,3,8/29/2017,13:11,pm,starneshm,Cohort 70 Cue videos\Test 123.szv,30.0,6.542,0.218,0.192,0.680,20.40,,
124,1771,Cue,4,8/29/2017,13:12,pm,starneshm,Cohort 70 Cue videos\Test 124.szv,5.5,1.071,0.194,0.970,0.534,2.95,,
125,1771,Cue,5,8/29/2017,13:13,pm,starneshm,Cohort 70 Cue videos\Test 125.szv,30.0,5.794,0.193,0.135,0.798,23.92,,
126,1771,Cue,6,8/29/2017,13:15,pm,starneshm,Cohort 70 Cue videos\Test 126.szv,5.2,1.023,0.196,0.989,0.539,2.67,0.973,0.29
127,Y503,Cue,1,8/29/2017,13:17,pm,starneshm,Cohort 70 Cue videos\Test 127.szv,5.6,1.251,0.222,0.852,0.633,3.57,,
128,Y503,Cue,2,8/29/2017,13:18,pm,starneshm,Cohort 70 Cue videos\Test 128.szv,3.8,0.946,0.247,0.702,0.405,1.41,0.647,0.70
129,Y503,Cue,3,8/29/2017,13:19,pm,starneshm,Cohort 70 Cue videos\Test 129.szv,7.1,1.552,0.219,0.304,0.531,3.76,,
130,Y503,Cue,4,8/29/2017,13:20,pm,starneshm,Cohort 70 Cue videos\Test 130.szv,5.7,1.449,0.252,0.722,0.669,3.68,0.709,1.61
131,Y503,Cue,5,8/29/2017,13:20,pm,starneshm,Cohort 70 Cue videos\Test 131.szv,4.1,1.178,0.290,0.977,0.684,2.53,0.972,0.58
132,Y503,Cue,6,8/29/2017,13:21,pm,starneshm,Cohort 70 Cue videos\Test 132.szv,4.2,1.024,0.244,0.998,0.651,2.73,,
133,Y504,Cue,1,8/29/2017,13:24,pm,starneshm,Cohort 70 Cue videos\Test 133.szv,8.8,1.937,0.221,0.571,0.647,5.66,,
134,Y504,Cue,2,8/29/2017,13:24,pm,starneshm,Cohort 70 Cue videos\Test 134.szv,3.0,0.472,0.159,0.974,0.356,1.06,,
135,Y504,Cue,3,8/29/2017,13:24,pm,starneshm,Cohort 70 Cue videos\Test 135.szv,8.6,1.891,0.220,0.267,0.353,3.00,0.221,2.58
136,Y504,Cue,4,8/29/2017,13:25,pm,starneshm,Cohort 70 Cue videos\Test 136.szv,8.1,2.034,0.252,0.532,0.946,7.63,,
137,Y504,Cue,5,8/29/2017,13:26,pm,starneshm,Cohort 70 Cue videos\Test 137.szv,4.5,1.098,0.242,0.967,0.614,2.78,,
138,Y504,Cue,6,8/29/2017,13:27,pm,starneshm,Cohort 70 Cue videos\Test 138.szv,13.2,3.393,0.257,0.343,0.812,10.53,0.323,8.16
139,Y505,Cue,1,8/29/2017,13:29,pm,starneshm,Cohort 70 Cue videos\Test 139.szv,4.4,1.178,0.268,0.866,0.592,2.60,,
140,Y505,Cue,2,8/29/2017,13:30,pm,starneshm,Cohort 70 Cue videos\Test 140.szv,9.1,3.126,0.343,0.225,0.742,6.76,,
141,Y505,Cue,3,8/29/2017,13:30,pm,starneshm,Cohort 70 Cue videos\Test 141.szv,2.7,0.541,0.202,0.931,0.257,0.63,0.850,0.15
142,Y505,Cue,4,8/29/2017,13:33,pm,starneshm,Cohort 70 Cue videos\Test 142.szv,5.1,1.548,0.304,0.727,0.707,3.35,0.719,1.48
143,Y505,Cue,5,8/29/2017,13:33,pm,starneshm,Cohort 70 Cue videos\Test 143.szv,5.4,1.591,0.294,0.717,0.681,3.68,,
144,Y505,Cue,6,8/29/2017,13:34,pm,starneshm,Cohort 70 Cue videos\Test 144.szv,7.6,2.508,0.328,0.476,0.693,5.04,0.436,3.30
