Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Platform : mean distance from (m),Platform : cumulative distance (m·s),Platform : path efficiency to entry,Platform : CIPL (m·s)
20,2300,Cue,2,3/12/2019,11:40,am,Ali,Cue 90 videos\Test 20.szv,19.6,3.040,0.155,0.110,0.600,11.56,0.102,11.24
21,2300,Cue,3,3/12/2019,11:41,am,Ali,Cue 90 videos\Test 21.szv,30.0,5.252,0.175,0.113,0.564,16.92,,
22,2300,Cue,4,3/12/2019,11:42,am,Ali,Cue 90 videos\Test 22.szv,30.0,6.490,0.216,0.052,0.579,17.37,,
23,2300,Cue,5,3/12/2019,11:43,am,Ali,Cue 90 videos\Test 23.szv,4.9,0.680,0.138,0.993,0.267,1.32,,
24,2300,Cue,6,3/12/2019,11:44,am,Ali,Cue 90 videos\Test 24.szv,30.0,6.445,0.215,0.208,0.479,14.37,,
25,2301,Cue,1,3/12/2019,11:47,am,Ali,Cue 90 videos\Test 25.szv,30.0,7.798,0.260,0.171,0.653,19.60,,
26,2301,Cue,2,3/12/2019,11:48,am,Ali,Cue 90 videos\Test 26.szv,30.0,6.333,0.211,0.106,0.741,22.24,,
27,2301,Cue,3,3/12/2019,11:49,am,Ali,Cue 90 videos\Test 27.szv,30.0,7.545,0.252,0.145,0.686,20.59,,
28,2301,Cue,4,3/12/2019,11:51,am,Ali,Cue 90 videos\Test 28.szv,28.6,6.232,0.218,0.163,0.571,16.31,,
29,2301,Cue,5,3/12/2019,11:52,am,Ali,Cue 90 videos\Test 29.szv,30.0,5.695,0.190,0.132,0.764,22.93,,
30,2301,Cue,6,3/12/2019,11:53,am,Ali,Cue 90 videos\Test 30.szv,30.0,7.279,0.243,0.139,0.647,19.40,,
31,2302,Cue,1,3/12/2019,11:57,am,Ali,Cue 90 videos\Test 31.szv,4.2,0.708,0.169,0.896,0.230,0.88,0.854,-0.11
32,2302,Cue,2,3/12/2019,11:58,am,Ali,Cue 90 videos\Test 32.szv,26.0,5.251,0.202,0.060,0.688,17.90,,
33,2302,Cue,3,3/12/2019,11:59,am,Ali,Cue 90 videos\Test 33.szv,1.0,0.163,0.157,0.999,0.058,0.04,0.867,0.01
34,2302,Cue,4,3/12/2019,12:00,pm,Ali,Cue 90 videos\Test 34.szv,8.7,1.838,0.212,0.550,0.649,5.62,,
35,2302,Cue,5,3/12/2019,12:01,pm,Ali,Cue 90 videos\Test 35.szv,30.0,4.925,0.164,0.266,0.748,22.45,,
36,2302,Cue,6,3/12/2019,12:03,pm,Ali,Cue 90 videos\Test 36.szv,30.0,4.241,0.141,0.112,0.788,23.65,,
37,Y620,Cue,1,3/12/2019,12:07,pm,Ali,Cue 90 videos\Test 37.szv,4.3,0.543,0.126,0.831,0.209,0.90,,
38,Y620,Cue,2,3/12/2019,12:08,pm,Ali,Cue 90 videos\Test 38.szv,1.3,0.143,0.112,0.999,0.094,0.09,0.946,0.03
39,Y620,Cue,3,3/12/2019,12:09,pm,Ali,Cue 90 videos\Test 39.szv,5.9,1.481,0.249,0.420,0.571,3.39,,
40,Y620,Cue,4,3/12/2019,12:10,pm,Ali,Cue 90 videos\Test 40.szv,4.2,1.168,0.280,0.849,0.527,2.02,0.813,0.58
41,Y620,Cue,5,3/12/2019,12:11,pm,Ali,Cue 90 videos\Test 41.szv,28.1,7.358,0.262,0.079,0.689,19.26,0.135,13.09
42,Y620,Cue,6,3/12/2019,12:13,pm,Ali,Cue 90 videos\Test 42.szv,5.3,1.247,0.234,0.935,0.477,2.55,,
43,Y621,Cue,1,3/12/2019,12:15,pm,Ali,Cue 90 videos\Test 43.szv,4.0,0.575,0.142,0.991,0.324,1.31,,
44,Y621,Cue,2,3/12/2019,12:15,pm,Ali,Cue 90 videos\Test 44.szv,3.7,0.332,0.089,0.964,0.160,0.59,,
45,Y621,Cue,3,3/12/2019,12:16,pm,Ali,Cue 90 videos\Test 45.szv,1.9,0.290,0.157,0.999,0.241,0.45,,
46,Y621,Cue,4,3/12/2019,12:16,pm,Ali,Cue 90 videos\Test 46.szv,3.9,0.817,0.208,0.978,0.577,2.26,,
47,Y621,Cue,5,3/12/2019,12:17,pm,Ali,Cue 90 videos\Test 47.szv,3.8,0.800,0.210,0.873,0.370,1.41,,
48,Y621,Cue,6,3/12/2019,12:18,pm,Ali,Cue 90 videos\Test 48.szv,2.7,0.596,0.221,0.984,0.316,0.74,0.978,0.07
49,Y622,Cue,1,3/12/2019,12:21,pm,Ali,Cue 90 videos\Test 49.szv,4.1,0.429,0.104,0.987,0.194,0.80,,
50,Y622,Cue,2,3/12/2019,12:22,pm,Ali,Cue 90 videos\Test 50.szv,5.1,0.386,0.075,0.978,0.106,0.54,,
51,Y622,Cue,3,3/12/2019,12:23,pm,Ali,Cue 90 videos\Test 51.szv,1.3,0.071,0.057,0.940,0.017,0.02,0.999,0.01
52,Y622,Cue,4,3/12/2019,12:24,pm,Ali,Cue 90 videos\Test 52.szv,5.4,1.193,0.220,0.553,0.539,2.93,,
53,Y622,Cue,5,3/12/2019,12:25,pm,Ali,Cue 90 videos\Test 53.szv,4.5,1.478,0.327,0.619,0.606,2.55,0.625,1.34
54,Y622,Cue,6,3/12/2019,12:26,pm,Ali,Cue 90 videos\Test 54.szv,2.4,0.686,0.281,0.986,0.303,0.74,,
55,2303,Cue,1,3/12/2019,12:28,pm,Ali,Cue 90 videos\Test 55.szv,6.6,1.311,0.198,0.776,0.423,2.80,,
56,2303,Cue,2,3/12/2019,12:29,pm,Ali,Cue 90 videos\Test 56.szv,27.3,6.741,0.247,0.094,0.760,20.77,,
57,2303,Cue,3,3/12/2019,12:30,pm,Ali,Cue 90 videos\Test 57.szv,30.0,7.153,0.238,0.094,0.657,19.70,,
58,2303,Cue,4,3/12/2019,12:32,pm,Ali,Cue 90 videos\Test 58.szv,30.0,6.539,0.218,0.154,0.772,23.16,,
59,2303,Cue,5,3/12/2019,12:33,pm,Ali,Cue 90 videos\Test 59.szv,30.0,6.617,0.221,0.161,0.680,20.40,,
60,2303,Cue,6,3/12/2019,12:35,pm,Ali,Cue 90 videos\Test 60.szv,30.0,6.291,0.210,0.179,0.782,23.45,,
61,2305,Cue,1,3/12/2019,12:47,pm,Ali,Cue 90 videos\Test 61.szv,6.6,1.363,0.207,0.376,0.336,2.22,,
62,2305,Cue,2,3/12/2019,12:48,pm,Ali,Cue 90 videos\Test 62.szv,5.8,1.718,0.298,0.421,0.636,3.67,,
63,2305,Cue,3,3/12/2019,12:48,pm,Ali,Cue 90 videos\Test 63.szv,1.9,0.138,0.073,0.970,0.172,0.33,,
64,2305,Cue,4,3/12/2019,12:49,pm,Ali,Cue 90 videos\Test 64.szv,2.3,0.557,0.244,0.996,0.288,0.56,0.991,0.05
65,2305,Cue,5,3/12/2019,12:50,pm,Ali,Cue 90 videos\Test 65.szv,3.5,0.579,0.164,0.927,0.177,0.58,0.970,0.06
66,2305,Cue,6,3/12/2019,12:50,pm,Ali,Cue 90 videos\Test 66.szv,2.9,0.752,0.261,0.993,0.379,0.96,0.978,0.11
67,2306,Cue,1,3/12/2019,13:00,pm,Ali,Cue 90 videos\Test 67.szv,5.8,1.261,0.216,0.459,0.219,1.28,,
68,2306,Cue,2,3/12/2019,13:01,pm,Ali,Cue 90 videos\Test 68.szv,8.0,2.180,0.272,0.398,0.755,6.06,,
69,2306,Cue,3,3/12/2019,13:02,pm,Ali,Cue 90 videos\Test 69.szv,2.2,0.319,0.147,0.996,0.187,0.40,,
70,2306,Cue,4,3/12/2019,13:02,pm,Ali,Cue 90 videos\Test 70.szv,3.4,0.839,0.251,0.900,0.352,1.06,0.804,0.23
71,2306,Cue,5,3/12/2019,13:03,pm,Ali,Cue 90 videos\Test 71.szv,3.6,0.556,0.154,0.992,0.164,0.59,,
72,2306,Cue,6,3/12/2019,13:04,pm,Ali,Cue 90 videos\Test 72.szv,2.8,0.536,0.189,0.984,0.184,0.52,,
73,2307,Cue,1,3/12/2019,13:06,pm,Ali,Cue 90 videos\Test 73.szv,15.3,3.123,0.205,0.187,0.577,8.80,,
74,2307,Cue,2,3/12/2019,13:07,pm,Ali,Cue 90 videos\Test 74.szv,4.1,0.601,0.146,0.671,0.109,0.45,,
75,2307,Cue,3,3/12/2019,13:08,pm,Ali,Cue 90 videos\Test 75.szv,2.1,0.000,0.000,,0.167,0.34,,
76,2307,Cue,4,3/12/2019,13:09,pm,Ali,Cue 90 videos\Test 76.szv,8.5,2.079,0.243,0.382,0.338,2.88,,
77,2307,Cue,5,3/12/2019,13:10,pm,Ali,Cue 90 videos\Test 77.szv,12.5,3.331,0.266,0.199,0.656,7.99,0.177,7.34
78,2307,Cue,6,3/12/2019,13:11,pm,Ali,Cue 90 videos\Test 78.szv,11.3,2.786,0.247,0.300,0.587,6.62,,
79,2309,Cue,1,3/12/2019,13:58,pm,Ali,Cue 90 videos\Test 79.szv,5.0,0.816,0.165,0.867,0.291,1.44,,
80,2309,Cue,2,3/12/2019,13:59,pm,Ali,Cue 90 videos\Test 80.szv,13.6,3.383,0.248,0.330,0.581,7.93,,
81,2309,Cue,3,3/12/2019,14:00,pm,Ali,Cue 90 videos\Test 81.szv,10.7,2.589,0.243,0.249,0.536,5.72,,
82,2309,Cue,4,3/12/2019,14:01,pm,Ali,Cue 90 videos\Test 82.szv,3.8,0.575,0.152,0.985,0.280,1.06,,
83,2309,Cue,5,3/12/2019,14:02,pm,Ali,Cue 90 videos\Test 83.szv,21.1,4.548,0.216,0.126,0.686,14.45,,
84,2309,Cue,6,3/12/2019,14:04,pm,Ali,Cue 90 videos\Test 84.szv,30.0,5.564,0.185,0.044,0.757,22.70,,
85,2310,Cue,1,3/12/2019,14:07,pm,Ali,Cue 90 videos\Test 85.szv,30.0,0.858,0.029,0.709,0.930,27.89,,
86,2310,Cue,2,3/12/2019,14:09,pm,Ali,Cue 90 videos\Test 86.szv,4.8,0.349,0.073,0.739,0.197,0.94,,
87,2310,Cue,3,3/12/2019,14:10,pm,Ali,Cue 90 videos\Test 87.szv,8.7,1.361,0.156,0.300,0.519,4.54,,
88,2310,Cue,4,3/12/2019,14:11,pm,Ali,Cue 90 videos\Test 88.szv,15.9,2.821,0.178,0.202,0.768,12.20,,
89,2310,Cue,5,3/12/2019,14:12,pm,Ali,Cue 90 videos\Test 89.szv,3.3,0.668,0.201,0.995,0.278,0.92,,
90,2310,Cue,6,3/12/2019,14:13,pm,Ali,Cue 90 videos\Test 90.szv,6.7,1.473,0.221,0.673,0.810,5.41,,
91,Y623,Cue,1,3/12/2019,14:16,pm,Ali,Cue 90 videos\Test 91.szv,3.9,0.342,0.088,0.923,0.123,0.48,,
92,Y623,Cue,2,3/12/2019,14:16,pm,Ali,Cue 90 videos\Test 92.szv,3.6,0.180,0.049,0.961,0.058,0.21,,
93,Y623,Cue,3,3/12/2019,14:17,pm,Ali,Cue 90 videos\Test 93.szv,2.6,0.126,0.049,0.854,0.108,0.28,,
94,Y623,Cue,4,3/12/2019,14:18,pm,Ali,Cue 90 videos\Test 94.szv,3.2,0.725,0.227,0.989,0.337,0.96,0.972,0.02
95,Y623,Cue,5,3/12/2019,14:18,pm,Ali,Cue 90 videos\Test 95.szv,2.9,0.294,0.102,0.878,0.091,0.26,,
96,Y623,Cue,6,3/12/2019,14:19,pm,Ali,Cue 90 videos\Test 96.szv,1.8,0.331,0.182,0.998,0.160,0.23,0.917,0.03
97,Y624,Cue,1,3/12/2019,14:21,pm,Ali,Cue 90 videos\Test 97.szv,5.2,1.169,0.226,0.668,0.524,2.72,,
98,Y624,Cue,2,3/12/2019,14:22,pm,Ali,Cue 90 videos\Test 98.szv,6.0,1.362,0.225,0.510,0.425,2.57,,
99,Y624,Cue,3,3/12/2019,14:23,pm,Ali,Cue 90 videos\Test 99.szv,1.6,0.143,0.088,0.994,0.108,0.14,0.999,0.03
100,Y624,Cue,4,3/12/2019,14:23,pm,Ali,Cue 90 videos\Test 100.szv,3.5,0.567,0.163,0.949,0.257,0.81,0.881,0.06
101,Y624,Cue,5,3/12/2019,14:24,pm,Ali,Cue 90 videos\Test 101.szv,5.1,1.112,0.219,0.647,0.458,2.17,0.635,1.10
102,Y624,Cue,6,3/12/2019,14:25,pm,Ali,Cue 90 videos\Test 102.szv,2.9,0.414,0.144,0.995,0.154,0.44,,
103,Y625,Cue,1,3/12/2019,14:27,pm,Ali,Cue 90 videos\Test 103.szv,3.3,0.420,0.127,0.972,0.161,0.48,0.969,-0.18
104,Y625,Cue,2,3/12/2019,14:28,pm,Ali,Cue 90 videos\Test 104.szv,6.1,0.340,0.056,0.915,0.065,0.39,0.547,0.05
105,Y625,Cue,3,3/12/2019,14:29,pm,Ali,Cue 90 videos\Test 105.szv,3.1,0.568,0.182,0.681,0.405,1.26,,
106,Y625,Cue,4,3/12/2019,14:29,pm,Ali,Cue 90 videos\Test 106.szv,2.0,0.419,0.211,0.981,0.236,0.39,0.978,0.04
107,Y625,Cue,5,3/12/2019,14:30,pm,Ali,Cue 90 videos\Test 107.szv,16.6,3.786,0.228,0.165,0.763,12.36,0.155,11.60
108,Y625,Cue,6,3/12/2019,14:31,pm,Ali,Cue 90 videos\Test 108.szv,2.5,0.413,0.168,0.928,0.207,0.46,0.903,0.02
