Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Platform : mean distance from (m),Platform : cumulative distance (m·s),Platform : path efficiency to entry,Platform : CIPL (m·s)
24,3304,Cue,6,7/13/2022,11:36,am,Liam,Cue - Cohort 130 videos\Test 24.szv,30.0,7.365,0.246,0.201,0.780,23.40,,
25,3307,Cue,1,7/13/2022,11:49,am,Liam,Cue - Cohort 130 videos\Test 25.szv,6.5,1.222,0.187,0.858,0.684,4.25,0.854,1.46
26,3307,Cue,2,7/13/2022,11:50,am,Liam,Cue - Cohort 130 videos\Test 26.szv,2.7,0.519,0.192,0.964,0.276,0.65,0.961,0.11
27,3307,Cue,3,7/13/2022,11:50,am,Liam,Cue - Cohort 130 videos\Test 27.szv,9.3,2.196,0.237,0.265,0.651,5.82,0.257,5.14
28,3307,Cue,4,7/13/2022,11:52,am,Liam,Cue - Cohort 130 videos\Test 28.szv,5.0,1.099,0.221,0.989,0.643,2.99,0.987,0.48
29,3307,Cue,5,7/13/2022,11:53,am,Liam,Cue - Cohort 130 videos\Test 29.szv,4.8,1.109,0.231,0.947,0.573,2.55,0.951,0.43
30,3307,Cue,6,7/13/2022,11:54,am,Liam,Cue - Cohort 130 videos\Test 30.szv,4.7,0.996,0.212,0.994,0.628,2.75,0.987,0.49
31,3309,Cue,1,7/13/2022,11:56,am,Liam,Cue - Cohort 130 videos\Test 31.szv,6.2,1.226,0.196,0.787,0.427,2.52,0.774,0.30
32,3309,Cue,2,7/13/2022,11:57,am,Liam,Cue - Cohort 130 videos\Test 32.szv,2.9,0.504,0.172,0.963,0.261,0.68,0.960,0.11
33,3309,Cue,3,7/13/2022,11:58,am,Liam,Cue - Cohort 130 videos\Test 33.szv,2.9,0.592,0.201,0.942,0.286,0.74,0.925,0.15
34,3309,Cue,4,7/13/2022,11:58,am,Liam,Cue - Cohort 130 videos\Test 34.szv,4.8,1.151,0.238,0.957,0.597,2.69,0.950,0.28
35,3309,Cue,5,7/13/2022,11:59,am,Liam,Cue - Cohort 130 videos\Test 35.szv,4.4,1.012,0.232,0.978,0.552,2.22,0.976,0.25
36,3309,Cue,6,7/13/2022,12:00,pm,Liam,Cue - Cohort 130 videos\Test 36.szv,4.4,1.066,0.243,0.986,0.583,2.37,0.989,0.33
37,3310,Cue,1,7/13/2022,12:04,pm,Liam,Cue - Cohort 130 videos\Test 37.szv,5.4,0.972,0.180,0.984,0.520,2.63,0.982,0.27
38,3310,Cue,2,7/13/2022,12:05,pm,Liam,Cue - Cohort 130 videos\Test 38.szv,4.2,0.716,0.170,0.675,0.298,1.15,0.675,0.55
39,3310,Cue,3,7/13/2022,12:05,pm,Liam,Cue - Cohort 130 videos\Test 39.szv,2.4,0.442,0.183,0.999,0.267,0.55,0.999,0.08
40,3310,Cue,4,7/13/2022,12:06,pm,Liam,Cue - Cohort 130 videos\Test 40.szv,22.1,4.554,0.206,0.249,0.849,18.49,0.227,15.89
41,3310,Cue,5,7/13/2022,12:07,pm,Liam,Cue - Cohort 130 videos\Test 41.szv,10.6,2.423,0.228,0.435,0.702,7.22,0.408,5.07
42,3310,Cue,6,7/13/2022,12:08,pm,Liam,Cue - Cohort 130 videos\Test 42.szv,9.8,2.454,0.251,0.456,0.686,6.49,0.436,4.28
43,Y878,Cue,1,7/13/2022,12:12,pm,Liam,Cue - Cohort 130 videos\Test 43.szv,12.0,1.152,0.096,0.842,0.447,5.22,0.825,0.51
44,Y878,Cue,2,7/13/2022,12:12,pm,Liam,Cue - Cohort 130 videos\Test 44.szv,3.1,0.469,0.152,0.981,0.227,0.63,0.991,0.03
45,Y878,Cue,3,7/13/2022,12:12,pm,Liam,Cue - Cohort 130 videos\Test 45.szv,5.8,1.123,0.195,0.529,0.343,1.87,0.493,1.10
46,Y878,Cue,4,7/13/2022,12:13,pm,Liam,Cue - Cohort 130 videos\Test 46.szv,4.9,1.116,0.229,0.994,0.559,2.53,0.996,0.11
47,Y878,Cue,5,7/13/2022,12:14,pm,Liam,Cue - Cohort 130 videos\Test 47.szv,4.0,1.059,0.265,0.990,0.614,2.25,0.992,0.37
48,Y878,Cue,6,7/13/2022,12:16,pm,Liam,Cue - Cohort 130 videos\Test 48.szv,3.7,1.098,0.300,0.999,0.600,1.99,0.997,0.27
49,Y879,Cue,1,7/13/2022,12:18,pm,Liam,Cue - Cohort 130 videos\Test 49.szv,4.0,1.014,0.252,0.975,0.467,1.72,0.973,-0.01
50,Y879,Cue,2,7/13/2022,12:18,pm,Liam,Cue - Cohort 130 videos\Test 50.szv,4.3,1.053,0.245,0.531,0.335,1.32,0.455,0.87
51,Y879,Cue,3,7/13/2022,12:19,pm,Liam,Cue - Cohort 130 videos\Test 51.szv,2.3,0.494,0.215,0.933,0.263,0.51,0.923,0.07
52,Y879,Cue,4,7/13/2022,12:19,pm,Liam,Cue - Cohort 130 videos\Test 52.szv,4.5,1.294,0.291,0.855,0.635,2.61,0.838,0.72
53,Y879,Cue,5,7/13/2022,12:20,pm,Liam,Cue - Cohort 130 videos\Test 53.szv,4.5,1.576,0.350,0.732,0.640,2.67,0.711,1.04
54,Y879,Cue,6,7/13/2022,12:22,pm,Liam,Cue - Cohort 130 videos\Test 54.szv,5.6,2.009,0.361,0.583,0.732,3.83,0.550,2.19
55,Y880,Cue,1,7/13/2022,12:24,pm,Liam,Cue - Cohort 130 videos\Test 55.szv,7.2,0.905,0.126,0.980,0.344,2.36,0.980,-0.89
56,Y880,Cue,2,7/13/2022,12:25,pm,Liam,Cue - Cohort 130 videos\Test 56.szv,6.5,2.174,0.333,0.512,0.781,4.82,0.535,2.95
57,Y880,Cue,3,7/13/2022,12:27,pm,Liam,Cue - Cohort 130 videos\Test 57.szv,3.7,0.834,0.225,0.692,0.304,1.03,0.651,0.42
58,Y880,Cue,4,7/13/2022,12:27,pm,Liam,Cue - Cohort 130 videos\Test 58.szv,5.0,1.517,0.304,0.765,0.708,3.29,0.753,1.32
59,Y880,Cue,5,7/13/2022,12:28,pm,Liam,Cue - Cohort 130 videos\Test 59.szv,4.7,1.416,0.304,0.762,0.625,2.71,0.736,1.03
60,Y880,Cue,6,7/13/2022,12:29,pm,Liam,Cue - Cohort 130 videos\Test 60.szv,5.2,1.675,0.320,0.686,0.771,3.78,0.673,1.92
61,3316,Cue,1,7/13/2022,12:32,pm,Liam,Cue - Cohort 130 videos\Test 61.szv,11.7,2.771,0.238,0.403,0.760,8.61,0.366,6.45
62,3316,Cue,2,7/13/2022,12:33,pm,Liam,Cue - Cohort 130 videos\Test 62.szv,2.7,0.468,0.172,0.955,0.264,0.63,0.952,0.12
63,3316,Cue,3,7/13/2022,12:33,pm,Liam,Cue - Cohort 130 videos\Test 63.szv,2.7,0.529,0.194,0.981,0.290,0.69,0.969,0.10
64,3316,Cue,4,7/13/2022,12:34,pm,Liam,Cue - Cohort 130 videos\Test 64.szv,4.8,1.170,0.245,0.974,0.591,2.63,0.952,0.33
65,3316,Cue,5,7/13/2022,12:35,pm,Liam,Cue - Cohort 130 videos\Test 65.szv,4.6,1.008,0.221,0.939,0.570,2.41,0.934,0.42
66,3316,Cue,6,7/13/2022,12:36,pm,Liam,Cue - Cohort 130 videos\Test 66.szv,5.0,1.088,0.216,0.985,0.635,2.99,0.967,0.52
67,3317,Cue,1,7/13/2022,12:38,pm,Liam,Cue - Cohort 130 videos\Test 67.szv,5.5,1.054,0.193,0.892,0.501,2.58,0.840,0.51
68,3317,Cue,2,7/13/2022,12:39,pm,Liam,Cue - Cohort 130 videos\Test 68.szv,6.2,0.407,0.065,0.920,0.143,0.89,,
69,3317,Cue,3,7/13/2022,12:39,pm,Liam,Cue - Cohort 130 videos\Test 69.szv,7.4,0.678,0.091,0.747,0.325,2.31,0.663,1.10
70,3317,Cue,4,7/13/2022,12:40,pm,Liam,Cue - Cohort 130 videos\Test 70.szv,5.5,1.035,0.188,0.969,0.546,2.83,0.967,0.27
71,3317,Cue,5,7/13/2022,12:44,pm,Liam,Cue - Cohort 130 videos\Test 71.szv,7.3,1.201,0.165,0.832,0.639,4.65,,
72,3317,Cue,6,7/13/2022,12:45,pm,Liam,Cue - Cohort 130 videos\Test 72.szv,25.4,4.496,0.177,0.003,0.621,15.76,,
73,3318,Cue,1,7/13/2022,12:48,pm,Liam,Cue - Cohort 130 videos\Test 73.szv,12.0,2.032,0.169,0.529,0.581,6.79,0.504,3.74
74,3318,Cue,2,7/13/2022,12:49,pm,Liam,Cue - Cohort 130 videos\Test 74.szv,4.0,0.620,0.154,0.861,0.240,0.88,0.837,0.11
75,3318,Cue,3,7/13/2022,12:49,pm,Liam,Cue - Cohort 130 videos\Test 75.szv,16.5,3.464,0.210,0.181,0.689,11.11,0.165,10.33
76,3318,Cue,4,7/13/2022,12:50,pm,Liam,Cue - Cohort 130 videos\Test 76.szv,23.5,4.896,0.208,0.237,0.667,15.46,0.217,12.72
77,3318,Cue,5,7/13/2022,12:51,pm,Liam,Cue - Cohort 130 videos\Test 77.szv,30.0,4.871,0.162,0.130,0.875,26.25,,
78,3318,Cue,6,7/13/2022,12:53,pm,Liam,Cue - Cohort 130 videos\Test 78.szv,9.8,1.934,0.198,0.568,0.799,7.52,0.550,4.81
