Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,AQ TRR to End of Test; Duration (s),Base; Duration (s),AQ TRR to End of Test; Distance (m),Base; Distance (m),AQ TRR to End of Test; Mean speed (m/s),Base; Mean speed (m/s),AQ TRR to End of Test; Path efficiency,Base; Path efficiency,AQ TRR to End of Test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ TRR to End of Test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ TRR to End of Test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s)
33,Y865,AQ (Day1),3,5/2/2022,11:23,am,Raul,MWM Cohort 128 videos\Test 16417.szv,85.7,30,17.442,7.938,0.204,0.265,0.007,0.03,0.825,0.789,70.74,23.67,,,72.08
34,3282,AQ (Day1),1,5/2/2022,11:28,am,Raul,MWM Cohort 128 videos\Test 16418.szv,85.2,30,18.664,7.364,0.219,0.245,0.066,0.159,0.801,0.881,68.24,26.43,,,70.57
35,3282,AQ (Day1),2,5/2/2022,11:30,am,Raul,MWM Cohort 128 videos\Test 16419.szv,87.6,30,16.979,6.816,0.194,0.227,0.089,0.228,0.946,0.917,82.88,27.5,,,83.32
36,3282,AQ (Day1),3,5/2/2022,11:33,am,Raul,MWM Cohort 128 videos\Test 16420.szv,85.4,30,17.997,6.416,0.211,0.214,0.069,0.22,0.776,0.819,66.3,24.56,,,68.1
37,3284,AQ (Day1),1,5/2/2022,11:38,am,Raul,MWM Cohort 128 videos\Test 16421.szv,82.8,30,13.98,7.144,0.169,0.238,0.036,0.071,0.721,0.731,59.66,21.92,,,61.66
38,3284,AQ (Day1),2,5/2/2022,11:40,am,Raul,MWM Cohort 128 videos\Test 16422.szv,86.2,30,14.857,6.617,0.172,0.221,0.04,0.218,0.774,0.855,66.68,25.64,,,68.29
39,3284,AQ (Day1),3,5/2/2022,11:43,am,Raul,MWM Cohort 128 videos\Test 16423.szv,82.9,30,11.449,4.279,0.138,0.143,0.059,0.203,0.844,1.001,69.94,30.04,,,72.43
40,3285,AQ (Day1),1,5/2/2022,11:48,am,Raul,MWM Cohort 128 videos\Test 16424.szv,81.9,30,16.371,4.97,0.2,0.166,0.069,0.078,0.658,0.79,53.67,23.7,0.064,,57.46
41,3285,AQ (Day1),2,5/2/2022,11:50,am,Raul,MWM Cohort 128 videos\Test 16425.szv,86.6,30,13.075,5.846,0.151,0.195,0.021,0.129,0.608,0.64,52.63,19.21,,,53.23
42,3285,AQ (Day1),3,5/2/2022,11:53,am,Raul,MWM Cohort 128 videos\Test 16426.szv,83.5,30,10.204,4.943,0.122,0.165,0.019,0.305,0.641,0.686,53.51,20.58,,,55.82
43,3286,AQ (Day1),1,5/2/2022,11:57,am,Raul,MWM Cohort 128 videos\Test 16427.szv,82.1,30,14.611,5.914,0.178,0.197,0.107,0.113,0.629,0.762,51.68,22.87,,,55.79
44,3286,AQ (Day1),2,5/2/2022,12:00,pm,Raul,MWM Cohort 128 videos\Test 16428.szv,86,30,9.672,4.571,0.112,0.152,0.064,0.192,0.802,0.781,68.97,23.42,,,69.71
45,3286,AQ (Day1),3,5/2/2022,12:03,pm,Raul,MWM Cohort 128 videos\Test 16429.szv,82.6,30,15.21,6.355,0.184,0.212,0.079,0.155,0.671,0.76,55.46,22.79,,,59.11
46,3288,AQ (Day1),1,5/2/2022,12:08,pm,Raul,MWM Cohort 128 videos\Test 16430.szv,85.1,30,19.199,9.141,0.226,0.305,0.011,0.014,0.723,0.781,61.55,23.44,,,64.19
47,3288,AQ (Day1),2,5/2/2022,12:10,pm,Raul,MWM Cohort 128 videos\Test 16431.szv,15.2,17.5,3.968,4.066,0.261,0.232,0.178,0.146,0.787,0.754,11.73,12.98,0.149,0.125,12.4
48,3288,AQ (Day1),3,5/2/2022,12:11,pm,Raul,MWM Cohort 128 videos\Test 16432.szv,85.5,30,16.738,7.715,0.196,0.257,0.042,0.056,0.692,0.636,59.19,19.08,,,60.03
49,Y860,AQ (Day2),1,5/3/2022,9:45,am,Raul,MWM Cohort 128 videos\Test 49.szv,47.3,30,9.124,5.446,0.193,0.182,0.057,0.122,0.698,0.617,32.77,18.5,0.053,,33.59
50,Y860,AQ (Day2),2,5/3/2022,9:47,am,Raul,MWM Cohort 128 videos\Test 16476.szv,6.1,11.4,1.412,2.457,0.232,0.216,0.433,0.449,0.523,0.631,3.01,6.98,0.405,0.42,4.53
52,Y861,AQ (Day2),1,5/3/2022,9:50,am,Raul,MWM Cohort 128 videos\Test 16478.szv,86.8,30,17.45,6.814,0.201,0.227,0.056,0.187,0.92,0.867,79.84,26.02,,,81.3
53,Y861,AQ (Day2),2,5/3/2022,9:53,am,Raul,MWM Cohort 128 videos\Test 16479.szv,84.4,30,14.729,5.616,0.175,0.187,0.013,0.063,0.818,0.923,69.01,27.69,,,71.9
55,Y862,AQ (Day2),1,5/3/2022,9:59,am,Raul,MWM Cohort 128 videos\Test 16481.szv,20.5,23.4,1.352,1.352,0.066,0.058,0.46,0.493,0.298,0.332,6.01,7.67,0.413,0.449,4.36
56,Y862,AQ (Day2),2,5/3/2022,10:00,am,Raul,MWM Cohort 128 videos\Test 16482.szv,11.9,16.9,3.565,4.813,0.3,0.284,0.348,0.228,0.612,0.708,7.09,11.75,0.334,0.215,9.84
58,3274,AQ (Day2),1,5/3/2022,10:06,am,Raul,MWM Cohort 128 videos\Test 16484.szv,66.7,30,11.463,4.697,0.172,0.157,0.064,0.318,0.691,0.711,45.95,21.32,0.055,,46.71
59,3274,AQ (Day2),2,5/3/2022,10:08,am,Raul,MWM Cohort 128 videos\Test 16485.szv,83.7,30,16.953,6.439,0.203,0.215,0.032,0.225,0.643,0.799,53.82,23.96,,,56.45
61,3275,AQ (Day2),1,5/3/2022,10:15,am,Raul,MWM Cohort 128 videos\Test 16487.szv,81.4,30,18.049,6.572,0.222,0.219,0.026,0.211,0.723,0.664,58.63,19.93,0.025,,59.22
62,3275,AQ (Day2),2,5/3/2022,10:17,am,Raul,MWM Cohort 128 videos\Test 16488.szv,5.8,11,1.199,2.525,0.208,0.23,0.451,0.403,0.266,0.475,1.38,4.94,0.396,0.399,2.88
64,3278,AQ (Day2),1,5/3/2022,10:21,am,Raul,MWM Cohort 128 videos\Test 16490.szv,86.6,30,13.24,4.664,0.153,0.155,0.094,0.28,0.734,0.585,63.6,17.56,,,64.28
65,3278,AQ (Day2),2,5/3/2022,10:24,am,Raul,MWM Cohort 128 videos\Test 16491.szv,83.1,30,11.72,4.429,0.141,0.148,0.104,0.016,0.713,0.689,59.28,20.67,,,61.27
67,3279,AQ (Day2),1,5/3/2022,10:31,am,Raul,MWM Cohort 128 videos\Test 16493.szv,87,30,14.347,5.041,0.165,0.168,0.055,0.258,0.83,0.727,72.18,21.81,,,72.93
68,3279,AQ (Day2),2,5/3/2022,10:33,am,Raul,MWM Cohort 128 videos\Test 16494.szv,23.6,29.3,5.111,5.779,0.217,0.197,0.248,0.19,0.667,0.741,15.5,21.47,0.233,0.181,18.63
70,3280,AQ (Day2),1,5/3/2022,10:39,am,Raul,MWM Cohort 128 videos\Test 16496.szv,87.6,30,23.946,8.854,0.273,0.295,0.048,0.135,0.799,0.777,69.96,23.31,,,70.5
71,3280,AQ (Day2),2,5/3/2022,10:41,am,Raul,MWM Cohort 128 videos\Test 16497.szv,85.4,30,21.113,7.911,0.247,0.264,0.065,0.152,0.717,0.773,61.23,23.19,,,63.42
73,Y863,AQ (Day2),1,5/3/2022,10:48,am,Raul,MWM Cohort 128 videos\Test 16499.szv,14.5,17.3,2.984,3.691,0.206,0.214,0.358,0.183,0.701,0.723,9.9,12.25,0.349,0.178,11.22
74,Y863,AQ (Day2),2,5/3/2022,10:49,am,Raul,MWM Cohort 128 videos\Test 16500.szv,2.2,6.5,0.46,1.667,0.209,0.256,1.002,0.643,0.2,0.494,0.37,3.04,0.867,0.592,1.1
76,Y864,AQ (Day2),1,5/3/2022,10:54,am,Raul,MWM Cohort 128 videos\Test 16502.szv,87.4,30,18.258,5.067,0.209,0.169,0.077,0.024,0.844,0.761,73.75,22.82,,,74.35
77,Y864,AQ (Day2),2,5/3/2022,10:56,am,Raul,MWM Cohort 128 videos\Test 16503.szv,17.8,22.7,3.699,4.527,0.208,0.199,0.258,0.234,0.626,0.692,10.95,15.51,0.238,0.224,12.89
79,Y865,AQ (Day2),1,5/3/2022,11:00,am,Raul,MWM Cohort 128 videos\Test 16505.szv,47.1,30,10.915,6.314,0.232,0.21,0.042,0.017,0.723,0.701,33.67,21.03,0.04,,34.11
80,Y865,AQ (Day2),2,5/3/2022,11:01,am,Raul,MWM Cohort 128 videos\Test 16506.szv,85.3,30,17.542,6.715,0.206,0.224,0.058,0.09,0.7,0.502,59.69,15.05,,,59.93
82,3282,AQ (Day2),1,5/3/2022,11:07,am,Raul,MWM Cohort 128 videos\Test 16508.szv,35.7,30,10.371,8.429,0.291,0.281,0.07,0.172,0.775,0.754,27.43,22.63,0.062,,28.06
83,3282,AQ (Day2),2,5/3/2022,11:09,am,Raul,MWM Cohort 128 videos\Test 16509.szv,10.8,13,3.143,3.143,0.291,0.242,0.181,0.185,0.667,0.634,6.98,8.04,0.147,0.152,7.53
85,3284,AQ (Day2),1,5/3/2022,11:14,am,Raul,MWM Cohort 128 videos\Test 16511.szv,86.4,30,12.986,6.104,0.15,0.203,0.034,0.213,0.761,0.666,65.77,19.98,,,66.57
86,3284,AQ (Day2),2,5/3/2022,11:16,am,Raul,MWM Cohort 128 videos\Test 16512.szv,83,30,10.808,3.886,0.13,0.13,0.016,0.241,0.857,0.944,71.15,28.32,,,74.11
88,3285,AQ (Day2),1,5/3/2022,11:22,am,Raul,MWM Cohort 128 videos\Test 16514.szv,86.8,30,17.766,5.196,0.205,0.173,0.086,0.225,0.813,0.659,70.57,19.78,,,71.48
89,3285,AQ (Day2),2,5/3/2022,11:25,am,Raul,MWM Cohort 128 videos\Test 16515.szv,83.5,30,12.78,6.002,0.153,0.2,0.072,0.019,0.679,0.781,56.67,23.42,,,59.43
91,3286,AQ (Day2),1,5/3/2022,11:31,am,Raul,MWM Cohort 128 videos\Test 16517.szv,86.2,30,8.886,1.832,0.103,0.061,0.09,0.138,0.699,0.569,60.23,17.06,,,61.14
92,3286,AQ (Day2),2,5/3/2022,11:34,am,Raul,MWM Cohort 128 videos\Test 16518.szv,2.9,10.5,0.526,1.271,0.183,0.121,0.837,0.846,0.205,0.697,0.52,7.06,0.762,0.817,2.74
94,3288,AQ (Day2),1,5/3/2022,11:38,am,Raul,MWM Cohort 128 videos\Test 16520.szv,87.4,30,21.531,8.38,0.246,0.279,0.015,0.111,0.711,0.749,62.15,22.48,,,63.06
95,3288,AQ (Day2),2,5/3/2022,11:41,am,Raul,MWM Cohort 128 videos\Test 16521.szv,85.2,30,17.996,7.734,0.211,0.258,0.023,0.201,0.71,0.795,60.52,23.86,,,62.33
97,Y860,AQ (Day3),1,5/4/2022,10:02,am,Raul,MWM Cohort 128 videos\Test 97.szv,54.3,30,8.773,5.517,0.162,0.184,0.048,0.277,0.597,0.447,32.21,13.42,0.04,,31.83
98,Y860,AQ (Day3),2,5/4/2022,10:04,am,Raul,MWM Cohort 128 videos\Test 16567.szv,20.2,23.1,3.874,4.495,0.192,0.195,0.088,0.135,0.562,0.547,11.16,12.45,0.066,0.128,11.58
99,Y860,AQ (Day3),3,5/4/2022,10:05,am,Raul,MWM Cohort 128 videos\Test 16568.szv,5.1,5.1,1.283,1.283,0.252,0.251,0.894,0.867,0.725,0.725,3.47,3.47,0.863,0.863,1.06
100,Y861,AQ (Day3),1,5/4/2022,10:07,am,Raul,MWM Cohort 128 videos\Test 16569.szv,84.6,30,16.427,7.979,0.194,0.266,0.085,0.172,0.704,0.702,59.58,21.06,,,60.45
101,Y861,AQ (Day3),2,5/4/2022,10:09,am,Raul,MWM Cohort 128 videos\Test 16570.szv,86.7,30,11.981,5.208,0.138,0.174,0.113,0.243,0.953,0.933,82.62,27.99,,,83.47
102,Y861,AQ (Day3),3,5/4/2022,10:12,am,Raul,MWM Cohort 128 videos\Test 16571.szv,84,30,11.324,5.795,0.135,0.193,0.087,0.12,0.951,0.873,79.89,26.2,,,82.31
103,Y862,AQ (Day3),1,5/4/2022,10:15,am,Raul,MWM Cohort 128 videos\Test 16572.szv,60.2,30,16.341,6.751,0.272,0.225,0.07,0.162,0.726,0.814,43.45,24.42,0.063,,45.91
104,Y862,AQ (Day3),2,5/4/2022,10:17,am,Raul,MWM Cohort 128 videos\Test 16573.szv,0.3,2.8,0,0.577,0,0.204,,0.93,0,0.344,0,0.85,,0.963,0.17
105,Y862,AQ (Day3),3,5/4/2022,10:18,am,Raul,MWM Cohort 128 videos\Test 16574.szv,85,30,21.536,6.659,0.253,0.222,0.062,0.224,0.72,0.781,61.23,23.42,,,64.11
106,3274,AQ (Day3),1,5/4/2022,10:22,am,Raul,MWM Cohort 128 videos\Test 16575.szv,83.7,30,14.688,5.794,0.175,0.193,0.003,0.1,0.902,0.846,75.51,25.38,,,78.8
107,3274,AQ (Day3),2,5/4/2022,10:24,am,Raul,MWM Cohort 128 videos\Test 16576.szv,86.6,30,13.907,5.9,0.161,0.197,0.073,0.255,0.905,0.678,78.39,20.34,,,78.72
108,3274,AQ (Day3),3,5/4/2022,10:27,am,Raul,MWM Cohort 128 videos\Test 16577.szv,83.3,30,13.124,5.549,0.158,0.185,0.038,0.28,0.673,0.737,56.09,22.11,,,56.78
109,3275,AQ (Day3),1,5/4/2022,10:31,am,Raul,MWM Cohort 128 videos\Test 16578.szv,4.3,4.3,1.109,1.109,0.258,0.258,0.954,0.954,0.577,0.577,2.29,2.29,0.907,0.907,0.42
110,3275,AQ (Day3),2,5/4/2022,10:32,am,Raul,MWM Cohort 128 videos\Test 16579.szv,73.6,30,16.044,6.95,0.218,0.232,0.042,0.115,0.735,0.773,53.83,23.18,0.039,,54.39
111,3275,AQ (Day3),3,5/4/2022,10:34,am,Raul,MWM Cohort 128 videos\Test 16580.szv,21.3,26.2,4.693,5.767,0.22,0.22,0.14,0.2,0.655,0.677,13.75,17.53,0.134,0.187,14.85
112,3278,AQ (Day3),1,5/4/2022,10:36,am,Raul,MWM Cohort 128 videos\Test 16581.szv,84.2,30,12.198,3.799,0.145,0.127,0.017,0.349,0.842,1.007,70.91,30.22,,,71.82
113,3278,AQ (Day3),2,5/4/2022,10:39,am,Raul,MWM Cohort 128 videos\Test 16582.szv,86.6,30,14.58,4.401,0.168,0.147,0.025,0.223,0.783,0.698,67.8,20.95,,,68.61
114,3278,AQ (Day3),3,5/4/2022,10:41,am,Raul,MWM Cohort 128 videos\Test 16583.szv,29.1,30,4.759,4.707,0.164,0.157,0.129,0.183,0.661,0.713,18.99,21.4,0.118,,20.54
115,3279,AQ (Day3),1,5/4/2022,10:44,am,Raul,MWM Cohort 128 videos\Test 16584.szv,85.2,30,18.664,7.147,0.219,0.238,0.051,0.214,0.772,0.912,65.81,27.36,,,68.25
116,3279,AQ (Day3),2,5/4/2022,10:46,am,Raul,MWM Cohort 128 videos\Test 16585.szv,87.5,30,17.703,6.474,0.202,0.216,0.068,0.227,0.662,0.718,57.9,21.54,,,58.24
117,3279,AQ (Day3),3,5/4/2022,10:49,am,Raul,MWM Cohort 128 videos\Test 16586.szv,79.3,30,16.471,5.507,0.208,0.184,0.062,0.102,0.764,0.828,60.35,24.83,0.059,,62.6
118,3280,AQ (Day3),1,5/4/2022,10:52,am,Raul,MWM Cohort 128 videos\Test 16587.szv,85.3,30,22.986,8.523,0.269,0.284,0.045,0.176,0.725,0.772,61.87,23.16,,,63.03
119,3280,AQ (Day3),2,5/4/2022,10:54,am,Raul,MWM Cohort 128 videos\Test 16588.szv,58.4,30,12.41,6.392,0.213,0.213,0.031,0.109,0.782,0.79,45.32,23.7,0.029,,45.7
120,3280,AQ (Day3),3,5/4/2022,10:56,am,Raul,MWM Cohort 128 videos\Test 16589.szv,87.4,30,16.457,5.974,0.188,0.199,0.062,0.213,0.649,0.695,56.73,20.84,,,57.03
121,Y863,AQ (Day3),1,5/4/2022,11:00,am,Raul,MWM Cohort 128 videos\Test 16590.szv,85,30,18.649,6.462,0.219,0.215,0.082,0.194,0.656,0.506,55.75,15.19,,,56.31
122,Y863,AQ (Day3),2,5/4/2022,11:02,am,Raul,MWM Cohort 128 videos\Test 16591.szv,86.8,30,17.259,7.097,0.199,0.237,0.035,0.201,0.833,0.804,72.27,24.11,,,73.53
123,Y863,AQ (Day3),3,5/4/2022,11:05,am,Raul,MWM Cohort 128 videos\Test 16592.szv,71,30,11.027,4.34,0.155,0.145,0.079,0.112,0.62,0.701,43.8,21.02,0.072,,44.75
124,Y864,AQ (Day3),1,5/4/2022,11:08,am,Raul,MWM Cohort 128 videos\Test 16593.szv,43.1,30,9.547,6.358,0.222,0.212,0.08,0.215,0.682,0.764,29.14,22.91,0.07,,30.89
125,Y864,AQ (Day3),2,5/4/2022,11:09,am,Raul,MWM Cohort 128 videos\Test 16594.szv,12.2,15.1,3.152,3.786,0.259,0.251,0.222,0.158,0.473,0.499,5.61,7.36,0.214,0.157,6.65
126,Y864,AQ (Day3),3,5/4/2022,11:10,am,Raul,MWM Cohort 128 videos\Test 16595.szv,2.9,8.3,0.162,1.282,0.057,0.155,0.519,0.897,0.095,0.498,0.24,3.95,0.401,0.856,0.15
127,Y865,AQ (Day3),1,5/4/2022,11:13,am,Raul,MWM Cohort 128 videos\Test 16596.szv,85.5,30,17.196,6.012,0.201,0.2,0.011,0.228,0.847,0.795,72.38,23.84,,,73.94
128,Y865,AQ (Day3),2,5/4/2022,11:15,am,Raul,MWM Cohort 128 videos\Test 16597.szv,87.3,30,20.922,7.943,0.24,0.265,0.021,0.027,0.647,0.63,56.48,18.9,,,57.02
129,Y865,AQ (Day3),3,5/4/2022,11:17,am,Raul,MWM Cohort 128 videos\Test 16598.szv,80,30,16.24,6.463,0.203,0.215,0.049,0.179,0.815,0.753,65.22,22.59,,,66.58
130,3282,AQ (Day3),1,5/4/2022,11:21,am,Raul,MWM Cohort 128 videos\Test 16599.szv,85.2,30,19.424,8.79,0.228,0.293,0.08,0.081,0.82,0.78,69.88,23.39,,,71.05
131,3282,AQ (Day3),2,5/4/2022,11:24,am,Raul,MWM Cohort 128 videos\Test 16600.szv,87.2,30,17.465,6.994,0.2,0.233,0.052,0.204,0.677,0.753,59.07,22.58,,,59.85
132,3282,AQ (Day3),3,5/4/2022,11:26,am,Raul,MWM Cohort 128 videos\Test 16601.szv,84.7,30,14.296,4.659,0.169,0.155,0.043,0.033,0.857,0.717,72.62,21.5,,,74.44
133,3284,AQ (Day3),1,5/4/2022,11:30,am,Raul,MWM Cohort 128 videos\Test 16602.szv,85.3,30,18.39,7.842,0.216,0.261,0.043,0.202,0.78,0.748,66.56,22.43,,,68.53
134,3284,AQ (Day3),2,5/4/2022,11:32,am,Raul,MWM Cohort 128 videos\Test 16603.szv,65.1,30,12.979,5.61,0.199,0.187,0.048,0.132,0.773,0.704,50.06,21.13,0.042,,50.54
135,3284,AQ (Day3),3,5/4/2022,11:34,am,Raul,MWM Cohort 128 videos\Test 16604.szv,16.1,21.1,4.154,4.715,0.258,0.224,0.187,0.246,0.615,0.716,9.66,14.82,0.177,0.234,12
136,3285,AQ (Day3),1,5/4/2022,11:36,am,Raul,MWM Cohort 128 videos\Test 16605.szv,85.1,30,19.801,7.772,0.233,0.259,0.047,0.151,0.727,0.741,61.86,22.23,,,62.5
137,3285,AQ (Day3),2,5/4/2022,11:39,am,Raul,MWM Cohort 128 videos\Test 16606.szv,87.2,30,14.961,4.993,0.172,0.166,0.043,0.023,0.729,0.629,63.57,18.87,,,63.8
138,3285,AQ (Day3),3,5/4/2022,11:41,am,Raul,MWM Cohort 128 videos\Test 16607.szv,84.6,30,12.529,4.706,0.148,0.157,0.075,0.292,0.756,0.602,63.92,18.06,,,64.88
139,3286,AQ (Day3),1,5/4/2022,11:44,am,Raul,MWM Cohort 128 videos\Test 16608.szv,83,30,6.903,2.13,0.083,0.071,0.135,0.523,0.889,0.905,73.81,27.14,,,72.68
140,3286,AQ (Day3),2,5/4/2022,11:47,am,Raul,MWM Cohort 128 videos\Test 16609.szv,41.5,30,6.903,5.628,0.166,0.188,0.093,0.163,0.882,0.845,36.33,25.36,0.079,,37.5
