Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,Probe TRR to 30s; Duration (s),Base; Duration (s),Probe TRR to 30s; Distance (m),Base; Distance (m),Probe TRR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe TRR to 30s; Path efficiency,Base; Path efficiency,Probe TRR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe TRR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe TRR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s)
111,1756,Probe1 (Day2),1,8/22/2017,11:51,am,starneshm,Cohort 70 videos\Test 111.szv,24.7,30.0,4.920,5.658,0.199,0.189,0.128,0.241,0.743,0.764,18.13,22.69,0.514,0.503,4.96
114,1757,Probe1 (Day2),1,8/22/2017,11:59,am,starneshm,Cohort 70 videos\Test 114.szv,25.1,30.0,5.857,6.951,0.233,0.232,0.155,0.118,0.613,0.660,15.15,19.53,0.103,0.168,16.49
117,1758,Probe1 (Day2),1,8/22/2017,12:17,pm,starneshm,Cohort 70 videos\Test 117.szv,22.4,30.0,3.198,4.045,0.143,0.135,0.317,0.346,0.444,0.600,9.76,17.75,0.320,0.310,12.44
120,1761,Probe1 (Day2),1,8/22/2017,12:25,pm,starneshm,Cohort 70 videos\Test 120.szv,22.3,30.0,3.873,5.215,0.174,0.174,0.203,0.259,0.486,0.612,10.84,18.37,,,26.89
123,1765,Probe1 (Day2),1,8/22/2017,12:33,pm,starneshm,Cohort 70 videos\Test 123.szv,22.7,30.0,3.720,7.739,0.164,0.258,0.226,0.059,0.492,0.589,11.17,17.67,,,
126,1766,Probe1 (Day2),1,8/22/2017,12:43,pm,starneshm,Cohort 70 videos\Test 126.szv,23.6,30.0,4.925,5.850,0.209,0.195,0.126,0.199,0.723,0.809,17.07,24.26,,,
129,1767,Probe1 (Day2),1,8/22/2017,12:52,pm,starneshm,Cohort 70 videos\Test 129.szv,23.5,30.0,5.409,6.219,0.230,0.207,0.164,0.142,0.731,0.783,17.17,23.50,,,
132,1770,Probe1 (Day2),1,8/22/2017,13:01,pm,starneshm,Cohort 70 videos\Test 132.szv,23.9,30.0,4.337,5.487,0.181,0.183,0.093,0.260,0.573,0.601,13.71,18.04,,,
135,1771,Probe1 (Day2),1,8/22/2017,13:11,pm,starneshm,Cohort 70 videos\Test 135.szv,21.6,30.0,3.159,4.466,0.146,0.149,0.107,0.059,0.828,0.881,17.89,26.43,,,24.54
138,Y503,Probe1 (Day2),1,8/22/2017,13:20,pm,starneshm,Cohort 70 videos\Test 138.szv,26.2,30.0,8.061,8.702,0.308,0.290,0.065,0.079,0.795,0.813,20.83,24.38,,,33.12
141,Y504,Probe1 (Day2),1,8/22/2017,13:28,pm,starneshm,Cohort 70 videos\Test 141.szv,25.3,30.0,6.438,7.303,0.254,0.243,0.210,0.165,0.605,0.685,15.32,20.55,,,37.00
144,Y505,Probe1 (Day2),1,8/22/2017,13:35,pm,starneshm,Cohort 70 videos\Test 144.szv,25.8,30.0,6.957,8.200,0.270,0.273,0.192,0.045,0.716,0.727,18.48,21.82,,,
219,1742,Probe2 (Day4),1,8/24/2017,9:56:,am,starneshm,Cohort 70 videos\Test 219.szv,27.4,30.0,3.035,7.029,0.111,0.234,0.225,0.116,0.466,0.468,12.78,14.03,,,
222,1743,Probe2 (Day4),1,8/24/2017,10:04,am,starneshm,Cohort 70 videos\Test 222.szv,27.4,30.0,4.812,4.973,0.176,0.166,0.270,0.283,0.563,0.539,15.13,15.90,0.652,0.966,0.21
225,1746,Probe2 (Day4),1,8/24/2017,10:22,am,starneshm,Cohort 70 videos\Test 225.szv,26.7,30.0,4.193,4.372,0.157,0.146,0.064,0.046,0.589,0.572,15.71,17.16,,,17.76
228,1748,Probe2 (Day4),1,8/24/2017,10:29,am,starneshm,Cohort 70 videos\Test 228.szv,27.8,30.0,5.516,5.605,0.198,0.187,0.235,0.248,0.712,0.688,19.80,20.64,,,
231,1749,Probe2 (Day4),1,8/24/2017,10:36,am,starneshm,Cohort 70 videos\Test 231.szv,27.4,30.0,4.982,5.393,0.182,0.180,0.260,0.223,0.965,0.922,26.45,27.65,,,28.31
234,1751,Probe2 (Day4),1,8/24/2017,10:43,am,starneshm,Cohort 70 videos\Test 234.szv,25.4,30.0,4.076,5.721,0.160,0.191,0.172,0.062,0.438,0.438,11.12,13.13,,,12.27
237,1752,Probe2 (Day4),1,8/24/2017,10:48,am,starneshm,Cohort 70 videos\Test 237.szv,27.1,30.0,4.802,5.249,0.177,0.175,0.059,0.118,0.704,0.683,19.08,20.49,,,
240,1753,Probe2 (Day4),1,8/24/2017,10:55,am,starneshm,Cohort 70 videos\Test 240.szv,28.1,30.0,6.057,6.210,0.216,0.207,0.200,0.217,0.572,0.556,15.51,16.14,0.495,0.572,0.53
243,1755,Probe2 (Day4),1,8/24/2017,11:03,am,starneshm,Cohort 70 videos\Test 243.szv,27.1,30.0,4.095,4.351,0.151,0.145,0.314,0.294,0.500,0.492,13.31,14.52,0.176,0.139,10.62
246,Y500,Probe2 (Day4),1,8/24/2017,11:10,am,starneshm,Cohort 70 videos\Test 246.szv,28.2,30.0,7.868,8.154,0.279,0.272,0.058,0.027,0.550,0.543,15.29,16.07,0.127,0.136,5.40
249,Y501,Probe2 (Day4),1,8/24/2017,11:16,am,starneshm,Cohort 70 videos\Test 249.szv,28.0,30.0,5.732,6.083,0.205,0.203,0.190,0.233,0.596,0.586,16.45,17.36,0.257,0.200,6.49
252,Y502,Probe2 (Day4),1,8/24/2017,11:24,am,starneshm,Cohort 70 videos\Test 252.szv,28.1,30.0,6.648,6.786,0.237,0.226,0.037,0.011,0.516,0.508,14.49,15.24,,,18.86
255,1756,Probe2 (Day4),1,8/24/2017,11:44,am,starneshm,Cohort 70 videos\Test 255.szv,26.0,30.0,2.747,2.979,0.106,0.099,0.078,0.020,0.547,0.525,14.22,15.76,,,
258,1757,Probe2 (Day4),1,8/24/2017,11:50,am,starneshm,Cohort 70 videos\Test 258.szv,27.9,30.0,7.177,7.580,0.257,0.253,0.068,0.121,0.550,0.539,15.35,16.16,,,46.89
261,1758,Probe2 (Day4),1,8/24/2017,11:58,am,starneshm,Cohort 70 videos\Test 261.szv,26.4,30.0,3.257,3.531,0.123,0.118,0.118,0.099,0.537,0.522,14.19,15.65,,,43.00
264,1761,Probe2 (Day4),1,8/24/2017,12:05,pm,starneshm,Cohort 70 videos\Test 264.szv,27.9,30.0,5.947,6.159,0.213,0.205,0.139,0.177,0.556,0.546,15.51,16.39,,,21.39
267,1765,Probe2 (Day4),1,8/24/2017,12:12,pm,starneshm,Cohort 70 videos\Test 267.szv,27.4,30.0,2.439,2.867,0.089,0.096,0.289,0.394,0.260,0.254,7.12,7.63,,,
270,1766,Probe2 (Day4),1,8/24/2017,12:18,pm,starneshm,Cohort 70 videos\Test 270.szv,26.6,30.0,3.290,3.538,0.124,0.118,0.188,0.240,0.448,0.434,11.91,13.01,,,
273,1767,Probe2 (Day4),1,8/24/2017,12:26,pm,starneshm,Cohort 70 videos\Test 273.szv,27.1,30.0,3.862,4.222,0.143,0.141,0.317,0.342,0.671,0.631,18.07,18.63,,0.966,0.14
276,1770,Probe2 (Day4),1,8/24/2017,12:34,pm,starneshm,Cohort 70 videos\Test 276.szv,26.8,30.0,4.504,4.904,0.168,0.163,0.230,0.150,0.456,0.458,12.23,13.73,,,
279,1771,Probe2 (Day4),1,8/24/2017,12:42,pm,starneshm,Cohort 70 videos\Test 279.szv,26.7,30.0,2.835,3.389,0.106,0.113,0.493,0.337,0.954,0.877,25.47,26.31,,,43.39
282,Y503,Probe2 (Day4),1,8/24/2017,12:48,pm,starneshm,Cohort 70 videos\Test 282.szv,28.5,30.0,9.041,9.110,0.317,0.304,0.101,0.109,0.635,0.624,18.11,18.72,,,23.99
285,Y504,Probe2 (Day4),1,8/24/2017,12:54,pm,starneshm,Cohort 70 videos\Test 285.szv,28.2,30.0,8.094,8.289,0.287,0.276,0.032,0.054,0.663,0.652,18.69,19.56,,,26.42
288,Y505,Probe2 (Day4),1,8/24/2017,13:00,pm,starneshm,Cohort 70 videos\Test 288.szv,28.4,30.0,7.015,7.287,0.247,0.243,0.166,0.134,0.529,0.519,15.02,15.56,,,33.91
363,1742,Probe3 (Day6),1,8/26/2017,8:42:,am,starneshm,Cohort 70 videos\Test 363.szv,22.6,30.0,3.090,3.882,0.137,0.129,0.271,0.373,0.525,0.547,11.87,16.40,,,
366,1743,Probe3 (Day6),1,8/26/2017,8:50:,am,starneshm,Cohort 70 videos\Test 366.szv,22.2,30.0,3.604,4.868,0.162,0.162,0.127,0.298,0.670,0.704,14.87,21.11,,,
369,1746,Probe3 (Day6),1,8/26/2017,8:57:,am,starneshm,Cohort 70 videos\Test 369.szv,22.9,30.0,3.593,4.673,0.157,0.156,0.057,0.228,0.446,0.506,9.90,14.83,0.648,0.860,1.04
372,1748,Probe3 (Day6),1,8/26/2017,9:04:,am,starneshm,Cohort 70 videos\Test 372.szv,23.1,30.0,3.657,4.335,0.158,0.145,0.042,0.123,0.565,0.642,13.04,19.27,,,35.84
375,1749,Probe3 (Day6),1,8/26/2017,9:10:,am,starneshm,Cohort 70 videos\Test 375.szv,24.7,30.0,5.012,5.921,0.203,0.197,0.113,0.162,0.347,0.450,8.42,13.31,0.311,0.350,5.73
378,1751,Probe3 (Day6),1,8/26/2017,9:16:,am,starneshm,Cohort 70 videos\Test 378.szv,23.9,30.0,5.125,6.121,0.214,0.204,0.112,0.224,0.435,0.549,10.39,16.46,,,14.27
381,1752,Probe3 (Day6),1,8/26/2017,9:24:,am,starneshm,Cohort 70 videos\Test 381.szv,25.0,30.0,4.274,5.137,0.171,0.171,0.023,0.155,0.781,0.805,19.54,24.14,,,
384,1753,Probe3 (Day6),1,8/26/2017,9:30:,am,starneshm,Cohort 70 videos\Test 384.szv,23.3,30.0,4.515,5.525,0.194,0.184,0.226,0.189,0.609,0.685,14.19,20.56,,,
387,1755,Probe3 (Day6),1,8/26/2017,9:37:,am,starneshm,Cohort 70 videos\Test 387.szv,23.5,30.0,4.602,5.156,0.196,0.172,0.223,0.161,0.588,0.664,13.70,19.77,0.358,0.349,10.20
390,Y500,Probe3 (Day6),1,8/26/2017,9:40:,am,starneshm,Cohort 70 videos\Test 390.szv,25.9,30.0,7.526,8.537,0.291,0.285,0.031,0.112,0.439,0.486,11.27,14.48,0.062,0.144,11.75
393,Y501,Probe3 (Day6),1,8/26/2017,9:45:,am,starneshm,Cohort 70 videos\Test 393.szv,25.2,30.0,6.465,7.235,0.257,0.241,0.080,0.048,0.588,0.642,14.58,19.00,0.407,0.374,5.44
396,Y502,Probe3 (Day6),1,8/26/2017,9:49:,am,starneshm,Cohort 70 videos\Test 396.szv,24.6,30.0,5.475,6.627,0.223,0.221,0.102,0.056,0.677,0.682,16.30,20.10,0.169,0.265,10.78
399,1756,Probe3 (Day6),1,8/26/2017,9:54:,am,starneshm,Cohort 70 videos\Test 399.szv,22.0,30.0,2.666,4.276,0.121,0.143,0.108,0.300,0.250,0.383,5.36,11.25,0.035,0.354,4.53
402,1757,Probe3 (Day6),1,8/26/2017,10:01,am,starneshm,Cohort 70 videos\Test 402.szv,22.8,30.0,3.446,4.653,0.151,0.155,0.250,0.231,0.465,0.572,10.50,17.04,0.208,0.250,12.89
405,1758,Probe3 (Day6),1,8/26/2017,10:07,am,starneshm,Cohort 70 videos\Test 405.szv,16.8,30.0,1.465,2.800,0.087,0.093,0.607,0.448,0.719,0.695,12.08,20.86,,,
408,1761,Probe3 (Day6),1,8/26/2017,10:11,am,starneshm,Cohort 70 videos\Test 408.szv,25.6,30.0,7.309,8.571,0.286,0.286,0.031,0.140,0.577,0.599,14.77,17.97,,,15.68
411,1765,Probe3 (Day6),1,8/26/2017,10:17,am,starneshm,Cohort 70 videos\Test 411.szv,20.3,30.0,1.740,2.815,0.086,0.094,0.214,0.456,0.634,0.718,12.87,21.53,,,
414,1766,Probe3 (Day6),1,8/26/2017,10:25,am,starneshm,Cohort 70 videos\Test 414.szv,20.7,30.0,2.085,3.314,0.101,0.110,0.199,0.234,0.754,0.777,15.61,23.31,,,
417,1767,Probe3 (Day6),1,8/26/2017,10:32,am,starneshm,Cohort 70 videos\Test 417.szv,23.3,30.0,4.095,5.381,0.176,0.179,0.038,0.218,0.564,0.600,13.15,18.01,,,
420,1770,Probe3 (Day6),1,8/26/2017,10:39,am,starneshm,Cohort 70 videos\Test 420.szv,21.4,30.0,2.825,4.299,0.132,0.143,0.024,0.330,0.277,0.383,5.94,11.49,,,
423,1771,Probe3 (Day6),1,8/26/2017,10:44,am,starneshm,Cohort 70 videos\Test 423.szv,24.2,30.0,5.328,6.823,0.220,0.227,0.104,0.153,0.600,0.586,14.51,17.35,,0.992,0.36
426,Y503,Probe3 (Day6),1,8/26/2017,10:48,am,starneshm,Cohort 70 videos\Test 426.szv,26.0,30.0,7.580,8.159,0.292,0.272,0.167,0.188,0.565,0.619,14.57,18.45,0.131,0.159,15.17
429,Y504,Probe3 (Day6),1,8/26/2017,10:53,am,starneshm,Cohort 70 videos\Test 429.szv,25.8,30.0,7.866,8.808,0.305,0.294,0.117,0.173,0.574,0.620,14.52,18.30,0.941,0.810,1.57
432,Y505,Probe3 (Day6),1,8/26/2017,10:57,am,starneshm,Cohort 70 videos\Test 432.szv,25.5,30.0,6.755,7.899,0.265,0.263,0.130,0.115,0.634,0.709,15.86,20.93,0.304,0.229,12.03
507,1742,Probe4 (Day8),1,8/28/2017,9:36:,am,starneshm,Cohort 70 videos\Test 507.szv,25.9,30.0,4.483,5.202,0.173,0.173,0.170,0.278,0.662,0.638,17.14,19.15,,,28.47
510,1743,Probe4 (Day8),1,8/28/2017,9:41:,am,starneshm,Cohort 70 videos\Test 510.szv,26.2,30.0,4.812,5.302,0.184,0.177,0.107,0.186,0.590,0.581,15.45,17.42,,,20.62
513,1746,Probe4 (Day8),1,8/28/2017,9:47:,am,starneshm,Cohort 70 videos\Test 513.szv,25.9,30.0,4.329,4.799,0.167,0.160,0.149,0.189,0.574,0.556,14.87,16.67,,,
516,1748,Probe4 (Day8),1,8/28/2017,9:54:,am,starneshm,Cohort 70 videos\Test 516.szv,26.3,30.0,4.560,4.908,0.173,0.164,0.053,0.037,0.677,0.649,17.80,19.48,,,
519,1749,Probe4 (Day8),1,8/28/2017,10:00,am,starneshm,Cohort 70 videos\Test 519.szv,27.3,30.0,6.522,6.797,0.239,0.227,0.053,0.011,0.566,0.562,15.46,16.85,,,
522,1751,Probe4 (Day8),1,8/28/2017,10:07,am,starneshm,Cohort 70 videos\Test 522.szv,26.6,30.0,4.879,5.936,0.183,0.198,0.141,0.104,0.419,0.447,10.97,13.23,0.279,0.182,7.52
525,1752,Probe4 (Day8),1,8/28/2017,10:13,am,starneshm,Cohort 70 videos\Test 525.szv,27.0,30.0,5.026,5.432,0.186,0.181,0.179,0.102,0.617,0.601,16.29,17.67,0.885,0.730,0.67
528,1753,Probe4 (Day8),1,8/28/2017,10:21,am,starneshm,Cohort 70 videos\Test 528.szv,26.6,30.0,5.334,5.771,0.201,0.192,0.155,0.224,0.628,0.631,16.71,18.93,,,38.72
531,1755,Probe4 (Day8),1,8/28/2017,10:25,am,starneshm,Cohort 70 videos\Test 531.szv,26.3,30.0,4.951,5.130,0.188,0.171,0.141,0.135,0.372,0.391,9.48,11.43,0.719,0.798,0.99
534,Y500,Probe4 (Day8),1,8/28/2017,10:30,am,starneshm,Cohort 70 videos\Test 534.szv,27.4,30.0,6.233,6.715,0.227,0.224,0.075,0.014,0.320,0.331,8.76,9.93,,,21.47
537,Y501,Probe4 (Day8),1,8/28/2017,10:35,am,starneshm,Cohort 70 videos\Test 537.szv,27.4,30.0,6.263,6.704,0.229,0.223,0.045,0.089,0.458,0.457,12.26,13.43,0.079,0.104,11.29
540,Y502,Probe4 (Day8),1,8/28/2017,10:40,am,starneshm,Cohort 70 videos\Test 540.szv,27.5,30.0,6.780,7.067,0.247,0.236,0.092,0.120,0.342,0.352,9.18,10.33,0.999,0.984,0.34
543,1756,Probe4 (Day8),1,8/28/2017,10:56,am,starneshm,Cohort 70 videos\Test 543.szv,26.3,30.0,5.104,5.699,0.194,0.190,0.106,0.173,0.439,0.437,11.53,13.11,,,12.35
546,1757,Probe4 (Day8),1,8/28/2017,11:01,am,starneshm,Cohort 70 videos\Test 546.szv,26.8,30.0,5.207,5.965,0.194,0.199,0.110,0.113,0.275,0.290,6.88,8.20,0.191,0.173,4.66
549,1758,Probe4 (Day8),1,8/28/2017,11:07,am,starneshm,Cohort 70 videos\Test 549.szv,24.5,30.0,2.232,2.921,0.091,0.097,0.062,0.279,0.241,0.255,5.75,7.50,0.062,0.369,1.83
552,1761,Probe4 (Day8),1,8/28/2017,11:13,am,starneshm,Cohort 70 videos\Test 552.szv,27.3,30.0,6.252,6.823,0.229,0.227,0.123,0.132,0.291,0.310,7.79,9.14,0.115,0.208,2.54
555,1765,Probe4 (Day8),1,8/28/2017,11:23,am,starneshm,Cohort 70 videos\Test 555.szv,25.9,30.0,3.009,3.447,0.116,0.115,0.330,0.383,0.728,0.680,18.85,20.39,,,
558,1766,Probe4 (Day8),1,8/28/2017,11:31,am,starneshm,Cohort 70 videos\Test 558.szv,24.4,30.0,2.655,3.350,0.109,0.112,0.302,0.171,0.680,0.631,16.40,18.55,,0.895,0.75
561,1767,Probe4 (Day8),1,8/28/2017,11:36,am,starneshm,Cohort 70 videos\Test 561.szv,26.9,30.0,6.405,6.760,0.238,0.225,0.187,0.161,0.652,0.655,17.54,19.65,,,19.01
564,1770,Probe4 (Day8),1,8/28/2017,11:41,am,starneshm,Cohort 70 videos\Test 564.szv,25.0,30.0,3.218,3.876,0.129,0.129,0.045,0.157,0.241,0.257,5.71,7.38,0.117,0.256,3.87
567,1771,Probe4 (Day8),1,8/28/2017,11:45,am,starneshm,Cohort 70 videos\Test 567.szv,27.3,30.0,6.320,6.908,0.232,0.230,0.136,0.178,0.517,0.527,14.07,15.76,0.270,0.162,8.04
570,Y503,Probe4 (Day8),1,8/28/2017,11:50,am,starneshm,Cohort 70 videos\Test 570.szv,27.8,30.0,7.902,8.222,0.284,0.274,0.058,0.072,0.435,0.445,12.10,13.34,,,14.19
573,Y504,Probe4 (Day8),1,8/28/2017,11:54,am,starneshm,Cohort 70 videos\Test 573.szv,27.5,30.0,7.613,7.999,0.277,0.267,0.037,0.074,0.317,0.337,8.65,10.04,0.046,0.088,8.30
576,Y505,Probe4 (Day8),1,8/28/2017,11:57,am,starneshm,Cohort 70 videos\Test 576.szv,27.8,30.0,7.373,7.708,0.265,0.257,0.082,0.103,0.554,0.546,15.17,16.16,0.620,0.814,0.35
