Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,AQ TRR to End of Test; Duration (s),Base; Duration (s),AQ TRR to End of Test; Distance (m),Base; Distance (m),AQ TRR to End of Test; Mean speed (m/s),Base; Mean speed (m/s),AQ TRR to End of Test; Path efficiency,Base; Path efficiency,AQ TRR to End of Test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ TRR to End of Test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ TRR to End of Test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s)
425,691,AQ (Day6),2,2/12/2022,12:38,pm,Raul,MWM Cohort 127 videos\Test 16900.szv,36.8,30,11.355,8.621,0.309,0.287,0.076,0.161,0.658,0.672,23.99,20.16,0.066,,25.57
427,692,AQ (Day6),1,2/12/2022,12:42,pm,Raul,MWM Cohort 127 videos\Test 16902.szv,84.4,30,18.215,6.423,0.216,0.214,0.037,0.209,0.633,0.612,53.39,18.36,,,55.26
428,692,AQ (Day6),2,2/12/2022,12:44,pm,Raul,MWM Cohort 127 videos\Test 16903.szv,11,16.5,2.201,3.258,0.201,0.198,0.486,0.345,0.41,0.596,4.36,9.62,0.454,0.328,6.78
430,693,AQ (Day6),1,2/12/2022,12:49,pm,Raul,MWM Cohort 127 videos\Test 16905.szv,21.6,25.9,5.321,6.261,0.246,0.242,0.152,0.186,0.468,0.551,9.96,14.1,0.13,0.176,11.54
431,693,AQ (Day6),2,2/12/2022,12:50,pm,Raul,MWM Cohort 127 videos\Test 16906.szv,35.6,30,9.82,7.787,0.276,0.26,0.106,0.078,0.631,0.666,22.23,19.98,0.102,,24.2
433,Y842,AQ (Day7),1,2/13/2022,10:17,am,Raul,MWM Cohort 127 videos\Test 16926.szv,3.4,5.3,1.087,1.361,0.32,0.256,0.338,0.374,0.21,0.294,0.65,1.47,0.265,0.352,1.03
434,Y842,AQ (Day7),2,2/13/2022,10:18,am,Raul,MWM Cohort 127 videos\Test 16927.szv,67.2,30,18.188,8.296,0.271,0.277,0.02,0.085,0.526,0.465,35.18,13.94,0.015,,35.42
435,Y842,AQ (Day7),3,2/13/2022,10:20,am,Raul,MWM Cohort 127 videos\Test 16928.szv,85,30,20.934,7.212,0.246,0.24,0.036,0.094,0.717,0.705,60.66,21.15,0.034,,61.58
436,Y843,AQ (Day7),1,2/13/2022,10:24,am,Raul,MWM Cohort 127 videos\Test 16929.szv,16.1,18.6,2.909,3.232,0.181,0.174,0.186,0.199,0.456,0.463,7.18,8.44,0.157,0.167,7.57
437,Y843,AQ (Day7),2,2/13/2022,10:25,am,Raul,MWM Cohort 127 videos\Test 16930.szv,20.5,24.6,4.815,6.549,0.235,0.267,0.057,0.141,0.496,0.486,9.98,11.78,0.058,0.135,10.14
438,Y843,AQ (Day7),3,2/13/2022,10:26,am,Raul,MWM Cohort 127 videos\Test 16931.szv,85.2,30,19.93,7.006,0.234,0.234,0.058,0.026,0.644,0.633,54.85,18.99,,,56.45
439,Y844,AQ (Day7),1,2/13/2022,10:29,am,Raul,MWM Cohort 127 videos\Test 16932.szv,11.9,13.4,3.171,3.676,0.266,0.274,0.106,0.111,0.598,0.56,6.93,7.32,0.109,0.1,7.07
440,Y844,AQ (Day7),2,2/13/2022,10:30,am,Raul,MWM Cohort 127 videos\Test 16933.szv,5.8,7.7,1.338,1.896,0.232,0.248,0.526,0.277,0.56,0.536,3.04,3.93,0.503,0.25,3.48
441,Y844,AQ (Day7),3,2/13/2022,10:31,am,Raul,MWM Cohort 127 videos\Test 16934.szv,18.6,22.7,3.528,4.689,0.19,0.207,0.141,0.223,0.551,0.545,10.04,12.17,0.136,0.212,9.73
442,Y845,AQ (Day7),1,2/13/2022,10:33,am,Raul,MWM Cohort 127 videos\Test 16935.szv,12.5,15.7,1.246,1.586,0.1,0.101,0.483,0.383,0.489,0.492,5.96,7.57,0.455,0.349,6.03
443,Y845,AQ (Day7),2,2/13/2022,10:35,am,Raul,MWM Cohort 127 videos\Test 16936.szv,40.2,30,9.188,6.217,0.229,0.207,0.024,0.105,0.543,0.551,21.67,16.54,0.017,,22.06
444,Y845,AQ (Day7),3,2/13/2022,10:36,am,Raul,MWM Cohort 127 videos\Test 16937.szv,46.3,30,9.74,6.786,0.21,0.226,0.053,0.092,0.712,0.754,32.73,22.63,0.047,,35.35
445,Y846,AQ (Day7),1,2/13/2022,10:39,am,Raul,MWM Cohort 127 videos\Test 16938.szv,3.1,6.1,0.415,0.574,0.136,0.095,0.856,0.979,0.202,0.339,0.55,1.94,0.849,0.978,0.12
446,Y846,AQ (Day7),2,2/13/2022,10:40,am,Raul,MWM Cohort 127 videos\Test 16939.szv,43.6,30,8.049,4.987,0.185,0.166,0.062,0.078,0.526,0.422,22.75,12.67,0.054,,23.27
447,Y846,AQ (Day7),3,2/13/2022,10:41,am,Raul,MWM Cohort 127 videos\Test 16940.szv,41.3,30,9.242,5.753,0.224,0.192,0.078,0.213,0.581,0.645,23.77,19.36,0.071,,26.3
448,3261,AQ (Day7),1,2/13/2022,10:44,am,Raul,MWM Cohort 127 videos\Test 16941.szv,87.4,30,18.586,3.248,0.213,0.108,0.039,0.475,0.605,0.581,52.9,17.43,,,53.13
449,3261,AQ (Day7),2,2/13/2022,10:46,am,Raul,MWM Cohort 127 videos\Test 16942.szv,12,14.6,2.497,2.79,0.208,0.191,0.309,0.208,0.591,0.586,6.89,8.35,0.299,0.178,7.67
450,3261,AQ (Day7),3,2/13/2022,10:47,am,Raul,MWM Cohort 127 videos\Test 16943.szv,22.4,27.7,5.01,5.761,0.224,0.208,0.132,0.184,0.559,0.59,12.34,16.15,0.121,0.176,13.61
451,3262,AQ (Day7),1,2/13/2022,10:50,am,Raul,MWM Cohort 127 videos\Test 16944.szv,25,27.2,5.551,5.917,0.222,0.217,0.061,0.087,0.612,0.59,15.12,15.86,0.055,0.077,15.36
452,3262,AQ (Day7),2,2/13/2022,10:51,am,Raul,MWM Cohort 127 videos\Test 16945.szv,12.5,14.4,2.76,2.977,0.221,0.207,0.132,0.164,0.584,0.551,7.08,7.73,0.098,0.134,7.33
453,3262,AQ (Day7),3,2/13/2022,10:52,am,Raul,MWM Cohort 127 videos\Test 16946.szv,17.9,23.2,3.263,4.274,0.182,0.184,0.072,0.262,0.359,0.416,6.31,9.52,0.053,0.254,6.26
454,3264,AQ (Day7),1,2/13/2022,10:55,am,Raul,MWM Cohort 127 videos\Test 16947.szv,0.5,3.3,0.087,0.588,0.175,0.178,0.781,0.975,0.02,0.326,0,0.97,0.418,0.975,0.06
455,3264,AQ (Day7),2,2/13/2022,10:55,am,Raul,MWM Cohort 127 videos\Test 16948.szv,24,26.2,5.65,5.964,0.236,0.228,0.084,0.09,0.577,0.563,13.63,14.54,0.068,0.074,14.09
456,3264,AQ (Day7),3,2/13/2022,10:57,am,Raul,MWM Cohort 127 videos\Test 16949.szv,14.3,19.9,2.998,3.792,0.21,0.19,0.111,0.313,0.491,0.543,6.86,10.64,0.077,0.292,7.39
457,3265,AQ (Day7),1,2/13/2022,10:59,am,Raul,MWM Cohort 127 videos\Test 16950.szv,87,30,18.17,6.349,0.209,0.212,0.055,0.202,0.727,0.704,63.22,21.12,,,63.99
458,3265,AQ (Day7),2,2/13/2022,11:01,am,Raul,MWM Cohort 127 videos\Test 16951.szv,64.9,30,13.591,6.371,0.209,0.212,0.029,0.215,0.746,0.686,48.21,20.58,0.025,,48.83
459,3265,AQ (Day7),3,2/13/2022,11:03,am,Raul,MWM Cohort 127 videos\Test 16952.szv,29.4,30,5.848,5.879,0.199,0.196,0.064,0.013,0.629,0.678,18.24,20.33,0.057,,20.54
460,3266,AQ (Day7),1,2/13/2022,11:06,am,Raul,MWM Cohort 127 videos\Test 16953.szv,86.9,30,14.856,4.892,0.171,0.163,0.011,0.203,0.751,0.886,65.22,26.58,,,66.25
461,3266,AQ (Day7),2,2/13/2022,11:08,am,Raul,MWM Cohort 127 videos\Test 16954.szv,45.4,30,5.988,4.092,0.132,0.136,0.062,0.397,0.781,0.694,35.2,20.83,0.057,,35.44
462,3266,AQ (Day7),3,2/13/2022,11:10,am,Raul,MWM Cohort 127 videos\Test 16955.szv,28,30,3.599,3.851,0.129,0.128,0.195,0.318,0.439,0.588,12.21,17.65,0.185,,13.6
463,Y847,AQ (Day7),1,2/13/2022,11:12,am,Raul,MWM Cohort 127 videos\Test 16956.szv,0.2,3,0,0.49,0,0.161,,0.985,0,0.334,0,0.9,,0.981,0.15
464,Y847,AQ (Day7),2,2/13/2022,11:13,am,Raul,MWM Cohort 127 videos\Test 16957.szv,26.6,28.3,6.07,6.261,0.228,0.221,0.039,0.061,0.468,0.455,12.31,12.73,0.031,0.051,12.49
465,Y847,AQ (Day7),3,2/13/2022,11:14,am,Raul,MWM Cohort 127 videos\Test 465.szv,5,5,1.143,1.143,0.229,0.229,0.943,0.943,0.659,0.659,3.07,3.07,0.941,0.941,0.63
466,291,AQ (Day7),1,2/13/2022,11:16,am,Raul,MWM Cohort 127 videos\Test 16959.szv,14.4,17,2.705,3.018,0.188,0.178,0.134,0.182,0.54,0.513,7.59,8.55,0.111,0.159,7.84
467,291,AQ (Day7),2,2/13/2022,11:17,am,Raul,MWM Cohort 127 videos\Test 16960.szv,68.6,30,13.928,6.075,0.203,0.203,0.041,0.078,0.618,0.572,42.4,17.15,,,42.66
468,291,AQ (Day7),3,2/13/2022,11:20,am,Raul,MWM Cohort 127 videos\Test 16961.szv,6.8,12.6,1.57,2.475,0.231,0.196,0.279,0.454,0.529,0.648,3.43,7.95,0.258,0.443,4.85
469,292,AQ (Day7),1,2/13/2022,11:22,am,Raul,MWM Cohort 127 videos\Test 16962.szv,0.5,2.9,0.083,0.544,0.166,0.187,0.781,0.988,0.022,0.312,0,0.79,0.386,0.983,0.04
470,292,AQ (Day7),2,2/13/2022,11:22,am,Raul,MWM Cohort 127 videos\Test 16963.szv,11.1,13.2,2.665,3.025,0.24,0.228,0.173,0.176,0.473,0.463,5.11,5.97,0.132,0.151,5.49
471,292,AQ (Day7),3,2/13/2022,11:23,am,Raul,MWM Cohort 127 videos\Test 16964.szv,16.3,21.3,4.07,4.93,0.25,0.232,0.164,0.237,0.757,0.778,12.06,16.29,0.137,0.219,13.75
472,293,AQ (Day7),1,2/13/2022,11:25,am,Raul,MWM Cohort 127 videos\Test 16965.szv,73.1,30,17.532,6.696,0.24,0.223,0.017,0.119,0.597,0.6,43.47,17.99,0.013,,43.84
473,293,AQ (Day7),2,2/13/2022,11:27,am,Raul,MWM Cohort 127 videos\Test 16966.szv,87.7,30,21.818,7.746,0.249,0.258,0.042,0.039,0.614,0.62,53.84,18.59,,,54.33
474,293,AQ (Day7),3,2/13/2022,11:30,am,Raul,MWM Cohort 127 videos\Test 16967.szv,26.1,30,5.542,5.701,0.212,0.19,0.183,0.161,0.697,0.752,18.18,22.57,0.174,,19.83
475,294,AQ (Day7),1,2/13/2022,11:32,am,Raul,MWM Cohort 127 videos\Test 16968.szv,87.6,30,24.172,8.422,0.276,0.281,0.039,0.123,0.731,0.632,64.05,18.97,,,64.43
476,294,AQ (Day7),2,2/13/2022,11:34,am,Raul,MWM Cohort 127 videos\Test 16969.szv,5,7.2,0.739,0.822,0.149,0.114,0.688,0.598,0.414,0.432,1.92,2.95,0.653,0.548,2.04
477,294,AQ (Day7),3,2/13/2022,11:35,am,Raul,MWM Cohort 127 videos\Test 16970.szv,10.3,14.7,2.32,3.284,0.226,0.224,0.155,0.301,0.496,0.553,4.91,7.91,0.151,0.28,5.96
478,295,AQ (Day7),1,2/13/2022,11:37,am,Raul,MWM Cohort 127 videos\Test 16971.szv,59.9,30,12.902,6.35,0.215,0.212,0.047,0.145,0.589,0.602,35.07,18.06,0.041,,35.48
