Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,AQ TRR to End of Test; Duration (s),Base; Duration (s),AQ TRR to End of Test; Distance (m),Base; Distance (m),AQ TRR to End of Test; Mean speed (m/s),Base; Mean speed (m/s),AQ TRR to End of Test; Path efficiency,Base; Path efficiency,AQ TRR to End of Test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ TRR to End of Test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ TRR to End of Test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s)
28,3242,AQ (Day1),1,1/10/2022,12:31,pm,Liam,MWM Cohort 126 videos\Test 28.szv,45,30,8.32,5.757,0.185,0.192,0.138,0.194,0.739,0.855,33.01,25.65,0.126,,36.58
29,3242,AQ (Day1),2,1/10/2022,12:35,pm,Liam,MWM Cohort 126 videos\Test 29.szv,82.9,30,13.788,4.746,0.166,0.158,0.086,0.253,0.724,0.849,60.01,25.47,,,63.95
30,3242,AQ (Day1),3,1/10/2022,12:38,pm,Liam,MWM Cohort 126 videos\Test 30.szv,86.5,30,11.446,3.712,0.132,0.124,0.116,0.412,0.825,0.664,71.34,19.93,,,72.12
31,3243,AQ (Day1),1,1/10/2022,12:45,pm,Liam,MWM Cohort 126 videos\Test 31.szv,84.5,30,16.721,7.306,0.198,0.244,0.095,0.154,0.787,0.635,66.51,19.06,,,69.22
32,3243,AQ (Day1),2,1/10/2022,12:48,pm,Liam,MWM Cohort 126 videos\Test 32.szv,84.4,30,11.938,4.857,0.141,0.162,0.037,0.154,0.703,0.652,59.36,19.55,,,60.17
33,3243,AQ (Day1),3,1/10/2022,12:51,pm,Liam,MWM Cohort 126 videos\Test 33.szv,36,30,4.33,3.431,0.12,0.114,0.105,0.465,0.782,0.781,27.94,23.43,0.077,,27.97
34,3247,AQ (Day1),1,1/10/2022,13:01,pm,Liam,MWM Cohort 126 videos\Test 34.szv,85.9,30,21.1,9.48,0.246,0.316,0.021,0.017,0.832,0.783,71.5,23.48,,,73.55
35,3247,AQ (Day1),2,1/10/2022,13:04,pm,Liam,MWM Cohort 126 videos\Test 35.szv,85.7,30,18.301,7.531,0.214,0.251,0.035,0.208,0.76,0.673,65.11,20.19,,,66.44
36,3247,AQ (Day1),3,1/10/2022,13:08,pm,Liam,MWM Cohort 126 videos\Test 36.szv,88.1,30,18.053,7.425,0.205,0.247,0.029,0.14,0.732,0.698,64.52,20.95,,,64.92
37,Y839,AQ (Day1),1,1/10/2022,13:15,pm,Liam,MWM Cohort 126 videos\Test 37.szv,85.2,30,20.41,5.791,0.24,0.193,0.075,0.22,0.755,0.828,64.33,24.84,,,66.95
38,Y839,AQ (Day1),2,1/10/2022,13:20,pm,Liam,MWM Cohort 126 videos\Test 38.szv,85.1,30,16.329,6.235,0.192,0.208,0.003,0.146,0.725,0.834,61.68,25.01,,,63.16
39,Y839,AQ (Day1),3,1/10/2022,13:23,pm,Liam,MWM Cohort 126 videos\Test 39.szv,87.9,30,11.914,4.283,0.136,0.143,0.113,0.241,0.714,0.604,62.77,18.11,,,62.75
40,Y840,AQ (Day1),1,1/10/2022,13:30,pm,Liam,MWM Cohort 126 videos\Test 40.szv,35.2,30,9.503,8.059,0.27,0.269,0.119,0.188,0.698,0.822,24.35,24.65,0.116,,27.69
41,Y840,AQ (Day1),2,1/10/2022,13:32,pm,Liam,MWM Cohort 126 videos\Test 41.szv,84.6,30,17.356,6.438,0.205,0.215,0.041,0.087,0.816,0.899,69,26.98,,,71.32
42,Y840,AQ (Day1),3,1/10/2022,13:35,pm,Liam,MWM Cohort 126 videos\Test 42.szv,87.6,30,15.565,5.13,0.178,0.171,0.063,0.053,0.673,0.558,58.99,16.74,,,59.4
43,Y841,AQ (Day1),1,1/10/2022,13:45,pm,Liam,MWM Cohort 126 videos\Test 43.szv,85.6,30,20.516,6.972,0.24,0.232,0.01,0.106,0.723,0.841,61.86,25.22,,,63.75
44,Y841,AQ (Day1),2,1/10/2022,13:49,pm,Liam,MWM Cohort 126 videos\Test 44.szv,85.6,30,18.947,5.684,0.221,0.189,0.03,0.058,0.738,0.818,63.19,24.54,,,64.99
45,Y841,AQ (Day1),3,1/10/2022,13:52,pm,Liam,MWM Cohort 126 videos\Test 45.szv,28.7,30,5.663,5.814,0.197,0.194,0.094,0.078,0.53,0.531,15.07,15.92,0.096,,15.32
46,3249,AQ (Day1),1,1/10/2022,13:58,pm,Liam,MWM Cohort 126 videos\Test 46.szv,53.6,30,9.439,4.304,0.176,0.143,0.109,0.324,0.721,0.794,38.38,23.83,0.106,,41.84
47,3249,AQ (Day1),2,1/10/2022,14:00,pm,Liam,MWM Cohort 126 videos\Test 47.szv,64.2,30,9.724,5.041,0.151,0.168,0.084,0.165,0.643,0.738,41.04,22.15,0.071,,43.74
48,3249,AQ (Day1),3,1/10/2022,14:03,pm,Liam,MWM Cohort 126 videos\Test 48.szv,86.5,30,10.483,4.551,0.121,0.152,0.087,0.102,0.569,0.672,49.22,20.17,,,49.67
49,3251,AQ (Day1),1,1/10/2022,14:10,pm,Liam,MWM Cohort 126 videos\Test 49.szv,84.9,30,19.274,7.971,0.227,0.266,0.082,0.175,0.799,0.817,67.85,24.52,,,71.07
50,3251,AQ (Day1),2,1/10/2022,14:15,pm,Liam,MWM Cohort 126 videos\Test 50.szv,85.1,30,14.38,5.509,0.169,0.184,0.094,0.061,0.777,0.778,66.15,23.35,,,65.93
51,3251,AQ (Day1),3,1/10/2022,14:17,pm,Liam,MWM Cohort 126 videos\Test 51.szv,86.2,30,18.236,7.456,0.212,0.249,0.026,0.204,0.765,0.82,65.6,24.59,0.025,,65.96
52,3253,AQ (Day1),1,1/10/2022,14:24,pm,Liam,MWM Cohort 126 videos\Test 52.szv,69.1,30,14.48,6.619,0.21,0.221,0.075,0.217,0.667,0.864,45.89,25.92,0.066,,48.04
53,3253,AQ (Day1),2,1/10/2022,14:27,pm,Liam,MWM Cohort 126 videos\Test 53.szv,84.9,30,13.39,6.148,0.158,0.205,0.079,0.035,0.853,0.833,72.42,24.99,,,73.3
54,3253,AQ (Day1),3,1/10/2022,14:31,pm,Liam,MWM Cohort 126 videos\Test 54.szv,87.7,30,14.135,6.468,0.161,0.216,0.1,0.205,0.769,0.671,67.4,20.13,,,67.58
55,3254,AQ (Day1),1,1/10/2022,14:41,pm,Liam,MWM Cohort 126 videos\Test 55.szv,74.1,30,13.995,6.892,0.189,0.23,0.062,0.216,0.72,0.735,53.1,22.05,0.059,,55.86
56,3254,AQ (Day1),2,1/10/2022,14:43,pm,Liam,MWM Cohort 126 videos\Test 56.szv,56,30,6.239,3.788,0.111,0.126,0.178,0.175,0.576,0.957,31.99,28.7,0.174,,34.04
57,3254,AQ (Day1),3,1/10/2022,14:45,pm,Liam,MWM Cohort 126 videos\Test 57.szv,86.9,30,7.984,3.047,0.092,0.102,0.117,0.244,0.575,0.313,49.99,9.38,,,49.81
58,3255,AQ (Day1),1,1/10/2022,14:53,pm,Liam,MWM Cohort 126 videos\Test 58.szv,85.8,30,20.352,8.79,0.237,0.293,0.074,0.068,0.76,0.715,65.24,21.46,,,67.15
59,3255,AQ (Day1),2,1/10/2022,14:57,pm,Liam,MWM Cohort 126 videos\Test 59.szv,85.3,30,14.718,5.639,0.173,0.188,0.045,0.22,0.741,0.747,63.2,22.42,,,63.18
60,3255,AQ (Day1),3,1/10/2022,15:01,pm,Liam,MWM Cohort 126 videos\Test 60.szv,81.5,30,17.777,7.148,0.218,0.238,0.03,0.134,0.703,0.6,57.07,18.01,0.023,,57.5
61,3256,AQ (Day1),1,1/10/2022,15:08,pm,Liam,MWM Cohort 126 videos\Test 61.szv,83.9,30,12.757,4.513,0.152,0.15,0.056,0.097,0.624,0.542,52.38,16.26,,,54.92
62,3256,AQ (Day1),2,1/10/2022,15:11,pm,Liam,MWM Cohort 126 videos\Test 62.szv,83.7,30,13.866,2.914,0.166,0.097,0.105,0.488,0.718,0.667,60.07,20.02,,,63.24
63,3256,AQ (Day1),3,1/10/2022,15:15,pm,Liam,MWM Cohort 126 videos\Test 63.szv,87.1,30,14.917,6.201,0.171,0.207,0.029,0.174,0.694,0.756,60.41,22.68,,,60.89
64,3257,AQ (Day1),1,1/10/2022,15:23,pm,Liam,MWM Cohort 126 videos\Test 64.szv,67.6,30,9.066,5.349,0.134,0.178,0.12,0.112,0.702,0.72,47.26,21.59,0.117,,48.74
65,3257,AQ (Day1),2,1/10/2022,15:26,pm,Liam,MWM Cohort 126 videos\Test 65.szv,83.7,30,14.247,3.771,0.17,0.126,0.09,0.263,0.761,0.877,63.69,26.32,,,66.72
66,3257,AQ (Day1),3,1/10/2022,15:29,pm,Liam,MWM Cohort 126 videos\Test 66.szv,87.3,30,14.763,3.743,0.169,0.125,0.039,0.108,0.679,0.574,59.26,17.23,,,59.37
67,3259,AQ (Day1),1,1/10/2022,15:36,pm,Liam,MWM Cohort 126 videos\Test 67.szv,84.3,30,18.381,7.349,0.218,0.245,0.03,0.139,0.821,0.802,69.2,24.05,,,71.07
68,3259,AQ (Day1),2,1/10/2022,15:40,pm,Liam,MWM Cohort 126 videos\Test 68.szv,84.5,30,15.201,6.027,0.18,0.201,0.033,0.189,0.604,0.589,51.06,17.66,,,52.31
69,3259,AQ (Day1),3,1/10/2022,15:43,pm,Liam,MWM Cohort 126 videos\Test 69.szv,87.3,30,10.506,4.474,0.12,0.149,0.103,0.108,0.585,0.483,51.06,14.48,,,51.32
70,Y836,AQ (Day2),1,1/11/2022,10:30,am,Liam,MWM Cohort 126 videos\Test 70.szv,88,30,25.54,8.442,0.29,0.281,0.05,0.104,0.717,0.605,63.06,18.15,,,63.47
71,Y836,AQ (Day2),2,1/11/2022,10:33,am,Liam,MWM Cohort 126 videos\Test 71.szv,36.1,30,10.813,9.088,0.3,0.303,0.113,0.082,0.773,0.789,27.68,23.66,0.104,,30.13
73,Y837,AQ (Day2),1,1/11/2022,10:39,am,Liam,MWM Cohort 126 videos\Test 73.szv,17.5,19.6,4.295,4.715,0.245,0.24,0.118,0.11,0.634,0.611,10.9,11.78,0.115,0.104,11.25
74,Y837,AQ (Day2),2,1/11/2022,10:40,am,Liam,MWM Cohort 126 videos\Test 74.szv,1.4,5.7,0.38,1.631,0.278,0.288,0.805,0.63,0.15,0.566,0.16,3.02,0.975,0.622,1.29
76,Y838,AQ (Day2),1,1/11/2022,10:47,am,Liam,MWM Cohort 126 videos\Test 76.szv,88.3,30,29.272,10.37,0.332,0.346,0.018,0.031,0.803,0.714,70.86,21.41,,,71.11
77,Y838,AQ (Day2),2,1/11/2022,10:50,am,Liam,MWM Cohort 126 videos\Test 77.szv,82.5,30,22.305,9.511,0.271,0.317,0.01,0.102,0.61,0.696,50.07,20.89,0.003,,50.56
79,3235,AQ (Day2),1,1/11/2022,10:57,am,Liam,MWM Cohort 126 videos\Test 79.szv,87.7,30,18.644,7.165,0.213,0.239,0.056,0.17,0.724,0.708,63.5,21.24,,,64.03
80,3235,AQ (Day2),2,1/11/2022,11:00,am,Liam,MWM Cohort 126 videos\Test 80.szv,84.1,30,15.113,6.796,0.18,0.227,0.089,0.201,0.693,0.818,58.28,24.53,,,60.35
82,3237,AQ (Day2),1,1/11/2022,11:09,am,Liam,MWM Cohort 126 videos\Test 82.szv,87.7,30,25.424,10.883,0.29,0.363,0.011,0.098,0.734,0.717,64.35,21.52,,,64.54
83,3237,AQ (Day2),2,1/11/2022,11:12,am,Liam,MWM Cohort 126 videos\Test 83.szv,85.4,30,21.698,8.752,0.254,0.292,0.065,0.103,0.774,0.74,66.1,22.2,,,68
85,3238,AQ (Day2),1,1/11/2022,11:21,am,Liam,MWM Cohort 126 videos\Test 85.szv,70.3,30,18.659,8.503,0.265,0.283,0.033,0.142,0.764,0.812,53.46,24.36,0.028,,54.01
86,3238,AQ (Day2),2,1/11/2022,11:23,am,Liam,MWM Cohort 126 videos\Test 86.szv,85.4,30,17.649,7.462,0.207,0.249,0.069,0.165,0.613,0.717,52.37,21.5,,,54.39
88,3239,AQ (Day2),1,1/11/2022,11:33,am,Liam,MWM Cohort 126 videos\Test 88.szv,84.2,30,20.335,8.429,0.242,0.281,0.039,0.149,0.83,0.808,69.62,24.24,0.037,,70.67
89,3239,AQ (Day2),2,1/11/2022,11:36,am,Liam,MWM Cohort 126 videos\Test 89.szv,84,30,11.886,5.146,0.142,0.172,0.052,0.26,0.618,0.663,51.95,19.88,,,51.75
91,3240,AQ (Day2),1,1/11/2022,11:43,am,Liam,MWM Cohort 126 videos\Test 91.szv,3.2,3.2,0.438,0.438,0.137,0.137,0.947,0.947,0.284,0.284,0.81,0.81,0.934,0.934,0.21
92,3240,AQ (Day2),2,1/11/2022,11:44,am,Liam,MWM Cohort 126 videos\Test 92.szv,82.7,30,14.987,6.695,0.181,0.223,0.027,0.078,0.724,0.758,59.84,22.73,,,63.39
94,3241,AQ (Day2),1,1/11/2022,11:53,am,Liam,MWM Cohort 126 videos\Test 94.szv,43.5,30,11.826,8.175,0.272,0.272,0.034,0.039,0.662,0.594,28.54,17.82,0.026,,28.83
95,3241,AQ (Day2),2,1/11/2022,11:56,am,Liam,MWM Cohort 126 videos\Test 95.szv,45,30,10.927,6.89,0.243,0.23,0.065,0.173,0.601,0.655,26.82,19.66,0.056,,28.3
97,3242,AQ (Day2),1,1/11/2022,12:02,pm,Liam,MWM Cohort 126 videos\Test 97.szv,87.3,30,15.497,1.547,0.178,0.052,0.046,0.786,0.557,0.274,48.6,8.21,,,49.04
98,3242,AQ (Day2),2,1/11/2022,12:05,pm,Liam,MWM Cohort 126 videos\Test 98.szv,9.7,16.1,1.615,1.948,0.167,0.121,0.45,0.535,0.301,0.534,2.82,8.41,0.368,0.494,4.48
100,3243,AQ (Day2),1,1/11/2022,12:13,pm,Liam,MWM Cohort 126 videos\Test 100.szv,87.6,30,21.55,8.544,0.246,0.285,0.066,0.131,0.763,0.735,66.81,22.04,,,67.32
101,3243,AQ (Day2),2,1/11/2022,12:16,pm,Liam,MWM Cohort 126 videos\Test 101.szv,28.9,30,7.941,8.087,0.275,0.27,0.099,0.029,0.773,0.809,22.09,24.26,0.095,,24.03
103,3247,AQ (Day2),1,1/11/2022,12:23,pm,Liam,MWM Cohort 126 videos\Test 103.szv,87.8,30,25.917,10.832,0.295,0.361,0.048,0.14,0.84,0.733,73.76,21.99,,,74.51
104,3247,AQ (Day2),2,1/11/2022,12:26,pm,Liam,MWM Cohort 126 videos\Test 104.szv,85.7,30,24.091,8.954,0.281,0.298,0.032,0.177,0.749,0.786,64.22,23.57,,,65.35
106,Y839,AQ (Day2),1,1/11/2022,12:34,pm,Liam,MWM Cohort 126 videos\Test 106.szv,87.9,30,24.662,8.38,0.281,0.279,0.054,0.104,0.737,0.723,64.79,21.69,,,65.26
107,Y839,AQ (Day2),2,1/11/2022,12:37,pm,Liam,MWM Cohort 126 videos\Test 107.szv,26,30,6.421,7.712,0.247,0.257,0.1,0.134,0.639,0.65,16.38,19.5,0.098,,17.4
109,Y840,AQ (Day2),1,1/11/2022,12:44,pm,Liam,MWM Cohort 126 videos\Test 109.szv,4.1,6.6,0.506,0.506,0.124,0.077,0.874,0.959,0.33,0.384,1.24,2.4,0.868,0.957,0.9
110,Y840,AQ (Day2),2,1/11/2022,12:45,pm,Liam,MWM Cohort 126 videos\Test 110.szv,84.7,30,24.697,8.592,0.292,0.286,0.02,0.015,0.662,0.693,56.03,20.78,,,58.2
112,Y841,AQ (Day2),1,1/11/2022,12:56,pm,Liam,MWM Cohort 126 videos\Test 112.szv,88.1,30,26.849,10.238,0.305,0.341,0.035,0.103,0.703,0.68,61.96,20.39,,,62.36
113,Y841,AQ (Day2),2,1/11/2022,12:59,pm,Liam,MWM Cohort 126 videos\Test 113.szv,85.9,30,23.703,9.659,0.276,0.322,0.042,0.14,0.652,0.672,56.03,20.15,,,56.95
115,3249,AQ (Day2),1,1/11/2022,13:10,pm,Liam,MWM Cohort 126 videos\Test 115.szv,86.5,30,14.777,5.13,0.171,0.171,0.089,0.228,0.785,0.615,67.86,18.45,,,68.84
116,3249,AQ (Day2),2,1/11/2022,13:13,pm,Liam,MWM Cohort 126 videos\Test 116.szv,28.8,30,5.214,4.787,0.181,0.16,0.169,0.109,0.658,0.722,18.7,21.67,0.166,,21.61
118,3251,AQ (Day2),1,1/11/2022,13:21,pm,Liam,MWM Cohort 126 videos\Test 118.szv,0.2,2,0,0.373,0,0.189,,0.998,0,0.242,0,0.4,,0.936,0.08
119,3251,AQ (Day2),2,1/11/2022,13:22,pm,Liam,MWM Cohort 126 videos\Test 119.szv,84.9,30,18.323,7.986,0.216,0.266,0.063,0.099,0.605,0.767,51.34,23.01,,,53.97
121,3253,AQ (Day2),1,1/11/2022,13:32,pm,Liam,MWM Cohort 126 videos\Test 121.szv,87.7,30,22.38,8.68,0.255,0.289,0.066,0.105,0.744,0.764,65.26,22.92,,,65.78
122,3253,AQ (Day2),2,1/11/2022,13:35,pm,Liam,MWM Cohort 126 videos\Test 122.szv,0.1,5,0.083,1.431,0.83,0.285,0.149,0.774,0,0.641,0,3.01,,0.727,1.15
124,3254,AQ (Day2),1,1/11/2022,13:42,pm,Liam,MWM Cohort 126 videos\Test 124.szv,72.2,30,13.335,6.528,0.185,0.218,0.025,0.139,0.875,0.665,62.9,19.96,0.018,,63.36
125,3254,AQ (Day2),2,1/11/2022,13:44,pm,Liam,MWM Cohort 126 videos\Test 125.szv,58.3,30,10.057,5.736,0.173,0.191,0.054,0.266,0.634,0.675,36.79,20.25,0.052,,38.27
127,3255,AQ (Day2),1,1/11/2022,13:52,pm,Liam,MWM Cohort 126 videos\Test 127.szv,88.1,30,21.742,8.204,0.247,0.273,0.059,0.092,0.712,0.622,62.72,18.65,,,62.88
128,3255,AQ (Day2),2,1/11/2022,13:55,pm,Liam,MWM Cohort 126 videos\Test 128.szv,3.4,7.8,0.694,2.162,0.204,0.277,0.738,0.519,0.283,0.495,0.87,3.71,0.696,0.472,1.8
130,3256,AQ (Day2),1,1/11/2022,14:02,pm,Liam,MWM Cohort 126 videos\Test 130.szv,87.3,30,12.341,2.197,0.141,0.073,0.053,0.695,0.584,0.355,50.99,10.65,,,51.38
131,3256,AQ (Day2),2,1/11/2022,14:05,pm,Liam,MWM Cohort 126 videos\Test 131.szv,84.9,30,14.289,6.493,0.168,0.216,0.044,0.189,0.797,0.684,67.64,20.52,,,69.15
133,3257,AQ (Day2),1,1/11/2022,14:12,pm,Liam,MWM Cohort 126 videos\Test 133.szv,87.4,30,15.773,6.705,0.18,0.224,0.049,0.219,0.679,0.67,59.31,20.09,,,59.71
134,3257,AQ (Day2),2,1/11/2022,14:15,pm,Liam,MWM Cohort 126 videos\Test 134.szv,85.3,30,13.155,3.851,0.154,0.128,0.051,0.296,0.759,0.93,64.73,27.89,,,65.79
136,3259,AQ (Day2),1,1/11/2022,14:22,pm,Liam,MWM Cohort 126 videos\Test 136.szv,87.6,30,19.764,8.557,0.226,0.285,0.038,0.016,0.718,0.735,62.89,22.04,,,63.13
137,3259,AQ (Day2),2,1/11/2022,14:25,pm,Liam,MWM Cohort 126 videos\Test 137.szv,84.4,30,17.977,5.623,0.213,0.187,0.078,0.045,0.69,0.774,58.24,23.22,,,60.54
139,Y836,AQ (Day3),1,1/12/2022,10:16,am,Liam,MWM Cohort 126 videos\Test 139.szv,84.5,30,18.856,6.434,0.223,0.214,0.059,0.172,0.661,0.777,55.84,23.31,,,57.64
140,Y836,AQ (Day3),2,1/12/2022,10:19,am,Liam,MWM Cohort 126 videos\Test 140.szv,87.4,30,17.973,6.269,0.206,0.209,0.027,0.105,0.59,0.622,51.53,18.65,,,52.07
141,Y836,AQ (Day3),3,1/12/2022,10:21,am,Liam,MWM Cohort 126 videos\Test 141.szv,17,22.1,2.862,3.569,0.169,0.162,0.434,0.314,0.698,0.773,11.59,16.78,0.419,0.288,13.49
142,Y837,AQ (Day3),1,1/12/2022,10:24,am,Liam,MWM Cohort 126 videos\Test 142.szv,41.2,30,9.744,6.688,0.237,0.223,0.085,0.218,0.554,0.56,22.63,16.81,0.077,,24.76
143,Y837,AQ (Day3),2,1/12/2022,10:26,am,Liam,MWM Cohort 126 videos\Test 143.szv,2.5,5,0.52,1.071,0.21,0.215,0.819,0.52,0.165,0.338,0.35,1.57,0.773,0.503,0.88
144,Y837,AQ (Day3),3,1/12/2022,10:28,am,Liam,MWM Cohort 126 videos\Test 144.szv,70.4,30,15.184,5.69,0.216,0.19,0.027,0.098,0.625,0.582,43.8,17.46,0.024,,44.38
145,Y838,AQ (Day3),1,1/12/2022,10:32,am,Liam,MWM Cohort 126 videos\Test 145.szv,6.5,11.1,1.853,3.035,0.286,0.274,0.569,0.365,0.4,0.637,2.46,6.85,0.545,0.347,4.86
146,Y838,AQ (Day3),2,1/12/2022,10:34,am,Liam,MWM Cohort 126 videos\Test 146.szv,24.6,26.9,6.178,6.798,0.252,0.253,0.158,0.081,0.589,0.594,14.26,15.76,0.154,0.076,15.21
147,Y838,AQ (Day3),3,1/12/2022,10:36,am,Liam,MWM Cohort 126 videos\Test 147.szv,71,30,15.822,7.077,0.223,0.236,0.043,0.174,0.708,0.664,50.03,19.93,0.04,,50.51
