Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Platform : mean distance from (m),Platform : cumulative distance (m·s),Platform : path efficiency to entry,Platform : CIPL (m·s)
12,Y843,Cue,6,2/15/2022,11:21,am,Raul,Cue Cohort 127 videos\Test 16407.szv,4.6,0.937,0.202,0.997,0.580,2.49,0.995,0.39
13,Y844,Cue,1,2/15/2022,11:23,am,Raul,Cue Cohort 127 videos\Test 16408.szv,4.7,1.022,0.219,0.926,0.430,1.84,0.927,-0.04
14,Y844,Cue,2,2/15/2022,11:24,am,Raul,Cue Cohort 127 videos\Test 16409.szv,2.5,0.484,0.195,0.996,0.268,0.57,0.983,0.08
15,Y844,Cue,3,2/15/2022,11:24,am,Raul,Cue Cohort 127 videos\Test 16410.szv,3.3,0.681,0.205,0.751,0.304,0.91,0.759,0.33
16,Y844,Cue,4,2/15/2022,11:25,am,Raul,Cue Cohort 127 videos\Test 16411.szv,8.0,1.539,0.193,0.681,0.471,3.58,0.667,1.01
17,Y844,Cue,5,2/15/2022,11:25,am,Raul,Cue Cohort 127 videos\Test 16412.szv,0.4,0.000,0.000,,0.000,0.00,,
18,Y844,Cue,6,2/15/2022,11:26,am,Raul,Cue Cohort 127 videos\Test 16413.szv,4.0,1.022,0.253,0.976,0.589,2.19,0.975,0.27
19,Y845,Cue,1,2/15/2022,11:28,am,Raul,Cue Cohort 127 videos\Test 16414.szv,10.4,0.964,0.092,0.904,0.473,4.93,,
20,Y845,Cue,2,2/15/2022,11:29,am,Raul,Cue Cohort 127 videos\Test 16415.szv,10.7,2.737,0.256,0.263,0.486,5.03,0.255,4.05
21,Y845,Cue,3,2/15/2022,11:30,am,Raul,Cue Cohort 127 videos\Test 16416.szv,7.5,1.043,0.140,0.327,0.246,1.75,0.293,1.44
22,Y845,Cue,4,2/15/2022,11:30,am,Raul,Cue Cohort 127 videos\Test 16417.szv,8.9,1.606,0.181,0.684,0.735,6.27,0.674,3.11
23,Y845,Cue,5,2/15/2022,11:31,am,Raul,Cue Cohort 127 videos\Test 16418.szv,9.4,2.145,0.228,0.474,0.721,6.55,0.478,4.30
24,Y845,Cue,6,2/15/2022,11:32,am,Raul,Cue Cohort 127 videos\Test 24.szv,8.0,1.757,0.219,0.582,0.788,6.07,0.566,3.84
25,Y846,Cue,1,2/15/2022,11:34,am,Raul,Cue Cohort 127 videos\Test 16420.szv,12.7,1.168,0.092,0.810,0.609,7.76,,
26,Y846,Cue,2,2/15/2022,11:35,am,Raul,Cue Cohort 127 videos\Test 16421.szv,4.8,0.485,0.100,0.971,0.269,1.21,0.979,0.16
27,Y846,Cue,3,2/15/2022,11:36,am,Raul,Cue Cohort 127 videos\Test 16422.szv,4.3,0.523,0.121,0.908,0.281,1.12,0.912,0.23
28,Y846,Cue,4,2/15/2022,11:36,am,Raul,Cue Cohort 127 videos\Test 16423.szv,6.7,1.103,0.165,0.974,0.628,3.98,0.957,0.67
29,Y846,Cue,5,2/15/2022,11:37,am,Raul,Cue Cohort 127 videos\Test 16424.szv,7.4,1.241,0.167,0.826,0.621,4.38,0.828,1.38
30,Y846,Cue,6,2/15/2022,11:38,am,Raul,Cue Cohort 127 videos\Test 16425.szv,5.7,0.988,0.175,0.978,0.611,3.25,0.975,0.62
31,3261,Cue,1,2/15/2022,11:40,am,Raul,Cue Cohort 127 videos\Test 16426.szv,6.7,1.110,0.167,0.883,0.547,3.44,0.845,0.92
32,3261,Cue,2,2/15/2022,11:40,am,Raul,Cue Cohort 127 videos\Test 16427.szv,3.0,0.511,0.171,0.931,0.253,0.67,0.918,0.13
33,3261,Cue,3,2/15/2022,11:41,am,Raul,Cue Cohort 127 videos\Test 16428.szv,6.1,0.832,0.136,0.596,0.352,2.02,0.592,1.17
34,3261,Cue,4,2/15/2022,11:41,am,Raul,Cue Cohort 127 videos\Test 16429.szv,6.4,1.241,0.195,0.906,0.674,4.06,0.898,1.10
35,3261,Cue,5,2/15/2022,11:42,am,Raul,Cue Cohort 127 videos\Test 16430.szv,5.3,1.142,0.214,0.917,0.600,3.01,0.912,0.67
36,3261,Cue,6,2/15/2022,11:43,am,Raul,Cue Cohort 127 videos\Test 16431.szv,5.3,1.068,0.202,0.976,0.625,3.10,0.976,0.54
37,3262,Cue,1,2/15/2022,11:49,am,Raul,Cue Cohort 127 videos\Test 16432.szv,6.8,1.058,0.156,0.901,0.440,2.84,0.854,0.22
38,3262,Cue,2,2/15/2022,11:50,am,Raul,Cue Cohort 127 videos\Test 16433.szv,3.1,0.369,0.120,0.994,0.238,0.65,0.999,0.14
39,3262,Cue,3,2/15/2022,11:50,am,Raul,Cue Cohort 127 videos\Test 16434.szv,16.9,2.905,0.172,0.162,0.412,6.82,0.151,6.24
40,3262,Cue,4,2/15/2022,11:51,am,Raul,Cue Cohort 127 videos\Test 16435.szv,7.9,1.358,0.171,0.811,0.483,3.66,0.787,0.53
41,3262,Cue,5,2/15/2022,11:52,am,Raul,Cue Cohort 127 videos\Test 16436.szv,8.0,3.224,0.404,0.274,0.507,3.87,0.267,3.02
42,3262,Cue,6,2/15/2022,11:53,am,Raul,Cue Cohort 127 videos\Test 16437.szv,8.4,2.238,0.267,0.309,0.417,3.36,0.291,2.60
43,3264,Cue,1,2/15/2022,11:55,am,Raul,Cue Cohort 127 videos\Test 16438.szv,5.6,1.024,0.181,0.904,0.506,2.69,0.874,0.49
44,3264,Cue,2,2/15/2022,11:56,am,Raul,Cue Cohort 127 videos\Test 16439.szv,3.2,0.476,0.148,0.895,0.273,0.79,0.906,0.20
45,3264,Cue,3,2/15/2022,11:56,am,Raul,Cue Cohort 127 videos\Test 16440.szv,12.8,2.428,0.190,0.232,0.433,5.39,0.183,4.85
46,3264,Cue,4,2/15/2022,11:57,am,Raul,Cue Cohort 127 videos\Test 16441.szv,7.2,1.500,0.208,0.726,0.561,3.87,0.691,1.38
47,3264,Cue,5,2/15/2022,11:58,am,Raul,Cue Cohort 127 videos\Test 16442.szv,4.6,0.935,0.204,0.962,0.477,2.03,0.960,0.24
48,3264,Cue,6,2/15/2022,11:58,am,Raul,Cue Cohort 127 videos\Test 16443.szv,5.2,0.960,0.185,0.986,0.595,2.88,0.987,0.50
49,3265,Cue,1,2/15/2022,12:00,pm,Raul,Cue Cohort 127 videos\Test 16444.szv,11.0,1.625,0.148,0.624,0.543,5.97,,
50,3265,Cue,2,2/15/2022,12:01,pm,Raul,Cue Cohort 127 videos\Test 50.szv,7.1,0.928,0.132,0.862,0.253,1.67,0.821,0.01
51,3265,Cue,3,2/15/2022,12:02,pm,Raul,Cue Cohort 127 videos\Test 16446.szv,25.7,5.210,0.203,0.062,0.583,14.97,,
52,3265,Cue,4,2/15/2022,12:03,pm,Raul,Cue Cohort 127 videos\Test 16447.szv,8.3,1.241,0.150,0.866,0.643,5.32,,
53,3265,Cue,5,2/15/2022,12:04,pm,Raul,Cue Cohort 127 videos\Test 16448.szv,30.0,5.960,0.199,0.170,0.862,25.87,,
54,3265,Cue,6,2/15/2022,12:06,pm,Raul,Cue Cohort 127 videos\Test 16449.szv,30.0,5.470,0.182,0.117,0.796,23.87,,
55,3266,Cue,1,2/15/2022,12:09,pm,Raul,Cue Cohort 127 videos\Test 16450.szv,5.4,1.032,0.192,0.971,0.539,2.71,0.940,0.44
56,3266,Cue,2,2/15/2022,12:09,pm,Raul,Cue Cohort 127 videos\Test 16451.szv,13.9,2.836,0.203,0.233,0.492,6.69,0.197,5.92
57,3266,Cue,3,2/15/2022,12:10,pm,Raul,Cue Cohort 127 videos\Test 16452.szv,3.2,2.091,0.659,0.410,0.404,1.14,0.380,0.70
58,3266,Cue,4,2/15/2022,12:11,pm,Raul,Cue Cohort 127 videos\Test 16453.szv,8.2,1.360,0.166,0.751,0.742,5.83,0.747,2.72
59,3266,Cue,5,2/15/2022,12:11,pm,Raul,Cue Cohort 127 videos\Test 16454.szv,11.7,2.022,0.173,0.582,0.731,8.30,0.562,4.75
60,3266,Cue,6,2/15/2022,12:12,pm,Raul,Cue Cohort 127 videos\Test 16455.szv,11.0,1.673,0.152,0.628,0.808,8.62,0.630,4.92
61,Y847,Cue,1,2/15/2022,12:14,pm,Raul,Cue Cohort 127 videos\Test 16456.szv,8.5,0.995,0.117,0.883,0.476,4.05,,
62,Y847,Cue,2,2/15/2022,12:15,pm,Raul,Cue Cohort 127 videos\Test 16457.szv,3.3,0.404,0.123,0.984,0.250,0.74,0.957,0.13
63,Y847,Cue,3,2/15/2022,12:16,pm,Raul,Cue Cohort 127 videos\Test 16458.szv,3.2,0.479,0.152,0.896,0.258,0.73,0.902,0.19
64,Y847,Cue,4,2/15/2022,12:16,pm,Raul,Cue Cohort 127 videos\Test 16459.szv,5.4,1.091,0.203,0.954,0.583,2.93,0.941,0.39
65,Y847,Cue,5,2/15/2022,12:17,pm,Raul,Cue Cohort 127 videos\Test 16460.szv,6.9,1.326,0.192,0.733,0.598,3.93,0.724,1.62
66,Y847,Cue,6,2/15/2022,12:17,pm,Raul,Cue Cohort 127 videos\Test 16461.szv,5.4,1.064,0.196,0.987,0.571,2.92,0.986,0.37
67,291,Cue,1,2/15/2022,12:19,pm,Raul,Cue Cohort 127 videos\Test 16462.szv,7.4,1.057,0.143,0.907,0.443,3.13,0.840,0.32
68,291,Cue,2,2/15/2022,12:20,pm,Raul,Cue Cohort 127 videos\Test 16463.szv,3.7,0.440,0.120,0.969,0.258,0.86,0.964,0.14
69,291,Cue,3,2/15/2022,12:20,pm,Raul,Cue Cohort 127 videos\Test 16464.szv,5.1,0.610,0.121,0.766,0.334,1.58,0.733,0.74
70,291,Cue,4,2/15/2022,12:21,pm,Raul,Cue Cohort 127 videos\Test 16465.szv,5.9,1.105,0.188,0.975,0.576,3.18,0.953,0.39
71,291,Cue,5,2/15/2022,12:22,pm,Raul,Cue Cohort 127 videos\Test 16466.szv,9.1,1.364,0.150,0.686,0.490,4.29,0.698,1.31
72,291,Cue,6,2/15/2022,12:22,pm,Raul,Cue Cohort 127 videos\Test 16467.szv,5.0,0.937,0.186,0.995,0.597,2.78,0.992,0.47
73,292,Cue,1,2/15/2022,12:25,pm,Raul,Cue Cohort 127 videos\Test 16468.szv,6.3,0.902,0.143,0.982,0.375,2.25,0.978,-0.46
74,292,Cue,2,2/15/2022,12:25,pm,Raul,Cue Cohort 127 videos\Test 16469.szv,2.7,0.439,0.161,0.974,0.216,0.52,0.956,0.05
75,292,Cue,3,2/15/2022,12:26,pm,Raul,Cue Cohort 127 videos\Test 16470.szv,3.5,0.615,0.178,0.785,0.301,0.95,0.757,0.37
76,292,Cue,4,2/15/2022,12:26,pm,Raul,Cue Cohort 127 videos\Test 16471.szv,4.2,1.044,0.246,0.997,0.575,2.25,0.997,0.17
77,292,Cue,5,2/15/2022,12:27,pm,Raul,Cue Cohort 127 videos\Test 16472.szv,3.4,0.931,0.277,0.998,0.542,1.64,0.996,0.18
78,292,Cue,6,2/15/2022,12:28,pm,Raul,Cue Cohort 127 videos\Test 16473.szv,4.7,1.157,0.245,0.943,0.652,2.86,0.939,0.64
79,293,Cue,1,2/15/2022,12:30,pm,Raul,Cue Cohort 127 videos\Test 16474.szv,5.7,0.799,0.140,0.996,0.416,2.23,0.972,0.01
80,293,Cue,2,2/15/2022,12:30,pm,Raul,Cue Cohort 127 videos\Test 16475.szv,8.1,0.937,0.115,0.578,0.390,3.04,0.546,1.95
81,293,Cue,3,2/15/2022,12:31,pm,Raul,Cue Cohort 127 videos\Test 16476.szv,3.2,0.379,0.120,0.993,0.227,0.64,0.992,0.15
82,293,Cue,4,2/15/2022,12:31,pm,Raul,Cue Cohort 127 videos\Test 16477.szv,9.0,2.271,0.252,0.195,0.652,5.66,0.180,5.34
83,293,Cue,5,2/15/2022,12:32,pm,Raul,Cue Cohort 127 videos\Test 16478.szv,10.5,1.913,0.182,0.437,0.715,7.24,0.426,5.42
84,293,Cue,6,2/15/2022,12:33,pm,Raul,Cue Cohort 127 videos\Test 16479.szv,6.3,1.070,0.170,0.941,0.635,3.79,0.939,1.04
85,294,Cue,1,2/15/2022,12:35,pm,Raul,Cue Cohort 127 videos\Test 16480.szv,4.9,0.900,0.185,0.988,0.485,2.20,0.975,0.27
86,294,Cue,2,2/15/2022,12:35,pm,Raul,Cue Cohort 127 videos\Test 16481.szv,12.3,2.940,0.239,0.211,0.458,5.48,0.180,4.88
87,294,Cue,3,2/15/2022,12:36,pm,Raul,Cue Cohort 127 videos\Test 16482.szv,3.0,0.386,0.128,0.996,0.245,0.65,0.993,0.16
88,294,Cue,4,2/15/2022,12:36,pm,Raul,Cue Cohort 127 videos\Test 16483.szv,4.9,1.014,0.209,0.990,0.582,2.62,0.972,0.43
89,294,Cue,5,2/15/2022,12:37,pm,Raul,Cue Cohort 127 videos\Test 16484.szv,8.3,2.638,0.316,0.058,0.349,2.78,0.026,2.74
90,294,Cue,6,2/15/2022,12:38,pm,Raul,Cue Cohort 127 videos\Test 16485.szv,4.7,1.049,0.222,0.988,0.590,2.59,0.989,0.27
91,295,Cue,1,2/15/2022,12:40,pm,Raul,Cue Cohort 127 videos\Test 16486.szv,5.0,1.049,0.210,0.940,0.442,2.05,0.881,0.11
92,295,Cue,2,2/15/2022,12:40,pm,Raul,Cue Cohort 127 videos\Test 16487.szv,2.9,0.539,0.183,0.854,0.235,0.61,0.783,0.17
93,295,Cue,3,2/15/2022,12:41,pm,Raul,Cue Cohort 127 videos\Test 16488.szv,2.2,0.420,0.192,0.994,0.193,0.35,0.979,0.03
94,295,Cue,4,2/15/2022,12:41,pm,Raul,Cue Cohort 127 videos\Test 16489.szv,5.6,1.081,0.192,0.994,0.519,2.73,0.987,0.01
95,295,Cue,5,2/15/2022,12:42,pm,Raul,Cue Cohort 127 videos\Test 16490.szv,3.9,0.949,0.245,0.957,0.463,1.65,0.962,0.11
96,295,Cue,6,2/15/2022,12:43,pm,Raul,Cue Cohort 127 videos\Test 16491.szv,4.6,1.083,0.236,0.928,0.543,2.31,0.923,0.36
97,3268,Cue,1,2/15/2022,12:45,pm,Raul,Cue Cohort 127 videos\Test 16492.szv,5.1,0.900,0.177,0.948,0.387,1.83,0.908,-0.05
98,3268,Cue,2,2/15/2022,12:45,pm,Raul,Cue Cohort 127 videos\Test 16493.szv,6.7,1.654,0.247,0.295,0.381,2.43,0.251,2.07
99,3268,Cue,3,2/15/2022,12:46,pm,Raul,Cue Cohort 127 videos\Test 16494.szv,2.8,0.492,0.173,0.895,0.252,0.63,0.875,0.17
100,3268,Cue,4,2/15/2022,12:46,pm,Raul,Cue Cohort 127 videos\Test 16495.szv,6.1,1.233,0.203,0.873,0.673,3.85,0.852,1.17
101,3268,Cue,5,2/15/2022,12:47,pm,Raul,Cue Cohort 127 videos\Test 16496.szv,5.8,1.279,0.221,0.703,0.576,3.13,0.715,1.34
102,3268,Cue,6,2/15/2022,12:48,pm,Raul,Cue Cohort 127 videos\Test 16497.szv,5.7,1.175,0.205,0.888,0.641,3.46,0.878,1.12
103,3270,Cue,1,2/15/2022,12:50,pm,Raul,Cue Cohort 127 videos\Test 16498.szv,30.0,4.689,0.156,0.110,0.778,23.33,,
104,3270,Cue,2,2/15/2022,12:52,pm,Raul,Cue Cohort 127 videos\Test 104.szv,16.8,2.204,0.131,0.544,0.588,9.90,,
105,3270,Cue,3,2/15/2022,12:53,pm,Raul,Cue Cohort 127 videos\Test 16500.szv,6.3,0.523,0.083,0.849,0.298,1.88,,
106,3270,Cue,4,2/15/2022,12:53,pm,Raul,Cue Cohort 127 videos\Test 16501.szv,19.4,1.985,0.102,0.638,0.706,13.70,,
107,3270,Cue,5,2/15/2022,12:54,pm,Raul,Cue Cohort 127 videos\Test 16502.szv,15.5,1.474,0.095,0.714,0.765,11.61,0.688,6.05
108,3270,Cue,6,2/15/2022,12:55,pm,Raul,Cue Cohort 127 videos\Test 16503.szv,14.3,1.393,0.097,0.772,0.712,10.20,,
109,3272,Cue,1,2/15/2022,12:57,pm,Raul,Cue Cohort 127 videos\Test 16504.szv,15.9,2.782,0.175,0.342,0.508,7.99,0.315,5.77
110,3272,Cue,2,2/15/2022,12:58,pm,Raul,Cue Cohort 127 videos\Test 16505.szv,3.5,0.562,0.161,0.819,0.253,0.80,0.803,0.23
111,3272,Cue,3,2/15/2022,12:58,pm,Raul,Cue Cohort 127 videos\Test 16506.szv,8.3,1.568,0.190,0.278,0.452,3.58,0.270,3.10
112,3272,Cue,4,2/15/2022,12:59,pm,Raul,Cue Cohort 127 videos\Test 16507.szv,11.4,2.172,0.191,0.501,0.702,7.72,0.489,4.82
113,3272,Cue,5,2/15/2022,13:00,pm,Raul,Cue Cohort 127 videos\Test 16508.szv,5.0,1.048,0.208,0.975,0.566,2.66,0.977,0.28
114,3272,Cue,6,2/15/2022,13:00,pm,Raul,Cue Cohort 127 videos\Test 16509.szv,5.5,1.017,0.185,0.898,0.512,2.62,0.892,0.49
115,3273,Cue,1,2/15/2022,13:02,pm,Raul,Cue Cohort 127 videos\Test 16510.szv,5.5,0.938,0.169,0.969,0.315,1.69,0.887,-0.02
116,3273,Cue,2,2/15/2022,13:03,pm,Raul,Cue Cohort 127 videos\Test 16511.szv,14.2,3.735,0.263,0.152,0.628,8.93,,
117,3273,Cue,3,2/15/2022,13:04,pm,Raul,Cue Cohort 127 videos\Test 16512.szv,3.3,0.343,0.105,0.937,0.191,0.56,0.993,0.06
118,3273,Cue,4,2/15/2022,13:04,pm,Raul,Cue Cohort 127 videos\Test 16513.szv,5.1,1.108,0.216,0.942,0.596,2.86,0.944,0.55
119,3273,Cue,5,2/15/2022,13:05,pm,Raul,Cue Cohort 127 videos\Test 16514.szv,23.4,4.937,0.211,0.181,0.646,15.12,,
120,3273,Cue,6,2/15/2022,13:06,pm,Raul,Cue Cohort 127 videos\Test 16515.szv,18.3,5.058,0.277,0.037,0.827,15.09,,
121,690,Cue,1,2/15/2022,13:09,pm,Raul,Cue Cohort 127 videos\Test 16516.szv,5.8,1.203,0.207,0.812,0.490,2.68,0.766,0.74
122,690,Cue,2,2/15/2022,13:09,pm,Raul,Cue Cohort 127 videos\Test 16517.szv,3.6,0.575,0.161,0.849,0.297,0.96,0.840,0.35
123,690,Cue,3,2/15/2022,13:10,pm,Raul,Cue Cohort 127 videos\Test 16518.szv,4.0,0.603,0.152,0.792,0.301,1.10,0.780,0.41
124,690,Cue,4,2/15/2022,13:10,pm,Raul,Cue Cohort 127 videos\Test 16519.szv,4.9,1.071,0.217,0.988,0.639,2.94,0.983,0.50
125,690,Cue,5,2/15/2022,13:11,pm,Raul,Cue Cohort 127 videos\Test 16520.szv,4.8,0.983,0.204,0.988,0.594,2.66,0.992,0.46
126,690,Cue,6,2/15/2022,13:11,pm,Raul,Cue Cohort 127 videos\Test 16521.szv,4.6,1.025,0.225,0.990,0.563,2.38,0.986,0.24
127,691,Cue,1,2/15/2022,13:13,pm,Raul,Cue Cohort 127 videos\Test 16522.szv,6.7,1.001,0.150,0.926,0.491,3.21,0.919,0.32
128,691,Cue,2,2/15/2022,13:14,pm,Raul,Cue Cohort 127 videos\Test 16523.szv,2.3,0.369,0.160,0.973,0.172,0.34,0.956,0.02
129,691,Cue,3,2/15/2022,13:14,pm,Raul,Cue Cohort 127 videos\Test 16524.szv,4.6,0.699,0.152,0.782,0.346,1.47,0.756,0.60
130,691,Cue,4,2/15/2022,13:15,pm,Raul,Cue Cohort 127 videos\Test 16525.szv,0.3,0.000,0.000,,0.000,0.00,,
131,691,Cue,5,2/15/2022,13:15,pm,Raul,Cue Cohort 127 videos\Test 16526.szv,4.5,1.018,0.226,0.990,0.528,2.20,0.958,0.25
132,691,Cue,6,2/15/2022,13:16,pm,Raul,Cue Cohort 127 videos\Test 16527.szv,2.9,0.658,0.228,0.996,0.366,0.94,0.992,0.09
133,692,Cue,1,2/15/2022,13:17,pm,Raul,Cue Cohort 127 videos\Test 16528.szv,8.0,1.292,0.162,0.749,0.584,4.65,,
134,692,Cue,2,2/15/2022,13:18,pm,Raul,Cue Cohort 127 videos\Test 16529.szv,0.4,0.000,0.000,,0.000,0.00,,
135,692,Cue,3,2/15/2022,13:18,pm,Raul,Cue Cohort 127 videos\Test 16530.szv,5.0,0.738,0.147,0.748,0.355,1.66,0.719,0.79
136,692,Cue,4,2/15/2022,13:19,pm,Raul,Cue Cohort 127 videos\Test 16531.szv,5.8,1.321,0.227,0.623,0.564,3.09,0.603,1.81
137,692,Cue,5,2/15/2022,13:19,pm,Raul,Cue Cohort 127 videos\Test 16532.szv,6.9,2.044,0.297,0.073,0.418,2.73,0.045,2.93
138,692,Cue,6,2/15/2022,13:20,pm,Raul,Cue Cohort 127 videos\Test 16533.szv,5.7,1.902,0.334,0.026,0.466,2.48,0.010,2.49
139,693,Cue,1,2/15/2022,13:22,pm,Raul,Cue Cohort 127 videos\Test 16534.szv,5.6,0.973,0.173,0.870,0.422,2.36,0.872,0.15
140,693,Cue,2,2/15/2022,13:23,pm,Raul,Cue Cohort 127 videos\Test 16535.szv,3.2,0.398,0.123,0.960,0.226,0.65,0.926,0.13
141,693,Cue,3,2/15/2022,13:23,pm,Raul,Cue Cohort 127 videos\Test 16536.szv,2.8,0.417,0.147,0.944,0.216,0.54,0.958,0.05
142,693,Cue,4,2/15/2022,13:24,pm,Raul,Cue Cohort 127 videos\Test 16537.szv,5.8,2.227,0.387,0.160,0.514,2.79,0.132,2.65
143,693,Cue,5,2/15/2022,13:24,pm,Raul,Cue Cohort 127 videos\Test 16538.szv,5.1,1.026,0.202,0.935,0.536,2.54,0.944,0.39
144,693,Cue,6,2/15/2022,13:25,pm,Raul,Cue Cohort 127 videos\Test 16539.szv,5.7,2.917,0.514,0.128,0.470,2.52,0.105,2.44
