Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,Probe TRR to 30s; Duration (s),Base; Duration (s),Probe TRR to 30s; Distance (m),Base; Distance (m),Probe TRR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe TRR to 30s; Path efficiency,Base; Path efficiency,Probe TRR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe TRR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe TRR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s)
105,Y847,Probe1 (Day2),1,2/8/2022,11:18,am,Raul,MWM Cohort 127 videos\Test 16507.szv,26.3,30,7.725,8.715,0.294,0.291,0.104,0.015,0.624,0.618,16.42,18.53,,,57.77
108,291,Probe1 (Day2),1,2/8/2022,11:25,am,Raul,MWM Cohort 127 videos\Test 16510.szv,25.3,30,5.682,6.56,0.225,0.219,0.21,0.17,0.445,0.522,11.09,15.45,0.456,0.286,28.9
111,292,Probe1 (Day2),1,2/8/2022,11:31,am,Raul,MWM Cohort 127 videos\Test 16513.szv,25.2,30,6.692,7.865,0.266,0.262,0.012,0.126,0.627,0.692,15.68,20.62,0.199,0.166,64.37
114,293,Probe1 (Day2),1,2/8/2022,11:38,am,Raul,MWM Cohort 127 videos\Test 16516.szv,26,30,7.17,7.914,0.276,0.264,0.074,0.13,0.627,0.668,16.08,19.81,0.494,0.342,20.43
117,294,Probe1 (Day2),1,2/8/2022,11:43,am,Raul,MWM Cohort 127 videos\Test 16519.szv,25.9,30,6.286,7.22,0.243,0.241,0.191,0.137,0.649,0.692,15.86,19.76,0.183,0.127,18.03
120,295,Probe1 (Day2),1,2/8/2022,11:48,am,Raul,MWM Cohort 127 videos\Test 16522.szv,26,30,6.006,6.922,0.231,0.231,0.061,0.107,0.57,0.586,14.82,17.59,,,31.24
123,3268,Probe1 (Day2),1,2/8/2022,11:54,am,Raul,MWM Cohort 127 videos\Test 16525.szv,24.8,30,4.663,5.353,0.188,0.178,0.139,0.02,0.645,0.691,16.01,20.73,,,65.18
126,3270,Probe1 (Day2),1,2/8/2022,12:00,pm,Raul,MWM Cohort 127 videos\Test 16528.szv,21.5,30,2.918,3.7,0.136,0.123,0.417,0.176,0.67,0.77,14.4,23.1,,,64.49
129,3272,Probe1 (Day2),1,2/8/2022,12:08,pm,Raul,MWM Cohort 127 videos\Test 16531.szv,24.3,30,4.926,6.082,0.203,0.203,0.076,0.185,0.636,0.667,15.46,20.02,,,30.99
132,3273,Probe1 (Day2),1,2/8/2022,12:17,pm,Raul,MWM Cohort 127 videos\Test 16534.szv,25.2,30,5.707,6.894,0.226,0.23,0.262,0.086,0.681,0.67,17.15,20.09,,,60.5
135,690,Probe1 (Day2),1,2/8/2022,12:25,pm,Raul,MWM Cohort 127 videos\Test 16538.szv,26,30,7.196,7.996,0.277,0.267,0.035,0.114,0.522,0.568,13.57,17.04,,,47.19
138,691,Probe1 (Day2),1,2/8/2022,12:32,pm,Raul,MWM Cohort 127 videos\Test 16541.szv,25.5,30,6.04,6.929,0.237,0.231,0.095,0.152,0.419,0.477,10.35,13.94,0.081,0.143,11.81
141,692,Probe1 (Day2),1,2/8/2022,12:39,pm,Raul,MWM Cohort 127 videos\Test 16544.szv,25.4,30,3.631,4.926,0.143,0.164,0.155,0.137,0.318,0.4,8.06,11.98,0.307,0.28,47.3
144,693,Probe1 (Day2),1,2/8/2022,12:46,pm,Raul,MWM Cohort 127 videos\Test 16547.szv,27,30,8.365,9.206,0.31,0.307,0.086,0.156,0.546,0.552,14.41,16.21,0.711,0.974,53.88
219,Y842,Probe2 (Day4),1,2/10/2022,10:32,am,Raul,MWM Cohort 127 videos\Test 16658.szv,26.2,30,6.366,7.128,0.243,0.238,0.107,0.107,0.544,0.562,13.95,16.57,0.098,0.233,34.72
222,Y843,Probe2 (Day4),1,2/10/2022,10:37,am,Raul,MWM Cohort 127 videos\Test 16661.szv,25.1,30,5.61,6.251,0.224,0.208,0.215,0.13,0.699,0.718,17.54,21.53,,,25.24
225,Y844,Probe2 (Day4),1,2/10/2022,10:42,am,Raul,MWM Cohort 127 videos\Test 16664.szv,26.1,30,7.271,8.545,0.279,0.285,0.124,0.072,0.619,0.601,16.14,18.04,,,19.79
228,Y845,Probe2 (Day4),1,2/10/2022,10:48,am,Raul,MWM Cohort 127 videos\Test 16667.szv,24.8,30,5.305,5.782,0.214,0.193,0.196,0.198,0.559,0.616,13.85,18.47,,,18.49
231,Y846,Probe2 (Day4),1,2/10/2022,10:53,am,Raul,MWM Cohort 127 videos\Test 16670.szv,24.5,30,5.268,6.267,0.215,0.209,0.099,0.181,0.621,0.641,15.22,19.23,,,16.31
234,3261,Probe2 (Day4),1,2/10/2022,10:59,am,Raul,MWM Cohort 127 videos\Test 16673.szv,25.5,30,6.805,7.681,0.267,0.256,0.228,0.185,0.65,0.686,16.58,20.57,,,61.58
237,3262,Probe2 (Day4),1,2/10/2022,11:05,am,Raul,MWM Cohort 127 videos\Test 16676.szv,24,30,4.392,5.476,0.183,0.183,0.085,0.104,0.425,0.472,10.2,14.17,,,41.6
240,3264,Probe2 (Day4),1,2/10/2022,11:13,am,Raul,MWM Cohort 127 videos\Test 16679.szv,24.8,30,5.572,6.261,0.225,0.209,0.195,0.244,0.529,0.565,13.13,16.96,,,16.71
243,3265,Probe2 (Day4),1,2/10/2022,11:19,am,Raul,MWM Cohort 127 videos\Test 16682.szv,25.1,30,5.71,6.555,0.227,0.219,0.151,0.196,0.704,0.724,17.67,21.71,,,64.32
246,3266,Probe2 (Day4),1,2/10/2022,11:27,am,Raul,MWM Cohort 127 videos\Test 16685.szv,23.7,30,4.027,4.679,0.17,0.156,0.241,0.255,0.701,0.748,16.63,22.43,,,38.98
249,Y847,Probe2 (Day4),1,2/10/2022,11:33,am,Raul,MWM Cohort 127 videos\Test 16688.szv,25.3,30,6.823,7.508,0.27,0.25,0.046,0.078,0.662,0.695,16.76,20.84,,,23.68
252,291,Probe2 (Day4),1,2/10/2022,11:41,am,Raul,MWM Cohort 127 videos\Test 16691.szv,23.7,30,4.52,5.124,0.191,0.171,0.249,0.253,0.749,0.775,17.75,23.25,,,20.56
255,292,Probe2 (Day4),1,2/10/2022,11:48,am,Raul,MWM Cohort 127 videos\Test 16694.szv,24.5,30,5.262,5.672,0.215,0.189,0.109,0.097,0.682,0.746,16.72,22.38,,,49.76
258,293,Probe2 (Day4),1,2/10/2022,11:56,am,Raul,MWM Cohort 127 videos\Test 16697.szv,25,30,7.256,7.786,0.29,0.26,0.062,0.026,0.639,0.698,15.97,20.95,,,57.5
261,294,Probe2 (Day4),1,2/10/2022,12:04,pm,Raul,MWM Cohort 127 videos\Test 16700.szv,23.8,30,3.43,4.645,0.144,0.155,0.317,0.261,0.46,0.541,10.63,15.85,0.275,0.512,29.68
264,295,Probe2 (Day4),1,2/10/2022,12:11,pm,Raul,MWM Cohort 127 videos\Test 16703.szv,25.1,30,5.441,6.147,0.217,0.205,0.158,0.115,0.633,0.655,15.88,19.64,,,22.01
267,3268,Probe2 (Day4),1,2/10/2022,12:17,pm,Raul,MWM Cohort 127 videos\Test 16706.szv,24.8,30,5.25,5.749,0.212,0.192,0.074,0.018,0.733,0.749,17.91,22.19,0.255,0.275,61.09
270,3270,Probe2 (Day4),1,2/10/2022,12:25,pm,Raul,MWM Cohort 127 videos\Test 16709.szv,21,30,3.088,3.852,0.147,0.128,0.34,0.397,0.857,0.895,17.99,26.85,,,64.26
273,3272,Probe2 (Day4),1,2/10/2022,12:33,pm,Raul,MWM Cohort 127 videos\Test 16712.szv,24.7,30,5.45,6.671,0.221,0.222,0.208,0.023,0.685,0.666,16.92,19.99,,,60.41
276,3273,Probe2 (Day4),1,2/10/2022,12:40,pm,Raul,MWM Cohort 127 videos\Test 16715.szv,25.5,30,6.143,7.331,0.241,0.244,0.067,0.182,0.686,0.7,17.49,21,,,55.54
279,690,Probe2 (Day4),1,2/10/2022,12:46,pm,Raul,MWM Cohort 127 videos\Test 16718.szv,24.9,30,4.363,5.103,0.175,0.17,0.138,0.02,0.434,0.478,10.81,14.34,,,23.92
282,691,Probe2 (Day4),1,2/10/2022,12:52,pm,Raul,MWM Cohort 127 videos\Test 16721.szv,25.7,30,6.92,7.648,0.269,0.255,0.113,0.183,0.67,0.676,17.21,20.27,,,55.84
285,692,Probe2 (Day4),1,2/10/2022,12:59,pm,Raul,MWM Cohort 127 videos\Test 16724.szv,24.8,30,4.462,5.203,0.18,0.173,0.071,0.099,0.495,0.535,12.27,16.06,,,50.91
288,693,Probe2 (Day4),1,2/10/2022,13:06,pm,Raul,MWM Cohort 127 videos\Test 16727.szv,25.7,30,7.107,7.812,0.277,0.26,0.128,0.1,0.639,0.671,16.43,20.12,,,40.23
363,Y842,Probe3 (Day6),1,2/12/2022,10:09,am,Raul,MWM Cohort 127 videos\Test 16838.szv,28,30,8.573,8.961,0.306,0.299,0.07,0.061,0.636,0.624,17.57,18.48,0.214,0.23,35.78
366,Y843,Probe3 (Day6),1,2/12/2022,10:15,am,Raul,MWM Cohort 127 videos\Test 16841.szv,27.3,30,6.171,6.613,0.226,0.22,0.092,0.155,0.546,0.537,14.89,16.1,,,20.01
369,Y844,Probe3 (Day6),1,2/12/2022,10:23,am,Raul,MWM Cohort 127 videos\Test 16844.szv,27.2,30,4.971,5.495,0.183,0.183,0.033,0.106,0.546,0.516,12.37,13.13,0.999,0.852,12.48
372,Y845,Probe3 (Day6),1,2/12/2022,10:30,am,Raul,MWM Cohort 127 videos\Test 16847.szv,27.5,30,5.361,5.522,0.195,0.184,0.048,0.069,0.662,0.651,18.22,19.53,,,58.2
375,Y846,Probe3 (Day6),1,2/12/2022,10:36,am,Raul,MWM Cohort 127 videos\Test 16850.szv,27.6,30,5.16,5.317,0.187,0.177,0.135,0.154,0.462,0.458,12.14,13.14,0.76,0.924,27.59
378,3261,Probe3 (Day6),1,2/12/2022,10:44,am,Raul,MWM Cohort 127 videos\Test 16853.szv,27.9,30,5.795,6.097,0.208,0.203,0.14,0.182,0.492,0.484,13.3,14.09,0.709,0.77,33.59
381,3262,Probe3 (Day6),1,2/12/2022,10:50,am,Raul,MWM Cohort 127 videos\Test 16856.szv,27.6,30,5.199,5.434,0.188,0.181,0.139,0.151,0.538,0.527,14.84,15.81,,,35.88
384,3264,Probe3 (Day6),1,2/12/2022,11:07,am,Raul,MWM Cohort 127 videos\Test 16859.szv,27.4,30,5.19,5.401,0.189,0.18,0.042,0.025,0.268,0.281,7.19,8.25,0.052,0.104,31.91
387,3265,Probe3 (Day6),1,2/12/2022,11:15,am,Raul,MWM Cohort 127 videos\Test 16862.szv,27,30,5.469,5.878,0.203,0.196,0.167,0.117,0.682,0.655,18.4,19.64,,,67.36
390,3266,Probe3 (Day6),1,2/12/2022,11:23,am,Raul,MWM Cohort 127 videos\Test 16865.szv,25.4,30,3.479,3.87,0.137,0.129,0.366,0.242,0.444,0.479,11.04,14.11,0.305,0.18,31.33
393,Y847,Probe3 (Day6),1,2/12/2022,11:28,am,Raul,MWM Cohort 127 videos\Test 16868.szv,27.8,30,6.887,7.269,0.248,0.242,0.079,0.077,0.405,0.404,11.26,12.12,,,12.79
396,291,Probe3 (Day6),1,2/12/2022,11:34,am,Raul,MWM Cohort 127 videos\Test 16871.szv,26.9,30,5.033,5.541,0.187,0.185,0.112,0.018,0.262,0.27,6.7,7.71,,0.971,22.71
399,292,Probe3 (Day6),1,2/12/2022,11:42,am,Raul,MWM Cohort 127 videos\Test 16874.szv,27.6,30,6.309,6.665,0.229,0.222,0.066,0.01,0.616,0.604,17,18.11,,,19.61
402,293,Probe3 (Day6),1,2/12/2022,11:47,am,Raul,MWM Cohort 127 videos\Test 16877.szv,27.9,30,6.129,6.204,0.22,0.207,0.127,0.12,0.645,0.627,17.99,18.8,,,28.71
405,294,Probe3 (Day6),1,2/12/2022,11:54,am,Raul,MWM Cohort 127 videos\Test 16880.szv,27.4,30,5.792,6.168,0.211,0.206,0.19,0.166,0.745,0.726,20.41,21.78,,,58.07
408,295,Probe3 (Day6),1,2/12/2022,12:00,pm,Raul,MWM Cohort 127 videos\Test 16883.szv,27.5,30,5.536,5.76,0.201,0.192,0.119,0.15,0.665,0.644,18.28,19.31,,,27.73
411,3268,Probe3 (Day6),1,2/12/2022,12:07,pm,Raul,MWM Cohort 127 videos\Test 16886.szv,27.7,30,6.207,6.491,0.224,0.216,0.217,0.223,0.809,0.787,22.42,23.6,,,24.73
414,3270,Probe3 (Day6),1,2/12/2022,12:13,pm,Raul,MWM Cohort 127 videos\Test 16889.szv,26.3,30,4.83,4.921,0.184,0.164,0.016,0.016,0.791,0.756,20.8,22.68,,,50.77
417,3272,Probe3 (Day6),1,2/12/2022,12:22,pm,Raul,MWM Cohort 127 videos\Test 16892.szv,27.7,30,5.844,6.169,0.211,0.206,0.057,0.043,0.414,0.409,11.46,12.27,,,18.14
420,3273,Probe3 (Day6),1,2/12/2022,12:28,pm,Raul,MWM Cohort 127 videos\Test 16895.szv,27.6,30,6.068,6.412,0.22,0.214,0.021,0.037,0.6,0.594,16.56,17.81,,,58.76
423,690,Probe3 (Day6),1,2/12/2022,12:34,pm,Raul,MWM Cohort 127 videos\Test 16898.szv,28,30,6.059,6.33,0.216,0.211,0.042,0.076,0.404,0.399,9.66,10.36,0.736,0.792,9.98
426,691,Probe3 (Day6),1,2/12/2022,12:39,pm,Raul,MWM Cohort 127 videos\Test 16901.szv,28.1,30,7.62,8.004,0.271,0.267,0.023,0.067,0.501,0.491,12.67,13.35,0.493,0.867,12.94
429,692,Probe3 (Day6),1,2/12/2022,12:46,pm,Raul,MWM Cohort 127 videos\Test 16904.szv,28.2,30,6.016,6.091,0.213,0.203,0.153,0.166,0.596,0.581,16.81,17.43,,,47.66
432,693,Probe3 (Day6),1,2/12/2022,12:52,pm,Raul,MWM Cohort 127 videos\Test 16907.szv,27.9,30,7.655,7.931,0.274,0.264,0.055,0.09,0.585,0.58,16.12,17.22,0.09,0.076,52.85
507,Y842,Probe4 (Day8),1,2/14/2022,10:08,am,Raul,MWM Cohort 127 videos\Test 17018.szv,26.7,30,7.218,7.68,0.27,0.256,0.099,0.035,0.74,0.737,19.76,22.12,,,23.12
510,Y843,Probe4 (Day8),1,2/14/2022,10:13,am,Raul,MWM Cohort 127 videos\Test 17021.szv,26.2,30,7.013,7.526,0.268,0.251,0.102,0.164,0.828,0.814,21.7,24.41,,,64.76
513,Y844,Probe4 (Day8),1,2/14/2022,10:18,am,Raul,MWM Cohort 127 videos\Test 17024.szv,25.9,30,5.75,6.7,0.222,0.223,0.159,0.193,0.551,0.535,14.04,15.83,0.07,0.431,38.39
516,Y845,Probe4 (Day8),1,2/14/2022,10:24,am,Raul,MWM Cohort 127 videos\Test 17027.szv,26,30,5.502,6.018,0.212,0.201,0.083,0.004,0.558,0.578,14.51,17.33,,,19.57
519,Y846,Probe4 (Day8),1,2/14/2022,10:29,am,Raul,MWM Cohort 127 videos\Test 17030.szv,25.8,30,6.24,6.914,0.242,0.23,0.067,0.034,0.537,0.571,13.55,16.8,0.162,0.201,36.87
522,3261,Probe4 (Day8),1,2/14/2022,10:36,am,Raul,MWM Cohort 127 videos\Test 17033.szv,24.5,30,4.697,5.54,0.192,0.185,0.183,0.275,0.392,0.462,9.6,13.86,,,48.47
525,3262,Probe4 (Day8),1,2/14/2022,10:42,am,Raul,MWM Cohort 127 videos\Test 17036.szv,24.7,30,4.465,5.27,0.181,0.176,0.132,0.172,0.492,0.514,11.41,14.64,0.256,0.334,12.3
528,3264,Probe4 (Day8),1,2/14/2022,10:47,am,Raul,MWM Cohort 127 videos\Test 17039.szv,25.4,30,5.076,5.708,0.2,0.19,0.16,0.088,0.436,0.486,10.9,14.38,0.257,0.323,46.45
531,3265,Probe4 (Day8),1,2/14/2022,10:53,am,Raul,MWM Cohort 127 videos\Test 17042.szv,24.7,30,5.188,6.274,0.21,0.209,0.083,0.094,0.798,0.803,19.71,24.1,,,49.31
534,3266,Probe4 (Day8),1,2/14/2022,11:01,am,Raul,MWM Cohort 127 videos\Test 17045.szv,24.1,30,4.264,5.14,0.177,0.171,0.142,0.221,0.702,0.714,16.92,21.42,,,38.02
537,Y847,Probe4 (Day8),1,2/14/2022,11:06,am,Raul,MWM Cohort 127 videos\Test 17048.szv,25.5,30,5.644,6.47,0.221,0.216,0.021,0.134,0.355,0.388,8.59,11.13,0.09,0.333,9.16
540,291,Probe4 (Day8),1,2/14/2022,11:10,am,Raul,MWM Cohort 127 videos\Test 17051.szv,24.9,30,5.25,6.035,0.211,0.201,0.064,0.048,0.345,0.447,8.06,12.74,0.317,0.414,25.45
543,292,Probe4 (Day8),1,2/14/2022,11:16,am,Raul,MWM Cohort 127 videos\Test 17054.szv,25,30,5.535,6.561,0.221,0.219,0.23,0.22,0.567,0.641,14.11,19.18,0.9,0.533,39.52
546,293,Probe4 (Day8),1,2/14/2022,11:23,am,Raul,MWM Cohort 127 videos\Test 17057.szv,25.9,30,5.092,5.582,0.197,0.186,0.179,0.252,0.654,0.666,16.95,19.97,,,40.12
549,294,Probe4 (Day8),1,2/14/2022,11:29,am,Raul,MWM Cohort 127 videos\Test 17060.szv,26,30,5.47,6.138,0.21,0.205,0.135,0.174,0.607,0.606,15.78,18.17,,,24.5
552,295,Probe4 (Day8),1,2/14/2022,11:34,am,Raul,MWM Cohort 127 videos\Test 17063.szv,26.5,30,7.804,8.639,0.295,0.288,0.063,0.107,0.621,0.641,15.89,18.64,0.424,0.411,21
555,3268,Probe4 (Day8),1,2/14/2022,11:39,am,Raul,MWM Cohort 127 videos\Test 17066.szv,24.8,30,4.507,5.441,0.182,0.181,0.133,0.18,0.576,0.598,14.28,17.93,,,17.06
558,3270,Probe4 (Day8),1,2/14/2022,11:47,am,Raul,MWM Cohort 127 videos\Test 17069.szv,22.5,30,3.363,3.866,0.149,0.129,0.331,0.299,0.702,0.741,15.79,22.22,,,36.64
561,3272,Probe4 (Day8),1,2/14/2022,11:53,am,Raul,MWM Cohort 127 videos\Test 17072.szv,23,30,3.516,4.456,0.153,0.149,0.415,0.326,0.65,0.716,14.94,21.48,,,61.56
564,3273,Probe4 (Day8),1,2/14/2022,11:59,am,Raul,MWM Cohort 127 videos\Test 17075.szv,25.8,30,5.743,6.646,0.223,0.222,0.039,0.106,0.57,0.561,14.7,16.82,,,17.7
567,690,Probe4 (Day8),1,2/14/2022,12:04,pm,Raul,MWM Cohort 127 videos\Test 17078.szv,25.9,30,5.752,6.34,0.222,0.211,0.155,0.19,0.508,0.539,12.9,15.89,0.238,0.302,20.16
570,691,Probe4 (Day8),1,2/14/2022,12:08,pm,Raul,MWM Cohort 127 videos\Test 17081.szv,26.2,30,7.092,7.881,0.271,0.263,0.12,0.161,0.498,0.533,13.06,15.98,,,21.54
573,692,Probe4 (Day8),1,2/14/2022,12:13,pm,Raul,MWM Cohort 127 videos\Test 17084.szv,28.9,30,7.038,7.038,0.244,0.235,0.027,0.027,0.503,0.493,14.52,14.79,,,55.39
576,693,Probe4 (Day8),1,2/14/2022,12:18,pm,Raul,MWM Cohort 127 videos\Test 17087.szv,26.6,30,7.466,8.217,0.281,0.274,0.087,0.151,0.522,0.535,13.88,16.05,,,19.33
