Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,AQ TRR to End of Test; Duration (s),Base; Duration (s),AQ TRR to End of Test; Distance (m),Base; Distance (m),AQ TRR to End of Test; Mean speed (m/s),Base; Mean speed (m/s),AQ TRR to End of Test; Path efficiency,Base; Path efficiency,AQ TRR to End of Test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ TRR to End of Test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ TRR to End of Test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s)
68,Y880,AQ (Day2),2,7/6/2022,12:07,pm,Liam,MWM - Cohort 130 videos\Test 68.szv,65.2,30,17.082,7.331,0.262,0.244,0.018,0.043,0.709,0.701,46,21.02,0.016,,46.81
70,3316,AQ (Day2),1,7/6/2022,12:13,pm,Liam,MWM - Cohort 130 videos\Test 70.szv,68.7,30,18.96,8.576,0.276,0.286,0.037,0.142,0.77,0.831,52.62,24.93,0.034,,53.28
71,3316,AQ (Day2),2,7/6/2022,12:15,pm,Liam,MWM - Cohort 130 videos\Test 71.szv,84.8,30,14.964,6.899,0.176,0.23,0.104,0.073,0.63,0.642,53.4,19.26,,,
73,3317,AQ (Day2),1,7/6/2022,12:22,pm,Liam,MWM - Cohort 130 videos\Test 73.szv,0.1,2.3,0,0.35,0,0.151,,0.999,0,0.205,0,0.4,,0.992,0.02
74,3317,AQ (Day2),2,7/6/2022,12:23,pm,Liam,MWM - Cohort 130 videos\Test 74.szv,84.2,30,16.882,6.444,0.2,0.215,0.077,0.209,0.647,0.855,54.49,25.65,,,
76,3318,AQ (Day2),1,7/6/2022,12:34,pm,Liam,MWM - Cohort 130 videos\Test 76.szv,2.2,4.7,0.486,0.572,0.225,0.123,0.946,0.98,0.191,0.377,0.35,1.63,0.861,0.943,0.54
77,3318,AQ (Day2),2,7/6/2022,12:36,pm,Liam,MWM - Cohort 130 videos\Test 77.szv,84.8,30,20.831,7.712,0.246,0.257,0.04,0.036,0.788,0.783,66.83,23.5,,,
79,Y875,AQ (Day3),1,7/7/2022,10:35,am,Liam,MWM - Cohort 130 videos\Test 79.szv,54.1,30,7.669,3.798,0.142,0.127,0.034,0.239,0.481,0.531,25.86,15.94,0.03,,26
80,Y875,AQ (Day3),2,7/7/2022,10:37,am,Liam,MWM - Cohort 130 videos\Test 80.szv,46.1,30,8.583,5.265,0.186,0.175,0.072,0.186,0.648,0.716,29.64,21.47,0.068,,31.54
81,Y875,AQ (Day3),3,7/7/2022,10:39,am,Liam,MWM - Cohort 130 videos\Test 81.szv,18.7,21.8,3.289,3.578,0.176,0.164,0.252,0.158,0.723,0.7,13.32,15.06,0.227,0.135,14.34
82,Y876,AQ (Day3),1,7/7/2022,10:43,am,Liam,MWM - Cohort 130 videos\Test 82.szv,5.6,8,1.405,2.003,0.251,0.249,0.344,0.277,0.371,0.374,1.96,2.88,0.304,0.248,2.39
83,Y876,AQ (Day3),2,7/7/2022,10:44,am,Liam,MWM - Cohort 130 videos\Test 83.szv,44.1,30,9.881,6.515,0.224,0.217,0.028,0.152,0.554,0.545,24.23,16.36,0.02,,25.1
84,Y876,AQ (Day3),3,7/7/2022,10:46,am,Liam,MWM - Cohort 130 videos\Test 84.szv,77.7,30,16.828,5.687,0.217,0.19,0.016,0.143,0.647,0.558,50.08,16.73,0.015,,50.39
85,Y877,AQ (Day3),1,7/7/2022,10:49,am,Liam,MWM - Cohort 130 videos\Test 85.szv,12.9,15.9,0.489,0.785,0.038,0.049,0.424,0.667,0.139,0.183,1.74,2.86,0.335,0.674,0.16
86,Y877,AQ (Day3),2,7/7/2022,10:51,am,Liam,MWM - Cohort 130 videos\Test 86.szv,83.9,30,17.477,5.599,0.208,0.187,0.053,0.283,0.715,0.785,59.95,23.56,,,
87,Y877,AQ (Day3),3,7/7/2022,10:54,am,Liam,MWM - Cohort 130 videos\Test 87.szv,44.4,30,9.162,5.657,0.206,0.189,0.065,0.253,0.599,0.61,26.38,18.3,0.056,,27.38
88,3304,AQ (Day3),1,7/7/2022,10:57,am,Liam,MWM - Cohort 130 videos\Test 88.szv,47.5,30,11.067,8.139,0.233,0.271,0.05,0.181,0.724,0.801,34.15,24.04,0.05,,34.58
89,3304,AQ (Day3),2,7/7/2022,10:59,am,Liam,MWM - Cohort 130 videos\Test 89.szv,85.7,30,17.858,7.332,0.208,0.244,0.056,0.161,0.837,0.794,71.77,23.82,,,
90,3304,AQ (Day3),3,7/7/2022,11:02,am,Liam,MWM - Cohort 130 videos\Test 90.szv,87.4,30,19.805,7.282,0.227,0.243,0.029,0.214,0.806,0.828,70.46,24.83,,,
91,3307,AQ (Day3),1,7/7/2022,11:07,am,Liam,MWM - Cohort 130 videos\Test 91.szv,9.2,11.5,2.39,2.978,0.26,0.258,0.23,0.193,0.467,0.467,4.16,5.23,0.174,0.165,4.75
92,3307,AQ (Day3),2,7/7/2022,11:08,am,Liam,MWM - Cohort 130 videos\Test 92.szv,6.5,11.1,1.829,2.9,0.282,0.262,0.56,0.362,0.522,0.719,3.21,7.73,0.563,0.337,5.91
93,3307,AQ (Day3),3,7/7/2022,11:10,am,Liam,MWM - Cohort 130 videos\Test 93.szv,1.1,3.3,0.217,0.572,0.199,0.174,0.745,0.862,0.07,0.277,0.05,0.82,0.567,0.818,0.23
94,3309,AQ (Day3),1,7/7/2022,11:13,am,Liam,MWM - Cohort 130 videos\Test 94.szv,87.5,30,15.616,6.973,0.178,0.232,0.049,0.181,0.846,0.655,74,19.64,,,
95,3309,AQ (Day3),2,7/7/2022,11:16,am,Liam,MWM - Cohort 130 videos\Test 95.szv,84.6,30,13.19,5.703,0.156,0.19,0.049,0.248,0.712,0.585,60.26,17.56,,,
96,3309,AQ (Day3),3,7/7/2022,11:18,am,Liam,MWM - Cohort 130 videos\Test 96.szv,14,16.2,2.919,3.025,0.209,0.187,0.165,0.151,0.648,0.608,8.84,9.63,0.143,0.128,9.21
97,3310,AQ (Day3),1,7/7/2022,11:21,am,Liam,MWM - Cohort 130 videos\Test 97.szv,87.2,30,16.982,6.282,0.195,0.209,0.053,0.061,0.694,0.695,60.51,20.85,,,
98,3310,AQ (Day3),2,7/7/2022,11:25,am,Liam,MWM - Cohort 130 videos\Test 98.szv,84.8,30,14.918,6.149,0.176,0.205,0.022,0.215,0.655,0.597,55.51,17.9,,,
99,3310,AQ (Day3),3,7/7/2022,11:28,am,Liam,MWM - Cohort 130 videos\Test 99.szv,24.3,27.1,3.926,4.259,0.162,0.157,0.105,0.127,0.478,0.473,11.46,12.66,0.099,0.115,11.88
100,Y878,AQ (Day3),1,7/7/2022,11:31,am,Liam,MWM - Cohort 130 videos\Test 100.szv,14.3,16.6,2.953,3.411,0.207,0.205,0.24,0.169,0.677,0.653,9.47,10.63,0.219,0.148,10.01
101,Y878,AQ (Day3),2,7/7/2022,11:32,am,Liam,MWM - Cohort 130 videos\Test 101.szv,0.8,5.2,0.174,1.207,0.218,0.231,0.764,0.831,0.027,0.47,0.01,2.3,0.427,0.821,0.36
102,Y878,AQ (Day3),3,7/7/2022,11:33,am,Liam,MWM - Cohort 130 videos\Test 102.szv,10.5,12.6,2.436,2.911,0.232,0.23,0.176,0.173,0.598,0.554,6.09,6.82,0.163,0.155,6.37
103,Y879,AQ (Day3),1,7/7/2022,11:37,am,Liam,MWM - Cohort 130 videos\Test 103.szv,35.1,30,9.117,7.67,0.26,0.256,0.011,0.157,0.634,0.622,22.05,18.67,0.004,,22.16
104,Y879,AQ (Day3),2,7/7/2022,11:39,am,Liam,MWM - Cohort 130 videos\Test 104.szv,0.3,3.8,0,1.224,0,0.321,,0.813,0,0.516,0,1.79,,0.756,0.52
105,Y879,AQ (Day3),3,7/7/2022,11:41,am,Liam,MWM - Cohort 130 videos\Test 105.szv,87.8,30,26.01,8.85,0.296,0.295,0.029,0.117,0.561,0.53,49.26,15.91,,,
106,Y880,AQ (Day3),1,7/7/2022,11:54,am,Liam,MWM - Cohort 130 videos\Test 106.szv,1.8,4,0.384,0.473,0.218,0.119,0.815,0.904,0.152,0.291,0.22,1.05,0.999,0.906,0.34
107,Y880,AQ (Day3),2,7/7/2022,11:57,am,Liam,MWM - Cohort 130 videos\Test 107.szv,85.2,30,21.234,7.667,0.249,0.256,0.021,0.116,0.671,0.578,57.17,17.35,,,
108,Y880,AQ (Day3),3,7/7/2022,11:59,am,Liam,MWM - Cohort 130 videos\Test 108.szv,14.3,16.9,3.298,3.757,0.231,0.222,0.125,0.159,0.655,0.617,9.17,10.24,0.106,0.137,9.63
109,3316,AQ (Day3),1,7/7/2022,12:05,pm,Liam,MWM - Cohort 130 videos\Test 109.szv,87.5,30,21.621,7.952,0.247,0.265,0.016,0.2,0.824,0.834,72.12,25.02,,,
110,3316,AQ (Day3),2,7/7/2022,12:08,pm,Liam,MWM - Cohort 130 videos\Test 110.szv,19.6,24.5,3.411,4.469,0.174,0.182,0.259,0.238,0.491,0.563,9.47,13.61,0.233,0.216,11.01
111,3316,AQ (Day3),3,7/7/2022,12:09,pm,Liam,MWM - Cohort 130 videos\Test 111.szv,87.2,30,15.421,6.642,0.177,0.221,0.061,0.094,0.767,0.753,66.84,22.6,,,
112,3317,AQ (Day3),1,7/7/2022,12:13,pm,Liam,MWM - Cohort 130 videos\Test 112.szv,0.4,2.7,0,0.375,0,0.139,,0.998,0.004,0.226,0,0.52,,0.982,0.07
113,3317,AQ (Day3),2,7/7/2022,12:14,pm,Liam,MWM - Cohort 130 videos\Test 113.szv,84.6,30,13.331,5.194,0.158,0.173,0.068,0.256,0.636,0.602,53.84,18.07,,,
114,3317,AQ (Day3),3,7/7/2022,12:17,pm,Liam,MWM - Cohort 130 videos\Test 114.szv,86.4,30,16.657,6.028,0.193,0.201,0.043,0.166,0.738,0.78,63.48,23.4,0.038,,64.48
115,3318,AQ (Day3),1,7/7/2022,12:23,pm,Liam,MWM - Cohort 130 videos\Test 115.szv,87.9,30,22.22,7.916,0.253,0.264,0.008,0.195,0.711,0.758,62.47,22.75,,,
116,3318,AQ (Day3),2,7/7/2022,12:26,pm,Liam,MWM - Cohort 130 videos\Test 116.szv,85.8,30,18.998,7.449,0.221,0.248,0.078,0.157,0.714,0.732,61.26,21.96,,,
117,3318,AQ (Day3),3,7/7/2022,12:28,pm,Liam,MWM - Cohort 130 videos\Test 117.szv,87.6,30,19.778,6.645,0.226,0.221,0.063,0.229,0.757,0.716,66.35,21.47,,,
118,Y875,AQ (Day4),1,7/8/2022,10:39,am,Liam,MWM - Cohort 130 videos\Test 118.szv,21,24.8,3.082,3.188,0.147,0.129,0.215,0.196,0.59,0.59,12.18,14.43,0.199,0.183,13.06
119,Y875,AQ (Day4),2,7/8/2022,10:40,am,Liam,MWM - Cohort 130 videos\Test 119.szv,87.1,30,15.404,4.517,0.177,0.151,0.033,0.336,0.762,0.72,66.39,21.6,,,
121,Y876,AQ (Day4),1,7/8/2022,10:47,am,Liam,MWM - Cohort 130 videos\Test 121.szv,22.3,25,3.025,3.349,0.136,0.134,0.075,0.181,0.276,0.288,6.05,7.09,0.039,0.162,5.99
122,Y876,AQ (Day4),2,7/8/2022,10:49,am,Liam,MWM - Cohort 130 videos\Test 122.szv,29.3,30,5.55,5.43,0.189,0.181,0.086,0.102,0.461,0.477,13.37,14.3,0.081,,13.83
124,Y877,AQ (Day4),1,7/8/2022,10:54,am,Liam,MWM - Cohort 130 videos\Test 124.szv,59.7,30,11.335,5.548,0.19,0.185,0.043,0.101,0.66,0.676,39.2,20.28,0.035,,39.89
125,Y877,AQ (Day4),2,7/8/2022,10:56,am,Liam,MWM - Cohort 130 videos\Test 125.szv,15,18,3.327,3.653,0.223,0.203,0.193,0.15,0.68,0.652,9.94,11.48,0.184,0.139,10.84
127,3304,AQ (Day4),1,7/8/2022,11:02,am,Liam,MWM - Cohort 130 videos\Test 127.szv,87.5,30,24.104,9.287,0.275,0.31,0.048,0.035,0.749,0.762,65.55,22.87,,,
128,3304,AQ (Day4),2,7/8/2022,11:05,am,Liam,MWM - Cohort 130 videos\Test 128.szv,7.8,10,1.608,2.072,0.206,0.207,0.326,0.279,0.302,0.341,2.25,3.3,0.249,0.242,2.68
130,3307,AQ (Day4),1,7/8/2022,11:11,am,Liam,MWM - Cohort 130 videos\Test 130.szv,1.1,3.5,0.108,0.593,0.098,0.169,1,0.909,0.033,0.248,0.03,0.78,0.684,0.909,0.03
131,3307,AQ (Day4),2,7/8/2022,11:12,am,Liam,MWM - Cohort 130 videos\Test 131.szv,8.9,11.3,1.926,2.295,0.216,0.202,0.313,0.246,0.624,0.601,5.37,6.61,0.309,0.221,5.98
133,3309,AQ (Day4),1,7/8/2022,11:18,am,Liam,MWM - Cohort 130 videos\Test 133.szv,65.6,30,12.706,5.349,0.194,0.178,0.048,0.266,0.644,0.532,42.01,15.97,0.04,,42.97
134,3309,AQ (Day4),2,7/8/2022,11:20,am,Liam,MWM - Cohort 130 videos\Test 134.szv,87.7,30,16.105,7.373,0.184,0.246,0.047,0.141,0.709,0.706,62.22,21.18,,,
136,3310,AQ (Day4),1,7/8/2022,11:30,am,Liam,MWM - Cohort 130 videos\Test 136.szv,49.8,30,9.185,5.82,0.185,0.194,0.053,0.244,0.819,0.704,40.46,21.12,0.046,,41.2
137,3310,AQ (Day4),2,7/8/2022,11:32,am,Liam,MWM - Cohort 130 videos\Test 137.szv,0.5,3,0.111,0.453,0.222,0.15,0.489,0.967,0.009,0.225,0,0.6,0.5,0.924,0.05
139,Y878,AQ (Day4),1,7/8/2022,11:37,am,Liam,MWM - Cohort 130 videos\Test 139.szv,59.3,30,11.921,5.354,0.201,0.178,0.038,0.216,0.536,0.496,31.6,14.89,0.034,,32.02
140,Y878,AQ (Day4),2,7/8/2022,11:39,am,Liam,MWM - Cohort 130 videos\Test 140.szv,33.2,30,7.004,6.067,0.211,0.202,0.066,0.266,0.55,0.517,18,15.43,0.643,0.564,1.11
142,Y879,AQ (Day4),1,7/8/2022,11:45,am,Liam,MWM - Cohort 130 videos\Test 142.szv,3.2,5.4,0.785,1.338,0.247,0.249,0.742,0.456,0.272,0.422,0.65,1.93,0.744,0.449,1.35
143,Y879,AQ (Day4),2,7/8/2022,11:46,am,Liam,MWM - Cohort 130 videos\Test 143.szv,0.5,2.1,0,0.433,0,0.203,,0.957,0.016,0.251,0,0.45,0.31,0.91,0.08
145,Y880,AQ (Day4),1,7/8/2022,11:52,am,Liam,MWM - Cohort 130 videos\Test 145.szv,78.3,30,17.48,5.194,0.223,0.173,0.051,0.17,0.706,0.716,55.05,21.49,0.047,,56.16
146,Y880,AQ (Day4),2,7/8/2022,11:55,am,Liam,MWM - Cohort 130 videos\Test 146.szv,0.9,3,0,0.5,0,0.169,,0.832,0.027,0.192,0.01,0.51,0.792,0.772,0.07
