Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,Probe TRR to 30s; Duration (s),Base; Duration (s),Probe TRR to 30s; Distance (m),Base; Distance (m),Probe TRR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe TRR to 30s; Path efficiency,Base; Path efficiency,Probe TRR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe TRR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe TRR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s)
90,2305,Probe1 (Day2),1,3/5/2019,11:46,am,Ali,Cohort 90 videos\Test 90.szv,29.3,30,8.077,8.147,0.276,0.272,0.168,0.17,0.536,0.528,15.71,15.83,,,31.53
93,2306,Probe1 (Day2),1,3/5/2019,11:54,am,Ali,Cohort 90 videos\Test 93.szv,28.3,30,4.766,4.824,0.168,0.161,0.175,0.186,0.488,0.475,13.8,14.26,,,39.14
96,2307,Probe1 (Day2),1,3/5/2019,12:58,pm,Ali,Cohort 90 videos\Test 96.szv,28.9,30,7.122,7.343,0.246,0.245,0.161,0.137,0.669,0.652,19.32,19.57,,,
99,2309,Probe1 (Day2),1,3/5/2019,13:06,pm,Ali,Cohort 90 videos\Test 99.szv,27.8,30,6.871,7.334,0.247,0.244,0.218,0.156,0.692,0.691,19.25,20.74,,,
102,2310,Probe1 (Day2),1,3/5/2019,13:16,pm,Ali,Cohort 90 videos\Test 102.szv,27.2,30,4.818,5.276,0.177,0.176,0.04,0.087,0.532,0.521,14.47,15.62,,,
108,Y623,Probe1 (Day2),1,3/5/2019,13:34,pm,Ali,Cohort 90 videos\Test 108.szv,28.4,30,8.876,9.398,0.313,0.313,0.03,0.068,0.671,0.671,19.07,20.13,,,23.59
111,Y624,Probe1 (Day2),1,3/5/2019,13:50,pm,Ali,Cohort 90 videos\Test 111.szv,28.6,30,7.311,7.605,0.256,0.253,0.048,0.08,0.491,0.488,14.04,14.64,,,17.06
114,Y625,Probe1 (Day2),1,3/5/2019,13:56,pm,Ali,Cohort 90 videos\Test 114.szv,29.4,30,9.963,10.028,0.339,0.334,0.026,0.023,0.586,0.578,16.77,16.89,0.07,0.035,8.5
174,2292,Probe2 (Day4),1,3/7/2019,10:08,am,Ali,Cohort 90 videos\Test 174.szv,26.6,30,5.213,5.699,0.196,0.19,0.16,0.115,0.558,0.572,14.84,17.16,,,
177,2296,Probe2 (Day4),1,3/7/2019,10:17,am,Ali,Cohort 90 videos\Test 177.szv,19.7,30,2.017,4.154,0.102,0.138,0.753,0.193,0.431,0.623,8.49,18.69,,,
180,2299,Probe2 (Day4),1,3/7/2019,10:26,am,Ali,Cohort 90 videos\Test 180.szv,25.5,30,5.739,6.489,0.225,0.216,0.198,0.158,0.665,0.708,16.96,21.25,,,
183,2300,Probe2 (Day4),1,3/7/2019,10:45,am,Ali,Cohort 90 videos\Test 183.szv,26.3,30,5.711,6.537,0.217,0.218,0.159,0.074,0.69,0.668,18.15,20.04,,,
186,2301,Probe2 (Day4),1,3/7/2019,10:57,am,Ali,Cohort 90 videos\Test 186.szv,22.5,30,2.388,3.906,0.106,0.13,0.175,0.357,0.465,0.549,10.46,16.47,,,
189,2302,Probe2 (Day4),1,3/7/2019,11:08,am,Ali,Cohort 90 videos\Test 189.szv,26.8,30,6.095,6.537,0.227,0.218,0.046,0.073,0.706,0.694,18.93,20.83,,,33
192,Y620,Probe2 (Day4),1,3/7/2019,11:15,am,Ali,Cohort 90 videos\Test 192.szv,26.2,30,6.624,7.28,0.253,0.243,0.144,0.073,0.644,0.665,16.84,19.92,0.197,0.234,9.51
195,Y621,Probe2 (Day4),1,3/7/2019,11:21,am,Ali,Cohort 90 videos\Test 195.szv,26.6,30,7.523,7.751,0.283,0.258,0.009,0.018,0.588,0.63,15.34,18.57,0.652,0.559,3.22
198,Y622,Probe2 (Day4),1,3/7/2019,11:28,am,Ali,Cohort 90 videos\Test 198.szv,27.3,30,6.714,7.223,0.246,0.241,0.102,0.022,0.388,0.433,10.44,12.82,0.343,0.178,8.63
201,2303,Probe2 (Day4),1,3/7/2019,11:38,am,Ali,Cohort 90 videos\Test 201.szv,24.7,30,5.029,5.954,0.204,0.198,0.244,0.06,0.525,0.603,12.82,17.93,0.292,0.263,9.39
204,2305,Probe2 (Day4),1,3/7/2019,11:47,am,Ali,Cohort 90 videos\Test 204.szv,27.8,30,6.847,7.44,0.246,0.248,0.09,0.023,0.512,0.499,13.92,14.52,,0.993,0.1
207,2306,Probe2 (Day4),1,3/7/2019,14:08,pm,Ali,Cohort 90 videos\Test 207.szv,26.9,30,4.623,5.376,0.172,0.179,0.273,0.135,0.52,0.505,13.99,15.15,,,46.92
210,2307,Probe2 (Day4),1,3/7/2019,14:15,pm,Ali,Cohort 90 videos\Test 210.szv,27,30,7.358,8.126,0.273,0.271,0.131,0.149,0.485,0.494,13.1,14.82,,,
213,2309,Probe2 (Day4),1,3/7/2019,14:25,pm,Ali,Cohort 90 videos\Test 213.szv,23.2,30,4.636,5.809,0.2,0.194,0.167,0.093,0.61,0.676,14.16,20.29,,,
216,2310,Probe2 (Day4),1,3/7/2019,14:34,pm,Ali,Cohort 90 videos\Test 216.szv,24.6,30,4.127,4.668,0.168,0.156,0.147,0.08,0.454,0.492,11.18,14.75,,,
222,Y623,Probe2 (Day4),1,3/7/2019,14:51,pm,Ali,Cohort 90 videos\Test 222.szv,27.3,30,8.089,8.851,0.296,0.295,0.155,0.071,0.497,0.521,13.38,15.44,0.475,0.407,1.77
225,Y624,Probe2 (Day4),1,3/7/2019,14:57,pm,Ali,Cohort 90 videos\Test 225.szv,27.3,30,5.709,6.397,0.209,0.213,0.047,0.066,0.381,0.372,10.12,10.89,0.016,0.1,8.6
228,Y625,Probe2 (Day4),1,3/7/2019,15:02,pm,Ali,Cohort 90 videos\Test 228.szv,27.9,30,6.627,7.303,0.238,0.243,0.197,0.093,0.575,0.559,15.6,16.35,0.708,0.517,0.46
288,2292,Probe3 (Day6),1,3/9/2019,10:39,am,Ali,Cohort 90 videos\Test 288.szv,24.4,30,4.779,5.678,0.196,0.189,0.095,0.046,0.474,0.533,11.58,16,,,
291,2296,Probe3 (Day6),1,3/9/2019,10:47,am,Ali,Cohort 90 videos\Test 291.szv,19.2,30,1.64,3.428,0.085,0.114,0.827,0.287,0.45,0.582,8.63,17.45,,,
294,2299,Probe3 (Day6),1,3/9/2019,10:55,am,Ali,Cohort 90 videos\Test 294.szv,26.3,30,5.668,6.464,0.216,0.215,0.139,0.214,0.591,0.579,15.55,17.37,,,30.81
297,2300,Probe3 (Day6),1,3/9/2019,11:03,am,Ali,Cohort 90 videos\Test 297.szv,23.9,30,3.799,5.046,0.159,0.168,0.216,0.123,0.64,0.631,15.3,18.92,,,
300,2301,Probe3 (Day6),1,3/9/2019,11:11,am,Ali,Cohort 90 videos\Test 300.szv,23.9,30,3.441,4.496,0.144,0.15,0.201,0.08,0.653,0.618,15.6,18.53,,,
303,2302,Probe3 (Day6),1,3/9/2019,11:19,am,Ali,Cohort 90 videos\Test 303.szv,27.4,30,6.274,7.009,0.229,0.234,0.05,0.132,0.598,0.572,16.39,17.08,,0.857,0.13
306,Y620,Probe3 (Day6),1,3/9/2019,11:24,am,Ali,Cohort 90 videos\Test 306.szv,27.6,30,7.15,7.677,0.259,0.256,0.168,0.09,0.617,0.601,17.04,18.04,,,22.06
309,Y621,Probe3 (Day6),1,3/9/2019,11:29,am,Ali,Cohort 90 videos\Test 309.szv,25.1,30,5.494,6.442,0.219,0.215,0.183,0.165,0.377,0.484,8.89,13.78,0.681,0.422,4.4
312,Y622,Probe3 (Day6),1,3/9/2019,11:33,am,Ali,Cohort 90 videos\Test 312.szv,27.1,30,6.322,6.855,0.233,0.229,0.112,0.06,0.439,0.483,11.4,13.94,0.671,0.312,5.48
315,2303,Probe3 (Day6),1,3/9/2019,11:40,am,Ali,Cohort 90 videos\Test 315.szv,25.9,30,5.648,6.617,0.218,0.221,0.113,0.213,0.667,0.64,16.97,18.92,0.062,0.324,2.85
318,2305,Probe3 (Day6),1,3/9/2019,11:49,am,Ali,Cohort 90 videos\Test 318.szv,28.3,30,7.49,7.911,0.265,0.264,0.106,0.049,0.473,0.461,13.38,13.83,,,
321,2306,Probe3 (Day6),1,3/9/2019,11:55,am,Ali,Cohort 90 videos\Test 321.szv,28.4,30,6.762,7.238,0.238,0.241,0.073,0.032,0.465,0.458,13.03,13.57,0.098,0.092,8.39
324,2307,Probe3 (Day6),1,3/9/2019,12:02,pm,Ali,Cohort 90 videos\Test 324.szv,26.9,30,7.069,7.933,0.263,0.264,0.13,0.156,0.665,0.654,17.63,19.38,0.354,0.419,1.65
327,2309,Probe3 (Day6),1,3/9/2019,12:20,pm,Ali,Cohort 90 videos\Test 327.szv,25.6,30,5.452,6.45,0.213,0.215,0.121,0.229,0.574,0.565,14.45,16.69,,0.899,0.43
330,2310,Probe3 (Day6),1,3/9/2019,12:27,pm,Ali,Cohort 90 videos\Test 330.szv,24.6,30,3.947,4.733,0.16,0.158,0.286,0.208,0.628,0.616,15.45,18.49,,,25.76
336,Y623,Probe3 (Day6),1,3/9/2019,12:42,pm,Ali,Cohort 90 videos\Test 336.szv,26.4,30,6.566,7.151,0.249,0.238,0.105,0.062,0.395,0.421,10.28,12.47,0.088,0.159,9.24
339,Y624,Probe3 (Day6),1,3/9/2019,12:45,pm,Ali,Cohort 90 videos\Test 339.szv,27.5,30,5.831,6.368,0.212,0.212,0.064,0.089,0.466,0.455,12.63,13.47,0.316,0.371,1.43
342,Y625,Probe3 (Day6),1,3/9/2019,12:48,pm,Ali,Cohort 90 videos\Test 342.szv,27.5,30,7.213,7.965,0.262,0.265,0.046,0.048,0.442,0.437,11.83,12.79,0.993,0.681,0.33
399,2292,Probe4 (Day8),1,3/11/2019,10:00,am,Ali,Cohort 90 videos\Test 399.szv,26.3,30,4.52,5.179,0.172,0.173,0.017,0.121,0.416,0.413,9.43,10.89,,0.86,0.5
402,2296,Probe4 (Day8),1,3/11/2019,10:07,am,Ali,Cohort 90 videos\Test 402.szv,21.2,30,0.781,1.955,0.037,0.065,0.98,0.594,1.042,1.043,22.1,31.29,,,
405,2299,Probe4 (Day8),1,3/11/2019,10:13,am,Ali,Cohort 90 videos\Test 405.szv,28,30,6.061,6.388,0.216,0.213,0.159,0.183,0.611,0.589,16.91,17.46,0.501,0.874,0.12
408,2300,Probe4 (Day8),1,3/11/2019,10:21,am,Ali,Cohort 90 videos\Test 408.szv,27.1,30,4.495,5.251,0.166,0.175,0.076,0.074,0.641,0.639,17.38,19.16,,,
411,2301,Probe4 (Day8),1,3/11/2019,10:29,am,Ali,Cohort 90 videos\Test 411.szv,28.7,30,5.095,5.364,0.178,0.179,0.077,0.071,0.703,0.683,20.06,20.2,,0.98,0.03
414,2302,Probe4 (Day8),1,3/11/2019,10:35,am,Ali,Cohort 90 videos\Test 414.szv,27.2,30,5.795,6.36,0.213,0.212,0.059,0.141,0.637,0.631,17.32,18.93,,,65.21
417,Y620,Probe4 (Day8),1,3/11/2019,10:48,am,Ali,Cohort 90 videos\Test 417.szv,28.8,30,7.147,7.306,0.248,0.244,0.018,0.038,0.537,0.525,15.45,15.74,,,15.61
420,Y621,Probe4 (Day8),1,3/11/2019,10:52,am,Ali,Cohort 90 videos\Test 420.szv,27.5,30,6.072,6.605,0.221,0.22,0.129,0.084,0.529,0.541,14.27,15.93,0.459,0.208,6.17
423,Y622,Probe4 (Day8),1,3/11/2019,10:56,am,Ali,Cohort 90 videos\Test 423.szv,27.5,30,7.004,7.601,0.255,0.253,0.1,0.072,0.307,0.336,8.13,9.76,0.116,0.088,8.61
426,2303,Probe4 (Day8),1,3/11/2019,11:03,am,Ali,Cohort 90 videos\Test 426.szv,27.2,30,6.053,6.695,0.223,0.223,0.105,0.134,0.808,0.798,21.98,23.94,,,
429,2305,Probe4 (Day8),1,3/11/2019,11:08,am,Ali,Cohort 90 videos\Test 429.szv,29.4,30,8.167,8.248,0.278,0.275,0.091,0.1,0.382,0.377,11.23,11.32,,,12.47
432,2306,Probe4 (Day8),1,3/11/2019,11:13,am,Ali,Cohort 90 videos\Test 432.szv,29.6,30,7.724,7.724,0.261,0.257,0.073,0.072,0.509,0.503,14.89,14.93,0.05,0.037,5.01
435,2307,Probe4 (Day8),1,3/11/2019,11:19,am,Ali,Cohort 90 videos\Test 435.szv,27.7,30,6.044,6.548,0.218,0.218,0.051,0.124,0.41,0.418,11.35,12.55,,,23.47
438,2309,Probe4 (Day8),1,3/11/2019,11:28,am,Ali,Cohort 90 videos\Test 438.szv,27.2,30,5.666,5.816,0.208,0.194,0.211,0.188,0.581,0.584,15.8,17.52,,,17.65
441,2310,Probe4 (Day8),1,3/11/2019,13:19,pm,Ali,Cohort 90 videos\Test 441.szv,29.2,30,6.278,6.378,0.215,0.213,0.107,0.092,0.619,0.606,18.06,18.17,,,
444,Y623,Probe4 (Day8),1,3/11/2019,13:25,pm,Ali,Cohort 90 videos\Test 444.szv,29.1,30,7.731,7.806,0.266,0.26,0.054,0.065,0.327,0.323,9.42,9.61,0.017,0.033,9.45
447,Y624,Probe4 (Day8),1,3/11/2019,13:29,pm,Ali,Cohort 90 videos\Test 447.szv,28.5,30,5.844,6.065,0.205,0.202,0.145,0.141,0.342,0.343,9.56,10.11,0.09,0.062,8.87
450,Y625,Probe4 (Day8),1,3/11/2019,13:33,pm,Ali,Cohort 90 videos\Test 450.szv,28.1,30,6.359,6.784,0.226,0.226,0.093,0.114,0.273,0.279,7.11,7.79,0.198,0.392,0.63
