Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,Probe TRR to 30s; Duration (s),Base; Duration (s),Probe TRR to 30s; Distance (m),Base; Distance (m),Probe TRR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe TRR to 30s; Path efficiency,Base; Path efficiency,Probe TRR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe TRR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe TRR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s)
225,3238,Probe2 (Day4),1,1/13/2022,11:54,am,Liam,MWM Cohort 126 videos\Test 225.szv,27.6,30,6.371,6.802,0.231,0.227,0.073,0.093,0.694,0.671,19.17,20.14,,,51.04
228,3239,Probe2 (Day4),1,1/13/2022,12:04,pm,Liam,MWM Cohort 126 videos\Test 228.szv,27.5,30,6.054,6.666,0.22,0.222,0.064,0.045,0.567,0.56,15.6,16.81,,,56.05
231,3240,Probe2 (Day4),1,1/13/2022,12:11,pm,Liam,MWM Cohort 126 videos\Test 231.szv,27.5,30,4.406,4.754,0.16,0.158,0.161,0.172,0.561,0.537,15.21,15.89,0.047,0.147,35.1
234,3241,Probe2 (Day4),1,1/13/2022,12:20,pm,Liam,MWM Cohort 126 videos\Test 234.szv,27.6,30,6.049,6.387,0.219,0.213,0.168,0.225,0.728,0.699,20.1,20.98,,,37.62
237,3242,Probe2 (Day4),1,1/13/2022,12:29,pm,Liam,MWM Cohort 126 videos\Test 237.szv,27.6,30,5.288,5.497,0.192,0.183,0.11,0.143,0.694,0.663,19.16,19.88,,,59.68
240,3243,Probe2 (Day4),1,1/13/2022,12:38,pm,Liam,MWM Cohort 126 videos\Test 240.szv,27.7,30,6.755,7.151,0.244,0.238,0.141,0.179,0.555,0.54,15.05,15.89,0.115,0.131,54.67
243,3247,Probe2 (Day4),1,1/13/2022,12:46,pm,Liam,MWM Cohort 126 videos\Test 243.szv,28.2,30,8.113,8.355,0.288,0.278,0.056,0.076,0.536,0.53,14.9,15.66,0.198,0.204,21.14
246,Y839,Probe2 (Day4),1,1/13/2022,12:56,pm,Liam,MWM Cohort 126 videos\Test 246.szv,27.7,30,5.531,5.878,0.2,0.196,0.054,0.119,0.728,0.693,19.98,20.61,,0.942,59.3
249,Y840,Probe2 (Day4),1,1/13/2022,13:05,pm,Liam,MWM Cohort 126 videos\Test 249.szv,28.3,30,7.774,7.956,0.275,0.265,0.023,0.02,0.585,0.57,16.21,16.78,0.857,0.944,39.01
252,Y841,Probe2 (Day4),1,1/13/2022,13:17,pm,Liam,MWM Cohort 126 videos\Test 252.szv,28,30,6.5,6.739,0.232,0.225,0.094,0.115,0.632,0.617,17.61,18.43,0.132,0.146,54.74
255,3249,Probe2 (Day4),1,1/13/2022,13:35,pm,Liam,MWM Cohort 126 videos\Test 255.szv,27.5,30,4.551,4.784,0.165,0.159,0.04,0.032,0.729,0.705,19.82,20.95,0.924,0.667,64.99
258,3251,Probe2 (Day4),1,1/13/2022,13:46,pm,Liam,MWM Cohort 126 videos\Test 258.szv,28.3,30,6.104,6.326,0.216,0.211,0.163,0.19,0.765,0.737,21.64,22.11,,,59.93
261,3253,Probe2 (Day4),1,1/13/2022,13:57,pm,Liam,MWM Cohort 126 videos\Test 261.szv,27.8,30,6.605,7.047,0.238,0.235,0.04,0.106,0.565,0.546,15.35,15.96,,0.967,46.72
264,3254,Probe2 (Day4),1,1/13/2022,14:05,pm,Liam,MWM Cohort 126 videos\Test 264.szv,27.9,30,6.553,6.908,0.235,0.23,0.104,0.136,0.669,0.648,18.67,19.44,,,19.6
267,3255,Probe2 (Day4),1,1/13/2022,14:12,pm,Liam,MWM Cohort 126 videos\Test 267.szv,28.5,30,6.361,6.678,0.223,0.223,0.116,0.136,0.623,0.604,17.75,18.13,,,57.61
270,3256,Probe2 (Day4),1,1/13/2022,14:23,pm,Liam,MWM Cohort 126 videos\Test 270.szv,26.6,30,3.498,3.716,0.132,0.124,0.296,0.294,0.582,0.549,15.09,16.1,0.28,0.434,21.39
273,3257,Probe2 (Day4),1,1/13/2022,14:36,pm,Liam,MWM Cohort 126 videos\Test 273.szv,27.1,30,2.793,2.876,0.103,0.096,0.148,0.135,0.409,0.411,10.84,12.09,0.163,0.192,55.55
276,3259,Probe2 (Day4),1,1/13/2022,14:49,pm,Liam,MWM Cohort 126 videos\Test 276.szv,24.3,30,4.659,5.847,0.192,0.195,0.092,0.174,0.547,0.549,13.3,16.48,,,38.36
348,Y836,Probe3 (Day6),1,1/15/2022,11:00,am,Liam,MWM Cohort 126 videos\Test 348.szv,25.7,30,5.85,6.992,0.228,0.233,0.091,0.136,0.704,0.684,18.09,20.53,,,20.69
351,Y837,Probe3 (Day6),1,1/15/2022,11:07,am,Liam,MWM Cohort 126 videos\Test 351.szv,24.5,30,4.623,5.727,0.189,0.191,0.106,0.251,0.606,0.595,14.86,17.84,,,17.2
354,Y838,Probe3 (Day6),1,1/15/2022,11:14,am,Liam,MWM Cohort 126 videos\Test 354.szv,25.7,30,6.4,7.819,0.249,0.261,0.092,0.171,0.66,0.663,16.96,19.9,,,57.91
357,3235,Probe3 (Day6),1,1/15/2022,11:25,am,Liam,MWM Cohort 126 videos\Test 357.szv,23.2,30,2.741,3.932,0.118,0.131,0.499,0.19,0.685,0.674,15.9,19.87,,0.983,55.57
360,3237,Probe3 (Day6),1,1/15/2022,11:35,am,Liam,MWM Cohort 126 videos\Test 360.szv,25.7,30,6.257,7.485,0.243,0.25,0.146,0.099,0.6,0.595,15.07,17.42,0.005,0.794,55.85
363,3238,Probe3 (Day6),1,1/15/2022,11:43,am,Liam,MWM Cohort 126 videos\Test 363.szv,24.9,30,5.687,6.56,0.228,0.219,0.123,0.072,0.432,0.513,10.75,15.4,,,17.6
366,3239,Probe3 (Day6),1,1/15/2022,11:51,am,Liam,MWM Cohort 126 videos\Test 366.szv,24.5,30,6.253,7.629,0.255,0.254,0.049,0.171,0.579,0.581,14.19,17.44,,,16.65
369,3240,Probe3 (Day6),1,1/15/2022,12:00,pm,Liam,MWM Cohort 126 videos\Test 369.szv,23.4,30,3.67,4.845,0.157,0.161,0.075,0.263,0.351,0.377,8.22,11.3,,,27.87
372,3241,Probe3 (Day6),1,1/15/2022,12:11,pm,Liam,MWM Cohort 126 videos\Test 372.szv,25.6,30,5.116,5.548,0.2,0.185,0.194,0.213,0.518,0.553,13.26,16.58,,,51.78
375,3242,Probe3 (Day6),1,1/15/2022,12:31,pm,Liam,MWM Cohort 126 videos\Test 375.szv,24.1,30,3.623,4.347,0.15,0.145,0.148,0.184,0.573,0.591,13.81,17.74,,,53.9
378,3243,Probe3 (Day6),1,1/15/2022,12:43,pm,Liam,MWM Cohort 126 videos\Test 378.szv,23.9,30,4.203,5.459,0.176,0.182,0.122,0.174,0.569,0.644,13.6,19.31,,,20.75
381,3247,Probe3 (Day6),1,1/15/2022,12:52,pm,Liam,MWM Cohort 126 videos\Test 381.szv,25.5,30,5.631,6.18,0.221,0.206,0.106,0.115,0.46,0.508,11.59,15.1,0.37,0.54,36.32
384,Y839,Probe3 (Day6),1,1/15/2022,13:02,pm,Liam,MWM Cohort 126 videos\Test 384.szv,23.8,30,4.269,5.018,0.179,0.167,0.029,0.084,0.825,0.868,19.65,26.05,,,25.24
387,Y840,Probe3 (Day6),1,1/15/2022,13:09,pm,Liam,MWM Cohort 126 videos\Test 387.szv,25.9,30,6.772,7.616,0.261,0.254,0.021,0.096,0.55,0.566,13.85,16.6,0.205,0.416,21.64
390,Y841,Probe3 (Day6),1,1/15/2022,13:22,pm,Liam,MWM Cohort 126 videos\Test 390.szv,26,30,6.919,8.149,0.266,0.272,0.065,0.109,0.615,0.657,15.98,19.7,,,22.99
393,3249,Probe3 (Day6),1,1/15/2022,13:33,pm,Liam,MWM Cohort 126 videos\Test 393.szv,24,30,4.549,5.384,0.19,0.179,0.287,0.287,0.635,0.728,14.92,21.48,0.974,0.585,59.55
396,3251,Probe3 (Day6),1,1/15/2022,13:50,pm,Liam,,25.3,30,5.378,6.576,0.213,0.219,0.052,0.149,0.701,0.671,17.73,20.13,,,49.2
399,3253,Probe3 (Day6),1,1/15/2022,14:00,pm,Liam,MWM Cohort 126 videos\Test 399.szv,25.1,30,6.474,7.676,0.258,0.256,0.173,0.054,0.606,0.615,15.21,18.46,,,61.58
402,3254,Probe3 (Day6),1,1/15/2022,14:10,pm,Liam,MWM Cohort 126 videos\Test 402.szv,24.5,30,5.357,6.421,0.219,0.214,0.139,0.164,0.518,0.573,12.57,17.07,0.12,0.15,54.36
405,3255,Probe3 (Day6),1,1/15/2022,14:19,pm,Liam,MWM Cohort 126 videos\Test 405.szv,25.9,30,6.429,7.605,0.248,0.253,0.107,0.179,0.675,0.665,17.49,19.95,,,56.95
408,3256,Probe3 (Day6),1,1/15/2022,14:28,pm,Liam,MWM Cohort 126 videos\Test 408.szv,23.4,30,3.744,5.003,0.16,0.167,0.179,0.098,0.675,0.615,15.79,18.46,,,16.35
411,3257,Probe3 (Day6),1,1/15/2022,14:38,pm,Liam,MWM Cohort 126 videos\Test 411.szv,25.1,30,4.416,5.504,0.176,0.183,0.064,0.206,0.762,0.717,19.14,21.51,,,23.48
414,3259,Probe3 (Day6),1,1/15/2022,14:47,pm,Liam,MWM Cohort 126 videos\Test 414.szv,22,30,3.232,4.495,0.147,0.15,0.477,0.305,0.534,0.656,11.75,19.67,,,19.28
486,Y836,Probe4 (Day8),1,1/17/2022,10:49,am,Liam,MWM Cohort 126 videos\Test 486.szv,24.4,30,5.809,6.757,0.238,0.225,0.202,0.216,0.472,0.549,11.51,16.47,,,19.63
489,Y837,Probe4 (Day8),1,1/17/2022,10:56,am,Liam,MWM Cohort 126 videos\Test 489.szv,23.5,30,4.665,5.664,0.198,0.189,0.038,0.11,0.438,0.525,10.29,15.75,,,45.58
492,Y838,Probe4 (Day8),1,1/17/2022,11:05,am,Liam,MWM Cohort 126 videos\Test 492.szv,25.8,30,6.342,7.396,0.246,0.247,0.142,0.024,0.655,0.653,16.89,19.58,,,58.51
495,3235,Probe4 (Day8),1,1/17/2022,11:14,am,Liam,MWM Cohort 126 videos\Test 495.szv,23.8,30,4.268,4.948,0.179,0.165,0.034,0.11,0.674,0.731,16.03,21.92,,,61.14
498,3237,Probe4 (Day8),1,1/17/2022,11:25,am,Liam,MWM Cohort 126 videos\Test 498.szv,24.9,30,5.442,6.653,0.219,0.222,0.084,0.108,0.762,0.736,18.97,22.07,,,33.72
501,3238,Probe4 (Day8),1,1/17/2022,11:34,am,Liam,MWM Cohort 126 videos\Test 501.szv,23.6,30,4.156,5.422,0.176,0.181,0.019,0.216,0.56,0.628,13.21,18.84,,,46.78
504,3239,Probe4 (Day8),1,1/17/2022,11:48,am,Liam,MWM Cohort 126 videos\Test 504.szv,24.6,30,5.532,6.647,0.225,0.222,0.053,0.133,0.62,0.602,14.8,17.62,0.134,0.849,48.21
507,3240,Probe4 (Day8),1,1/17/2022,11:59,am,Liam,MWM Cohort 126 videos\Test 507.szv,21.6,30,2.742,3.766,0.127,0.126,0.19,0.259,0.367,0.47,7.53,13.61,0.696,0.558,19.03
510,3241,Probe4 (Day8),1,1/17/2022,12:09,pm,Liam,MWM Cohort 126 videos\Test 510.szv,24.6,30,5.056,5.82,0.206,0.194,0.111,0.158,0.38,0.445,9.23,13.2,0.83,0.658,21.93
513,3242,Probe4 (Day8),1,1/17/2022,12:17,pm,Liam,MWM Cohort 126 videos\Test 513.szv,23.2,30,4.137,5.379,0.178,0.179,0.113,0.123,0.467,0.51,10.43,14.71,,0.83,17.55
516,3243,Probe4 (Day8),1,1/17/2022,12:30,pm,Liam,MWM Cohort 126 videos\Test 516.szv,23.9,30,3.809,4.966,0.159,0.166,0.276,0.128,0.772,0.825,18.46,24.76,,,63.91
519,3247,Probe4 (Day8),1,1/17/2022,12:43,pm,Liam,MWM Cohort 126 videos\Test 519.szv,25.3,30,6.092,6.606,0.241,0.22,0.069,0.009,0.627,0.659,15.87,19.76,,,56.48
522,Y839,Probe4 (Day8),1,1/17/2022,12:52,pm,Liam,MWM Cohort 126 videos\Test 522.szv,22.4,30,4.58,5.87,0.204,0.196,0.136,0.221,0.551,0.606,12.35,18.18,,,17.17
525,Y840,Probe4 (Day8),1,1/17/2022,13:01,pm,Liam,MWM Cohort 126 videos\Test 525.szv,19.3,30,4.488,6.307,0.233,0.21,0.25,0.161,0.525,0.596,10.01,17.73,0.906,0.407,30.96
528,Y841,Probe4 (Day8),1,1/17/2022,13:38,pm,Liam,MWM Cohort 126 videos\Test 528.szv,25.9,30,6.597,7.508,0.255,0.25,0.122,0.071,0.644,0.645,16.68,19.35,,,51.86
531,3249,Probe4 (Day8),1,1/17/2022,13:51,pm,Liam,MWM Cohort 126 videos\Test 531.szv,22.3,30,3.297,4.668,0.148,0.156,0.295,0.117,0.801,0.765,17.85,22.94,,,69.8
534,3251,Probe4 (Day8),1,1/17/2022,14:00,pm,Liam,MWM Cohort 126 videos\Test 534.szv,25.5,30,5.727,6.918,0.225,0.231,0.191,0.135,0.545,0.574,13.89,17.21,,,48.76
537,3253,Probe4 (Day8),1,1/17/2022,14:10,pm,Liam,MWM Cohort 126 videos\Test 537.szv,25.2,30,5.882,6.872,0.233,0.229,0.095,0.027,0.518,0.533,12.92,15.84,0.321,0.374,49.49
540,3254,Probe4 (Day8),1,1/17/2022,14:17,pm,Liam,MWM Cohort 126 videos\Test 540.szv,23.8,30,4.664,5.694,0.196,0.19,0.119,0.232,0.458,0.535,10.89,16.05,,,35.34
543,3255,Probe4 (Day8),1,1/17/2022,14:31,pm,Liam,MWM Cohort 126 videos\Test 543.szv,25.2,30,6.161,6.466,0.244,0.216,0.003,0.048,0.57,0.634,14.36,19.03,,,54.2
546,3256,Probe4 (Day8),1,1/17/2022,14:48,pm,Liam,MWM Cohort 126 videos\Test 546.szv,22.2,30,3.693,4.952,0.166,0.165,0.147,0.252,0.546,0.623,12.12,18.68,,,24.73
549,3257,Probe4 (Day8),1,1/17/2022,14:58,pm,Liam,MWM Cohort 126 videos\Test 549.szv,24.2,30,4.12,4.686,0.17,0.156,0.227,0.208,0.383,0.522,9.08,15.4,0.761,0.49,38.03
552,3259,Probe4 (Day8),1,1/17/2022,15:06,pm,Liam,MWM Cohort 126 videos\Test 552.szv,20.4,30,2.93,4.154,0.144,0.138,0.353,0.143,0.912,0.805,18.6,24.15,,,57.52
