GROUP,RAT,SLI,GROUP.RAT
RWM19,11,232.0019759,RWM19.11
RWM19,12,112.1070755,RWM19.12
RWM19,13,168.4991329,RWM19.13
RWM19,14,212.731543,RWM19.14
RWM19,15,87.25896338,RWM19.15
RWM19,16,214.4339507,RWM19.16
RWM19,17,116.1992836,RWM19.17
RWM19,18,302.9270267,RWM19.18
RWM19,19,177.0307488,RWM19.19
RWM19,2,151.729293,RWM19.2
RWM19,20,140.9079849,RWM19.20
RWM19,21,191.6036328,RWM19.21
RWM19,22,152.777314,RWM19.22
RWM19,23,255.5828966,RWM19.23
RWM19,24,158.3476801,RWM19.24
RWM19,25,225.8449046,RWM19.25
RWM19,26,202.0507479,RWM19.26
RWM19,27,131.914135,RWM19.27
RWM19,28,232.9167485,RWM19.28
RWM19,29,154.1136491,RWM19.29
RWM19,3,134.5584688,RWM19.3
RWM19,30,232.2032749,RWM19.30
RWM19,4,237.9296222,RWM19.4
RWM19,5,225.347958,RWM19.5
RWM19,6,123.495221,RWM19.6
RWM19,7,233.2254322,RWM19.7
RWM19,8,120.8082741,RWM19.8
RWM19,9,184.4936753,RWM19.9
RWM22,1,206.2890215,RWM22.1
RWM22,10,165.1392178,RWM22.10
RWM22,11,193.391314,RWM22.11
RWM22,12,169.604478,RWM22.12
RWM22,13,175.5538774,RWM22.13
RWM22,14,239.1350546,RWM22.14
RWM22,15,175.1490123,RWM22.15
RWM22,16,196.0540455,RWM22.16
RWM22,17,144.0458393,RWM22.17
RWM22,18,119.0052487,RWM22.18
RWM22,19,159.0554136,RWM22.19
RWM22,2,189.3525502,RWM22.2
RWM22,20,147.0181371,RWM22.20
RWM22,21,113.1774905,RWM22.21
RWM22,22,285.6697472,RWM22.22
RWM22,23,172.464427,RWM22.23
RWM22,24,214.3433827,RWM22.24
RWM22,25,254.8282277,RWM22.25
RWM22,26,156.8298265,RWM22.26
RWM22,27,148.5002099,RWM22.27
RWM22,28,205.0437025,RWM22.28
RWM22,29,163.027377,RWM22.29
RWM22,3,130.957772,RWM22.3
RWM22,30,158.4770581,RWM22.30
RWM22,31,182.3942937,RWM22.31
RWM22,32,183.43632,RWM22.32
RWM22,33,144.2079584,RWM22.33
RWM22,34,242.9565661,RWM22.34
RWM22,35,302.1207301,RWM22.35
RWM22,36,167.9596701,RWM22.36
RWM22,4,281.7016307,RWM22.4
RWM22,5,306.0661671,RWM22.5
RWM22,6,276.5503418,RWM22.6
RWM22,7,254.4666112,RWM22.7
RWM22,8,369.8355544,RWM22.8
RWM22,9,171.3741671,RWM22.9
RWM25,1,266.1845403,RWM25.1
RWM25,10,269.1647918,RWM25.10
RWM25,11,256.4222361,RWM25.11
RWM25,12,106.3261152,RWM25.12
RWM25,13,190.5051354,RWM25.13
RWM25,14,176.7564802,RWM25.14
RWM25,15,226.0462035,RWM25.15
RWM25,16,179.8786641,RWM25.16
RWM25,17,168.5371525,RWM25.17
RWM25,18,175.6076783,RWM25.18
RWM25,19,251.988209,RWM25.19
RWM25,2,272.6292472,RWM25.2
RWM25,20,242.2724494,RWM25.20
RWM25,21,172.3337276,RWM25.21
RWM25,22,218.1792733,RWM25.22
RWM25,23,223.6341467,RWM25.23
RWM25,24,172.9392609,RWM25.24
RWM25,25,162.980357,RWM25.25
RWM25,26,236.1540969,RWM25.26
RWM25,27,227.1128376,RWM25.27
RWM25,28,206.4424262,RWM25.28
RWM25,3,169.1124113,RWM25.3
RWM25,4,247.5201098,RWM25.4
RWM25,5,136.257364,RWM25.5
RWM25,6,279.914826,RWM25.6
RWM25,7,262.1147239,RWM25.7
RWM25,8,212.9290294,RWM25.8
RWM25,9,129.4072682,RWM25.9
