GROUP,RAT,AGE,BLOCK,DAY,TRIAL,TYPE,START,LAT,PATH,CMDS,MNDS,Q1TM,Q2TM,Q3TM,Q4TM,PLTCRS,SPEED,GROUP.RAT,,
RWM09,56,6,Block2,Day04,Trial3,Probe,W,29.93,726.3,15407.93,51.36,1.4,,16.12,,1,24.27,RWM09.56,,
RWM09,56,6,Block3,Day05,Trial1,Train,S,11.71,267.08,5335.47,45.22,,,,,,22.8,RWM09.56,,
RWM09,56,6,Block3,Day05,Trial2,Train,W,10.31,191.28,6130.2,58.94,,,,,,18.55,RWM09.56,,
RWM09,56,6,Block3,Day05,Trial3,Train,N,7.61,144.42,5029.29,65.32,,,,,,18.98,RWM09.56,,
RWM09,56,6,Block3,Day06,Trial1,Train,E,7.41,121.01,3130.97,41.75,,,,,,16.34,RWM09.56,,
RWM09,56,6,Block3,Day06,Trial2,Train,W,7.11,134.3,4463.81,62,,,,,,18.9,RWM09.56,,
RWM09,56,6,Block3,Day06,Trial3,Probe,S,29.93,593.96,15129.63,50.43,5.11,,19.62,,3,19.85,RWM09.56,,
RWM09,56,6,Block4,Day07,Trial1,Train,N,15.62,246.98,9433.1,60.08,,,,,,15.82,RWM09.56,,
RWM09,56,6,Block4,Day07,Trial2,Train,E,9.61,147.81,3068.69,31.64,,,,,,15.38,RWM09.56,,
RWM09,56,6,Block4,Day07,Trial3,Train,W,12.71,221.02,5385.04,42.07,,,,,,17.39,RWM09.56,,
RWM09,56,6,Block4,Day08,Trial1,Train,E,11.81,164.64,3754.16,31.55,,,,,,13.94,RWM09.56,,
RWM09,56,6,Block4,Day08,Trial2,Train,S,7.31,66.01,2301.39,31.1,,,,,,9.03,RWM09.56,,
RWM09,56,6,Block4,Day08,Trial3,Probe,N,29.93,517.15,18522.95,61.74,3.9,,4.8,,0,17.28,RWM09.56,,
RWM09,56,6,Block6,Day09,Trial1,Cue,W,9.91,481.61,4979.29,51.87,,,,,,51.73,RWM09.56,,
RWM09,56,6,Block6,Day09,Trial2,Cue,S,3.6,97.42,1877.13,52.14,,,,,,27.81,RWM09.56,,
RWM09,56,6,Block6,Day09,Trial3,Cue,E,4.1,98.55,1955.19,47.69,,,,,,24.61,RWM09.56,,
RWM09,56,6,Block6,Day09,Trial4,Cue,N,7.31,159.49,3892.91,54.07,,,,,,22.76,RWM09.56,,
RWM09,56,6,Block6,Day09,Trial5,Cue,W,4,118.38,2070.53,51.76,,,,,,30.32,RWM09.56,,
RWM09,56,6,Block6,Day09,Trial6,Cue,S,6.41,155.95,4519.93,70.62,,,,,,24.73,RWM09.56,,
RWM09,57,6,Block1,Day01,Trial1,Train,N,90.09,1818.14,69742.57,77.41,,,,,,20.18,RWM09.57,,
RWM09,57,6,Block1,Day01,Trial2,Train,W,9.71,142.33,7987.75,81.51,,,,,,14.66,RWM09.57,,
RWM09,57,6,Block1,Day01,Trial3,Train,S,6.41,66.48,2251.07,34.63,,,,,,10.38,RWM09.57,,
RWM09,57,6,Block1,Day02,Trial1,Train,E,28.73,847.01,18778.8,65.2,,,,,,29.48,RWM09.57,,
RWM09,57,6,Block1,Day02,Trial2,Train,S,16.42,366.31,6371.76,38.62,,,,,,22.31,RWM09.57,,
RWM09,57,6,Block1,Day02,Trial3,Probe,W,30.03,681.98,23281.96,77.35,15.22,,5.41,,1,22.71,RWM09.57,,
RWM09,57,6,Block2,Day03,Trial1,Train,S,10.61,211.83,3453.06,32.27,,,,,,19.96,RWM09.57,,
RWM09,57,6,Block2,Day03,Trial2,Train,W,11.41,319.74,5786.71,50.32,,,,,,28.02,RWM09.57,,
RWM09,57,6,Block2,Day03,Trial3,Train,N,6.91,172.16,4848.48,69.26,,,,,,24.93,RWM09.57,,
RWM09,57,6,Block2,Day04,Trial1,Train,W,11.71,266.45,6058.23,51.34,,,,,,22.75,RWM09.57,,
RWM09,57,6,Block2,Day04,Trial2,Train,S,8.41,162.87,2243.15,26.39,,,,,,19.37,RWM09.57,,
RWM09,57,6,Block2,Day04,Trial3,Probe,E,29.93,644.61,10823.62,36.08,0,,18.72,,3,21.54,RWM09.57,,
